	TCGA.OR.A5J1.01A	TCGA.OR.A5J2.01A	TCGA.OR.A5J3.01A	TCGA.OR.A5J5.01A	TCGA.OR.A5J6.01A	TCGA.OR.A5J7.01A	TCGA.OR.A5J8.01A	TCGA.OR.A5J9.01A	TCGA.OR.A5JA.01A	TCGA.OR.A5JB.01A	TCGA.OR.A5JC.01A	TCGA.OR.A5JD.01A	TCGA.OR.A5JE.01A	TCGA.OR.A5JF.01A	TCGA.OR.A5JG.01A	TCGA.OR.A5JI.01A	TCGA.OR.A5JJ.01A	TCGA.OR.A5JK.01A	TCGA.OR.A5JL.01A	TCGA.OR.A5JM.01A	TCGA.OR.A5JO.01A	TCGA.OR.A5JP.01A	TCGA.OR.A5JQ.01A	TCGA.OR.A5JR.01A	TCGA.OR.A5JS.01A	TCGA.OR.A5JT.01A	TCGA.OR.A5JV.01A	TCGA.OR.A5JW.01A	TCGA.OR.A5JX.01A	TCGA.OR.A5JY.01A	TCGA.OR.A5JZ.01A	TCGA.OR.A5K0.01A	TCGA.OR.A5K1.01A	TCGA.OR.A5K2.01A	TCGA.OR.A5K3.01A	TCGA.OR.A5K4.01A	TCGA.OR.A5K5.01A	TCGA.OR.A5K6.01A	TCGA.OR.A5K8.01A	TCGA.OR.A5K9.01A	TCGA.OR.A5KO.01A	TCGA.OR.A5KT.01A	TCGA.OR.A5KU.01A	TCGA.OR.A5KV.01A	TCGA.OR.A5KW.01A	TCGA.OR.A5KX.01A	TCGA.OR.A5KY.01A	TCGA.OR.A5KZ.01A	TCGA.OR.A5L3.01A	TCGA.OR.A5L4.01A	TCGA.OR.A5L5.01A	TCGA.OR.A5L6.01A	TCGA.OR.A5L8.01A	TCGA.OR.A5L9.01A	TCGA.OR.A5LA.01A	TCGA.OR.A5LB.01A	TCGA.OR.A5LC.01A	TCGA.OR.A5LD.01A	TCGA.OR.A5LE.01A	TCGA.OR.A5LG.01A	TCGA.OR.A5LH.01A	TCGA.OR.A5LJ.01A	TCGA.OR.A5LK.01A	TCGA.OR.A5LL.01A	TCGA.OR.A5LM.01A	TCGA.OR.A5LN.01A	TCGA.OR.A5LO.01A	TCGA.OR.A5LP.01A	TCGA.OR.A5LR.01A	TCGA.OR.A5LS.01A	TCGA.OR.A5LT.01A	TCGA.OU.A5PI.01A	TCGA.P6.A5OF.01A	TCGA.P6.A5OG.01A	TCGA.PA.A5YG.01A	TCGA.PK.A5H8.01A	TCGA.PK.A5H9.01A	TCGA.PK.A5HA.01A	TCGA.PK.A5HB.01A
ENSG00000000005.6	3.950925657	2.731462651	0.96676323	0	153.6998305	8.879245329	2.077684472	9.95453939	2.3675954	0	1.946217687	1.901738115	7.9931487	2.372881504	12.97087589	1.472011021	0.698873267	4.564899465	9.599027087	3.115964459	23.65530952	4.008842563	1.998397264	0.774470027	1.846978458	16.32361048	1.761463473	5.829121543	10.87682639	4.477179518	0	0	0	13.86004106	6.450348507	1.896801168	12.38378604	3.438928252	2.566273704	0.827297995	0.738139243	20.16879635	1.2594848	0	2.699298719	1.581699053	2.758377576	0	5.924847885	17.70178276	2.401499396	8.493133147	0	0	0	1.531507635	7.907423592	2.43185556	1.114490138	7.062314645	10.534148	8.420245794	2.574407081	0	0	7.472932014	0	1.493397334	2.67709233	25.6480692	0	4.871088967	9.142883547	11.03115143	3.861994663	10.25347512	9.235234267	0.936461258	4.223538461
ENSG00000000971.16	256.8101677	1787.05944	729.9062384	84.48145728	258.1368948	131.1396233	3838.868343	207.2886438	244.6515246	5849.795572	614.0316803	206.3385855	485.5837835	770.000048	1143.166529	1711.948817	763.1696073	1732.379347	378.361651	172.1570364	1432.965865	464.2239688	1381.558642	391.1073635	567.638046	266.8910314	393.6870861	460.5006019	233.3573662	605.911628	447.2658832	72.58967789	794.3809594	392.7011634	363.3696326	55.95563445	221.2569773	139.2765942	587.6766783	146.4317452	364.6407861	5489.274072	562.9897054	172.0993962	630.736134	31.63398107	1162.656148	519.0213941	159.9708929	2980.221569	2986.664749	478.4465006	407.6557164	961.6922884	1837.306071	336.1659258	645.0198387	143.479478	141.5402475	1353.610307	842.7318396	142.3787016	375.8634338	1445.14227	521.0207211	356.8325037	485.3938537	1995.178839	1176.582079	59.1020725	105.8993943	1360.008039	1429.946987	3294.867042	1096.034085	386.8356523	508.553567	1293.252997	520.9030768
ENSG00000002933.9	5882.138118	2095.714719	467.9134031	13219.65844	500.5097044	12.29433969	3527.908234	162.200436	3791.309434	1290.227639	653.9291429	169.2546923	6.994005112	220.0847595	50.15405346	528.4519564	3360.88154	479.3144439	1459.852036	5.452937804	1288.304549	101.0228326	377.697083	326.0518813	2546.983293	120.7947176	1033.098327	24.04512637	4950.933613	155.9550865	142.7444308	24.1965593	212.5808201	24.640073	1928.654204	371.7730289	53.66307285	42.98660316	30.79528445	11.58217193	496.0295714	12422.29782	400.5161663	2923.556272	472.3772758	2347.241395	1544.001848	110.6280661	159.9708929	313.5744375	466.6913826	302.9217489	3384.71506	701.7754537	1346.055797	27.56713742	222.5374925	41.34154452	26.7477633	72.97725133	462.7500727	117.1179642	2656.788108	83.58509327	487.2784268	52.3105241	1120.722158	250.8907522	1831.131154	32.33886986	79.07154771	137.3647089	162.7433271	1039.686022	1939.49372	105.3311535	115.1325872	919.6049551	415.3146153
ENSG00000003096.14	789.3949463	200.7625049	293.8960218	74.34368241	374.3970229	75.13207586	143.3602286	248.8634848	67.87106813	24.54459681	188.7831157	236.7663954	52.95461014	449.0678246	104.6317322	273.7940499	362.7152255	439.3715735	754.3235452	90.36296932	594.1121967	400.0824878	353.7163158	737.2954655	567.0223865	1033.284544	332.9165963	83.06498199	400.4649717	1511.794284	674.4674356	915.5978037	674.104969	50.82015055	320.3673092	859.250929	39.62811533	527.8754867	251.494823	142.2952552	352.8305582	23.5302624	312.3522303	350.5991831	374.3027557	153.4248082	118.6102358	28.94940047	505.5870195	121.3836532	324.2024184	113.2417753	1434.727394	77.97505041	232.8556346	117.1603341	293.7043048	26.75041116	121.479425	7.062314645	361.1707884	1381.685787	450.5212392	302.4460612	159.7796878	123.3033782	366.5064356	400.9771843	729.5076601	356.8427019	272.5144412	259.141933	350.4772026	105.4853855	664.263082	162.1913337	641.5409404	85.21797445	334.3634615
ENSG00000003989.18	1614.348223	212.3712211	329.6662613	218.5253695	80.79093653	6566.54343	3471.118191	319.1308216	336.1985468	6644.222355	144.0201088	233.9137882	362.6891223	175.5932313	57.93657899	613.8285956	94.34789101	438.2303487	345.5649751	1304.031126	15527.89106	4482.687754	359.0453752	347.737042	231.4879667	2650.954342	164.6968347	136.2557161	899.8101833	1925.933389	93.97341696	91.94692532	570.611675	406.5612044	94.60511144	1778.251095	307.9434796	152.1725752	151.4101486	51.29247571	131.3887853	1016.843482	65.49320958	732.4891656	83.67826028	418.3593996	582.707263	1201.400119	110.5971605	831.9837898	495.5093754	215.1593731	204.1727446	675.7837702	1219.863066	120.9891031	666.4828456	1240.246336	31.20572385	166.356745	319.7866356	78.84411971	139.0179824	893.0407334	205.4310272	125.1716112	152.9634297	498.7947097	693.3669136	81.40474136	35.29979808	179.256074	318.781873	3626.491032	285.7876051	151.0057245	1191.34522	345.5542041	432.9126922
ENSG00000004468.13	17.38407289	51.21492471	44.47110856	28.16048576	66.997362	25.95471712	353.8989218	7.612294828	17.36236627	958.8755819	48.65544218	47.54345289	10.99057946	28.47457805	3.458900238	79.48859512	57.30760787	257.9168198	108.7889737	3.894955574	494.9418607	16.03537025	103.9166577	39.49797137	11.69753023	11.42652734	36.99073292	10.2009627	3.955209597	32.8326498	58.28730925	25.16442167	81.11636557	20.02005931	21.50116169	3.793602335	6.604685889	15.47517714	25.66273704	5.791085967	3.690696216	47.06052481	40.30351359	15.64539965	37.79018206	2.37254858	8.275132729	21.71205035	45.42383378	60.69182661	288.9804273	36.80357697	19.313638	199.2695733	199.8051574	19.90959925	18.07411107	4.86371112	20.06082248	107.5041229	72.98659683	49.75599787	118.4227257	80.28568169	11.90904505	57.91522311	6.057957612	66.45618138	96.3753239	25.6480692	15.53191116	6.819524553	20.1143438	288.188831	113.5426431	15.84627973	523.3299418	73.0439781	34.49223076
ENSG00000004776.13	1220.836028	5589.938316	2469.113288	3851.228033	1821.737093	25.27169824	2095.691071	9357.267027	32.35713713	60.54333879	10959.1518	4291.272058	6334.570345	983.5593834	1427.661073	60289.15538	1114.003987	18741.19475	556.743571	3580.243164	2925.070004	6414.148101	14094.02977	22043.74037	3377.50794	20925.23628	7753.962206	12.38688328	10239.04884	29.10166686	10886.64192	746.2218887	6714.477088	1744.825169	11509.57185	21630.17212	3906.671703	2017.791152	2029.9225	5738.966193	4727.043713	359.6768682	6866.711127	4150.297835	1791.434583	8371.93309	6775.954516	6090.747077	8895.171625	2165.939562	6336.756406	11980.97983	1738.917193	50337.22699	15679.44682	663.9085596	5199.695828	86557.03495	4902.642116	2197.949258	2896.890699	724.9066152	13605.74142	679.6787847	1173.040938	15730.52189	64.36579963	11789.62526	11958.57144	276.5530939	15054.65789	286.4200312	1707.281121	206.1446423	9196.95409	2060.948499	532.565176	23.41153144	64.05699999
ENSG00000004799.8	23949.72115	61955.03586	16312.19597	2814.922157	79064.7692	32370.99639	8265.721392	88736.52081	1310.069455	426.2578312	7740.107742	8004.415728	8304.881499	42877.37556	4372.049901	1873.870029	35097.41546	18870.15316	10141.37212	33677.34388	8464.051709	18523.25795	5028.63365	4523.679427	8351.420927	4750.17065	5584.71994	6320.953673	31622.88953	85481.29613	1225.223031	69212.80607	3500.590742	2186.806478	3274.626926	726.4748472	16246.7017	29047.76722	3035.901792	39693.75781	20518.05654	4094.265658	26599.05948	4153.142453	7360.08784	12704.99765	3101.10599	6175.527464	30937.58071	5950.327834	4160.997953	5942.362159	32177.21069	3127.665911	9028.789443	10126.32848	17197.51668	13236.58981	288.6529457	11239.28141	22974.97678	69611.70293	1513.751364	79022.00706	3137.040952	3676.682551	179817.5986	4210.633784	1706.646361	53828.60644	4676.51725	38248.76478	9213.588513	8029.299345	8925.842065	4478.90436	27331.98365	6082.315869	4677.568845
ENSG00000004838.14	3.950925657	13.65731326	19.33526459	68.71158526	5.911531941	9.562264201	24.23965217	13.46790623	26.0435494	69.54302428	14.59663265	47.54345289	21.98115892	18.98305203	27.67120191	11.77608817	136.9791603	26.24817193	5.599432467	15.5798223	8.188376371	5.612379588	49.29379919	19.36175067	94.19590135	14.69124943	7.04585389	5.829121543	23.73125758	6.715769276	30.92796001	26.13228404	43.35529884	13.86004106	15.05081318	32.24561985	25.59315782	20.63356951	59.0242952	14.06406592	107.7683295	63.86785509	51.63887678	93.16124339	29.69228591	36.37907823	62.75308986	48.5936365	1.974949295	11.37971749	9.605997584	33.97253259	2.069318357	34.65557796	9.013766499	8.423291991	29.37043048	12.1592778	17.8318422	37.66567811	3.762195713	26.02621427	15.44644249	7.698627012	16.87114716	24.28702904	28.77529866	4.480192003	13.38546165	30.10860297	136.9632166	35.07184056	21.33339494	26.8884316	6.179191461	32.62469357	7.388187413	8.42815132	18.302
ENSG00000004848.8	641.6303267	8.877253617	47.37139825	149.8137842	0	25.95471712	6.925614907	4.684489125	168.8884719	0	111.907517	6.656083404	1.998287175	12.4576279	2.594175179	0	6.988732668	269.3290685	104.789379	70.10920034	0.909819597	241.3323223	0.666132421	11.6170504	0.615659486	80.80187189	509.9436753	29.87424791	2.966407198	0.746196586	72.56175233	23.22869692	1.398558027	392.7011634	778.3420532	854.508926	33.84901518	0.859732063	71.85566372	0	55.36044324	1.680733029	0	26.3127176	28.79251967	728.3724141	13.10229349	8.271257277	1.974949295	3.793239163	4.002498993	110.4107309	0	216.5973622	27.0412995	6.891784356	4.518527767	192.1165892	49.03756606	1.569403255	550.0330132	22.19882982	5.148814162	2.199607718	437.6574058	3.736466007	182.4959731	16.42737068	24.09383097	8.921067546	9.883943463	27.27809821	26.2095995	0	0	173.376943	28.93706737	13.11045761	698.9956152
