	TCGA.OR.A5J1.01A	TCGA.OR.A5J2.01A	TCGA.OR.A5J3.01A	TCGA.OR.A5J5.01A	TCGA.OR.A5J6.01A	TCGA.OR.A5J7.01A	TCGA.OR.A5J8.01A	TCGA.OR.A5J9.01A	TCGA.OR.A5JA.01A	TCGA.OR.A5JB.01A	TCGA.OR.A5JC.01A	TCGA.OR.A5JD.01A	TCGA.OR.A5JE.01A	TCGA.OR.A5JF.01A	TCGA.OR.A5JG.01A	TCGA.OR.A5JI.01A	TCGA.OR.A5JJ.01A	TCGA.OR.A5JK.01A	TCGA.OR.A5JL.01A	TCGA.OR.A5JM.01A	TCGA.OR.A5JO.01A	TCGA.OR.A5JP.01A	TCGA.OR.A5JQ.01A	TCGA.OR.A5JR.01A	TCGA.OR.A5JS.01A	TCGA.OR.A5JT.01A	TCGA.OR.A5JV.01A	TCGA.OR.A5JW.01A	TCGA.OR.A5JX.01A	TCGA.OR.A5JY.01A	TCGA.OR.A5JZ.01A	TCGA.OR.A5K0.01A	TCGA.OR.A5K1.01A	TCGA.OR.A5K2.01A	TCGA.OR.A5K3.01A	TCGA.OR.A5K4.01A	TCGA.OR.A5K5.01A	TCGA.OR.A5K6.01A	TCGA.OR.A5K8.01A	TCGA.OR.A5K9.01A	TCGA.OR.A5KO.01A	TCGA.OR.A5KT.01A	TCGA.OR.A5KU.01A	TCGA.OR.A5KV.01A	TCGA.OR.A5KW.01A	TCGA.OR.A5KX.01A	TCGA.OR.A5KY.01A	TCGA.OR.A5KZ.01A	TCGA.OR.A5L3.01A	TCGA.OR.A5L4.01A	TCGA.OR.A5L5.01A	TCGA.OR.A5L6.01A	TCGA.OR.A5L8.01A	TCGA.OR.A5L9.01A	TCGA.OR.A5LA.01A	TCGA.OR.A5LB.01A	TCGA.OR.A5LC.01A	TCGA.OR.A5LD.01A	TCGA.OR.A5LE.01A	TCGA.OR.A5LG.01A	TCGA.OR.A5LH.01A	TCGA.OR.A5LJ.01A	TCGA.OR.A5LK.01A	TCGA.OR.A5LL.01A	TCGA.OR.A5LM.01A	TCGA.OR.A5LN.01A	TCGA.OR.A5LO.01A	TCGA.OR.A5LP.01A	TCGA.OR.A5LR.01A	TCGA.OR.A5LS.01A	TCGA.OR.A5LT.01A	TCGA.OU.A5PI.01A	TCGA.P6.A5OF.01A	TCGA.P6.A5OG.01A	TCGA.PA.A5YG.01A	TCGA.PK.A5H8.01A	TCGA.PK.A5H9.01A	TCGA.PK.A5HA.01A	TCGA.PK.A5HB.01A
hsa-let-7a-1	71397.324	35313.476	45031.689	56806.898	57540.371	43854.845	23642.561	100086.205	13230.969	60040.073	60883.904	45056.209	76202.58	46446.074	47959.47	35617.644	95510.801	25505.377	38727.574	124946.595	50246.804	64415.064	53281.213	37856.063	55801.842	118675.833	23781.867	119403.038	42345.52	16276.31	83722.906	64811.301	60589.251	123161.533	31308.968	79658.379	55007.996	15206.64	50973.763	81309.637	83820.474	55251.101	25238.293	78240.618	61131.989	57749.033	59761.926	42854.817	45174.434	49384.261	66612.272	71027.793	131013.18	56534.813	54002.691	50659.825	29378.002	30636.304	64857.744	82708.625	80035.314	60984.516	79958.134	81416.967	50859.138	53175.847	34488.527	30207.511	49911.42	48341.636	56688.958	47956.915	63263.7	35078.187	32681.654	56502.691	123304.212	80030.692	56211.324
hsa-let-7a-2	70806.141	34969.75	45432.534	56047.384	56402.396	43816.898	23090.554	99730.873	13149.199	60008.627	60587.937	43923.578	76277.537	46698.447	47746.331	34930.502	95578.617	25621.537	39143.067	124553.183	49894.426	63832.873	53124.404	38201.582	55533.354	118824.216	23704.612	118896.963	42019.663	16529.131	83434.64	64565.281	60113.943	123411.529	31280.979	79156.835	54708.995	15205.587	50270.011	80487.17	83306.668	55028.892	25438.304	77481.522	60789.934	57574.479	59526.332	42741.635	44782.718	49056.265	66990.845	70125.408	130830.243	56282.407	53883.896	50435.628	29095.46	30772.154	64774.446	82390.688	79547.423	59997.781	79299.993	80586.765	51113.022	53044.613	34266.885	29930.786	49655.423	48706.53	56872.102	47674.309	62588.416	35530.864	32260.501	55767.815	122366.653	79758.449	56381.917
hsa-let-7a-3	72088.883	35863.563	45724.988	56413.578	57471.769	44436.363	23537.607	100903.359	13245.79	60409.275	61232.551	44959.352	77398.191	46264.064	48024.685	35183.082	95362.252	25502.749	39529.642	126962.834	50392.847	64908.77	53493.777	38444.762	55855.239	119837.848	23745.684	119363.133	41879.468	16596.055	83680.238	64882.666	60770.321	123781.777	31117.467	79992.742	55206.246	15539.14	50719.704	80847.671	83642.163	55054.761	25479.103	79169.335	61672.435	59441.105	59751.608	43807.313	45147.211	49515.274	67505.806	70815.179	131146.154	56591.789	54630.377	51167.788	29190.547	31727.815	65892.817	82933.935	80167.319	60081.634	80133.752	81321.963	51037.93	53668.79	34622.653	30398.355	50334.49	48695.855	57026.631	48298.234	63695.08	35051.141	33088.409	56385.596	123467.065	80604.635	57026.052
hsa-let-7b	60149.35	66551.162	51462.596	42637.215	49780.35	33227.532	19241.727	64982.25	24143.746	71195.314	24193.605	27234.555	52890.028	21977.119	49330.559	12024.2	82814.134	36186.361	42835.321	79916.926	40578.495	36887.181	30762.515	27458.084	42618.113	91777.982	19409.618	65529.553	17175.705	3031.069	68188.832	56416.566	42886.116	94672.537	11544.574	59363.388	28994.939	35937.418	21402.023	85957.949	51579.165	67223.19	32759.131	48941.532	46060.21	55996.417	45888.499	30061.917	30272.573	18779.381	36102.095	21023.318	75433.578	53418.326	43435.568	42699.212	36320.198	21729.354	46538.682	86203.426	38838.058	28835.674	49159.363	60673.804	34581.925	23976.63	32306.834	21221.913	38028.647	30608.379	28585.428	33983.181	69228.402	26433.198	21246.63	32427.421	57556.383	51033.625	50377.833
hsa-let-7c	7648.474	9704.62	3405.139	1461.386	26361.741	476.906	8999.556	12643.074	1873.054	661.534	3935.687	10946.797	7472.565	5991.286	2734.224	9496.836	5244.439	6120.239	10192.508	1036.722	18082.526	7067.739	16797.769	14450.983	2408.117	42682.369	1384.725	10332.833	6294.348	1425.839	22822.924	431.944	8005.186	2919.785	4141.581	14665.774	2946.131	1286.861	1743.003	21513.063	2400.859	3979.199	1534.418	4144.798	4993.141	914.442	3115.18	8254.056	6624.394	7071.885	13258.976	13702.339	21747.136	16669.87	10385.719	3099.765	3009.251	466.734	5864.958	13955.839	5069.002	2605.293	9502.12	17979.423	5406.666	3556.373	1274.675	3940.94	8406.597	1233.458	19009.258	3577.589	4470.341	1302.514	3515.908	16193.522	17999.556	474.864	1503.962
hsa-let-7d	6787.163	7471.027	1971.504	4953.794	4407.971	7322.816	6004.778	8118.299	2902.34	8332.073	3399.307	3119.185	8704.266	2108.115	4035.327	2146.927	3963.47	1646.22	2757.776	7786.957	1688.873	8251.226	3732.934	5362.123	1389.819	5179.927	6004.386	1589.876	3936.809	329.04	7218.084	6308.259	4633.954	8895.427	4214.499	4924.834	1098.502	2017.1	4109.202	3149.01	3821.43	2827.692	2201.124	4364.801	2487.592	6784.8	7537.308	5084.296	1922.284	3948.028	3190.465	3765.326	3010.764	3634.779	1987.406	2363.273	2979.366	9313.157	5040.632	4539.57	1221.841	3129.861	3936.909	2280.085	4419.735	3201.846	2278.72	3799.397	6301.13	2602.78	4463.003	2960.709	3336.374	2505.381	3457.414	3270.603	3313.105	9897.171	6433.507
hsa-let-7e	10438.326	7997.279	15159.517	9921.151	27116.355	10929.866	11862.14	71301.071	3308.637	13485.752	65286.05	27167.348	24324.009	16692.291	8072.244	37523.757	15083.146	6406.698	17467.436	31127.758	9344.737	33596.143	29991.536	29681.156	10001.734	48752.596	15074.53	31892.748	32365.954	12415.206	31501.067	9987.294	17014.594	39339.034	35680.35	29628.5	45722.725	1981.325	21086.883	19414.519	24109.15	8815.395	11920.1	23493.346	50589.868	19037.382	24380.603	13065.626	13279.036	36423.32	25644.813	32705.333	39398.958	45939.858	17288.663	10570.828	10722.097	16655.808	18126.522	21455.309	20560.083	20407.475	28887.435	17061.775	54413.52	24299.818	15039.741	22409.921	20972.03	13458.371	46312.675	20411.045	24281.087	5860.6	20934.365	62036.471	35888.346	30249.388	12854.269
hsa-let-7f-1	33160.856	8312.78	32094.205	47934.825	34802.394	35930	21019.526	90667.196	5266.528	30523.758	64096.436	56054.399	54614.965	38800.757	34935.719	39333.388	72860.248	9621.874	23520.236	69393.142	26589.191	48559.156	39022.885	28728.7	33876.091	73557.665	10536.035	104104.677	36721.831	5723.803	60742.841	43101.426	37128.815	63086.544	45955.124	47506.377	9628.146	4072.08	47770.143	49024.525	63200.639	29745.49	20215.113	60806.604	43793.244	29590.816	38785.408	30239.189	29487.628	48686.457	44109.487	63081.71	69064.625	32382.8	36799.913	51840.379	17476.837	21335.253	48652.07	43561.511	38578.272	73346.005	44512.31	45355.561	54231.153	33674.228	50530.885	22331.992	27921.688	38379.841	61695.672	47643.778	43811.527	18770.432	26927.696	53932.644	60154.78	43333.148	34110.727
hsa-let-7f-2	33898.912	8603.191	32818.18	48885.574	35176.339	36890.991	21364.03	91940.74	5410.648	31828.192	64819.591	56556.474	55290.503	39944.411	35377.903	40653.548	74397.411	9824.235	23693.739	69289.771	27781.651	49466.127	40246.869	29553.486	34758.265	76111.014	10843.1	107220.036	37812.316	5685.694	62459.946	43199.083	38565.46	63918.81	46696.823	49182.281	9610.271	4236.226	49252.005	49480.522	65976.711	30323.897	20228.049	62455.79	44231.929	29910.046	38774.23	30601.915	30085.033	50254.89	45291.093	65155.922	70113.05	32690.344	37366.597	53077.252	17553.811	21717.248	49262.007	44792.369	39698.732	74036.329	45279.572	47058.068	53369.376	34365.654	50533.739	22755.031	28480.391	38530.263	64532.123	47942.824	44241.088	19308.519	28142.56	54633.199	61658.699	44550.657	35249.973
hsa-let-7g	4637.206	7468.518	2552.321	1788.249	5295.753	3571.155	2937.895	5520.139	1393.164	2764.934	3857.146	10282.636	4647.334	2478.7	2422.469	4921.38	3219.647	2057.25	2733.425	5927.281	2698.444	2896.878	4994.379	5290.182	3716.713	5746.482	4926.726	4766.907	3020.62	649.714	4753.779	5604.002	3850.113	4367.019	4450.929	3623.625	2830.756	3175.591	3129.261	2820.74	2094.096	3414.722	3318.602	5632.76	2724.464	3178.925	3431.599	3285.668	4104.704	4237.928	4421.783	4038.687	6940.821	3201.032	2989.135	3263.31	3312.621	4005.572	5617.342	4431.922	4140.741	4713.317	6046.029	4330.219	4276.702	5257.844	3036.866	4519.835	3851.639	2077.76	6033.468	2533.277	3416.462	3565.898	6515.273	4425.408	4226.269	7739.752	2480.459
