	TCGA.3X.AAV9.01A	TCGA.3X.AAVA.01A	TCGA.3X.AAVB.01A	TCGA.3X.AAVC.01A	TCGA.3X.AAVE.01A	TCGA.4G.AAZO.01A	TCGA.4G.AAZT.01A	TCGA.W5.AA2G.01A	TCGA.W5.AA2H.01A	TCGA.W5.AA2I.01A	TCGA.W5.AA2I.11A	TCGA.W5.AA2O.01A	TCGA.W5.AA2Q.01A	TCGA.W5.AA2Q.11A	TCGA.W5.AA2R.11A	TCGA.W5.AA2T.01A	TCGA.W5.AA2U.01A	TCGA.W5.AA2U.11A	TCGA.W5.AA2W.01A	TCGA.W5.AA2X.01A	TCGA.W5.AA2X.11A	TCGA.W5.AA2Z.01A	TCGA.W5.AA30.01A	TCGA.W5.AA30.11A	TCGA.W5.AA31.01A	TCGA.W5.AA31.11A	TCGA.W5.AA33.01A	TCGA.W5.AA34.01A	TCGA.W5.AA34.11A	TCGA.W5.AA36.01A	TCGA.W5.AA38.01A	TCGA.W5.AA39.01A	TCGA.W6.AA0S.01A	TCGA.WD.A7RX.01A	TCGA.YR.A95A.01A	TCGA.ZD.A8I3.01A	TCGA.ZH.A8Y1.01A	TCGA.ZH.A8Y2.01A	TCGA.ZH.A8Y4.01A	TCGA.ZH.A8Y5.01A	TCGA.ZH.A8Y6.01A	TCGA.ZH.A8Y8.01A	TCGA.ZU.A8S4.01A	TCGA.ZU.A8S4.11A
ENSG00000000971.16	6315.673766	1147.115994	2704.877489	827.0895621	1602.507964	211.2988246	9216.11597	13883.3061	1033.108568	1343.586262	108738.5335	10443.45825	905.8447783	76083.47328	127346.5993	836.3482765	2889.190985	78981.24507	1647.286903	925.43746	87748.94278	3327.143673	2265.720099	95612.24952	9510.029477	129125.3882	9473.069031	10285.14507	92992.7437	9505.928991	406.6214386	74109.18802	1395.412313	12822.31127	7551.014341	13015.98033	15464.61268	13578.42246	2688.823182	1709.383982	1696.021732	6336.940477	10327.62129	180999.2499
ENSG00000001626.16	3866.956536	58050.55731	12933.15318	12913.91716	32748.40613	6255.90244	11740.08263	1496.74708	4.373872008	681.5011242	289.3188153	5417.76366	249.3394119	243.6764197	533.8352227	7313.736346	282.6151516	504.5387503	30.88662942	1337.852328	3513.559438	22458.39261	153.5851057	688.0157284	776.3289369	619.6218869	3190.37607	2938.860569	329.6899241	1269.883949	1918.773727	24.78686589	16319.50762	1160.561869	31595.97044	4418.574983	2865.304104	6231.583426	60048.55367	1233.285739	35.53945422	7700.32939	8124.997659	656.3310876
ENSG00000002933.9	3766.941973	4766.884218	2322.540859	1753.685484	6913.272828	4314.867721	7796.874405	6370.490002	3745.783988	551.414015	37613.60508	3527.72034	676.3994684	59205.67495	65839.67747	6182.079528	4001.235567	37481.28044	4295.815376	5968.879618	55213.34487	1006.507623	773.3621695	54438.99523	4173.652909	59329.27231	2874.100693	9731.182859	56871.51191	720.7449443	164.123846	13069.76028	2019.077783	6777.586444	2837.677214	2922.954525	157.0986106	8863.520712	10801.58411	8174.436796	48.70221504	9639.976505	5825.83765	80564.641
ENSG00000003096.14	159.0395523	68.48453697	69.37559817	468.3189242	22.80310646	128.236528	137.670909	113.5964694	29.74232966	10.67879254	133.8639294	81.11773905	112.070108	202.6361806	237.9498086	18.68131889	27.62403737	418.612937	87.5121167	26.87992622	191.3417313	285.4997583	248.0467415	143.5858911	66.07054782	265.0075147	517.9181931	295.619898	196.8046996	48.88169175	25.8172342	38.95078925	61.11294803	71.1516132	165.2041092	11.13365106	70.69437479	157.4381527	79.24457	136.0280694	445.5594538	49.39356023	16.82744229	223.334884
ENSG00000003989.18	1243.623715	856.9578244	1669.639396	411.7189763	948.2947032	136.9799276	515.9860897	2956.234519	231.8152164	180.5686739	35933.82867	757.0988978	332.8946403	23041.52925	47571.33956	134.3617936	1981.139296	38838.46765	452.1459363	2995.959777	16127.10651	1372.887458	639.4848871	30707.43822	4176.602487	33787.50486	941.9205539	1296.04618	38286.08348	731.1453042	39.64789537	8423.99342	695.7474083	1270.451582	664.4673565	120.2434314	644.1043037	300.039202	2242.385951	2213.112926	733.8239158	1369.088169	397.6590309	35191.19672
ENSG00000004468.13	564.836348	56.7700767	117.1676769	380.6802951	294.0814419	110.7497287	106.3311898	132.6806762	2582.334034	31.06557831	66.93196472	34.24971204	13.92587141	348.8420325	227.6041647	16.5257821	87.83027267	266.5903441	108.9611649	380.9269545	217.6043218	67.05442266	303.7723109	277.2005399	77.27894433	390.838421	144.3265365	13.00380783	250.631626	17.68061191	16.59679341	173.5080612	37.60796802	234.0097501	54.76379312	8.164677443	16.58263112	36.26847497	48.64518158	2.125438585	11.84648474	109.5523836	495.96672	346.3969629
ENSG00000004776.13	497.6134445	93.71568216	101.7508773	20.0838525	76.27245954	26.23019891	226.0936879	158.1262854	100.5990562	55.33556137	239.6596156	74.80858156	30.50428975	389.8822716	144.8390139	20.83685569	92.08012457	116.7709772	31.74459135	16.89595363	219.4802212	150.0083476	233.095979	528.4758494	51.32265768	101.0460308	112.5608873	11.26996679	142.9777732	41.60143978	3.688176314	483.3438848	79.91693204	181.0413269	191.6732759	33.40095318	47.12958319	55.22699597	26.6763899	80.76666622	82.26725513	202.0069963	27.45530057	93.43602289
ENSG00000004799.8	6250.090446	861.4633861	1762.140193	8537.463118	712.4004984	288.532188	672.6846852	1811.182108	1898.260452	524.231634	18861.85948	879.6768145	425.0706463	6084.215448	16875.81425	753.0008538	11935.70907	87824.99417	177.5981192	414.7188617	12756.11542	1239.469895	1007.817309	9969.248192	932.0666568	28365.33672	2448.717217	954.4794947	18176.6802	898.5910993	70.07534996	922.425509	720.0358877	2481.610154	1195.67615	119.501188	880.6249897	3203.99005	1832.824906	633.3806982	15536.66473	3592.431631	1115.92512	70425.69306
ENSG00000004838.14	32.79166026	149.5846465	25.43771933	31.03868114	54.2556671	14.57233273	468.976511	26.35438089	57.73511051	260.1742183	12.95457382	12.61831496	83.55522845	15.39008967	4.13825754	127.8951832	17.70771626	15.42258189	42.89809642	13.05596417	24.38669124	115.4442122	87.66583468	13.95973942	23.59662422	11.4391733	77.34245017	50.28139027	6.728365798	30.16104384	8.298396706	28.32784673	54.06145403	335.2031555	247.3497989	135.8305429	87.27700592	42.03845962	171.0427352	231.1414461	46.72780091	29.12953552	100.0789989	13.67356432
ENSG00000005001.10	2156.871454	2219.439665	3311.528552	989.5861869	942.7905051	2069.271247	1911.722866	2163.785549	7.872969615	2145.466502	21.59095636	1011.267813	2115.406181	66.69038856	97.2490522	832.0372029	1563.237192	85.92581338	533.6523195	431.6148154	298.2679929	1481.418843	704.724578	79.76993953	3670.454898	64.82198202	773.4245017	3592.518643	35.32392044	917.3117472	2106.870719	31.86882757	2479.775391	1178.745059	1576.284512	2421.197984	4746.996352	92.31975446	173.3965344	2584.001959	155.3205777	3327.099557	404.7442697	54.6942573
