	TCGA.3X.AAV9.01A	TCGA.3X.AAVA.01A	TCGA.3X.AAVB.01A	TCGA.3X.AAVC.01A	TCGA.3X.AAVE.01A	TCGA.4G.AAZO.01A	TCGA.4G.AAZT.01A	TCGA.W5.AA2G.01A	TCGA.W5.AA2H.01A	TCGA.W5.AA2I.01A	TCGA.W5.AA2I.11A	TCGA.W5.AA2O.01A	TCGA.W5.AA2Q.01A	TCGA.W5.AA2Q.11A	TCGA.W5.AA2R.11A	TCGA.W5.AA2T.01A	TCGA.W5.AA2U.01A	TCGA.W5.AA2U.11A	TCGA.W5.AA2W.01A	TCGA.W5.AA2X.01A	TCGA.W5.AA2X.11A	TCGA.W5.AA2Z.01A	TCGA.W5.AA30.01A	TCGA.W5.AA30.11A	TCGA.W5.AA31.01A	TCGA.W5.AA31.11A	TCGA.W5.AA33.01A	TCGA.W5.AA34.01A	TCGA.W5.AA34.11A	TCGA.W5.AA36.01A	TCGA.W5.AA38.01A	TCGA.W5.AA39.01A	TCGA.W6.AA0S.01A	TCGA.WD.A7RX.01A	TCGA.YR.A95A.01A	TCGA.ZD.A8I3.01A	TCGA.ZH.A8Y1.01A	TCGA.ZH.A8Y2.01A	TCGA.ZH.A8Y4.01A	TCGA.ZH.A8Y5.01A	TCGA.ZH.A8Y6.01A	TCGA.ZH.A8Y8.01A	TCGA.ZU.A8S4.01A	TCGA.ZU.A8S4.11A
hsa-let-7a-1	39482.418	47110.325	46150.747	25168.106	39275.236	34081.794	37835.198	24048.027	32014.377	35563.956	30057.125	26100.982	59875.47	39713.001	36820.981	40786.756	23480.795	30896.667	64605.532	35541.106	27189.613	52403.486	24911.329	25818.64	28558.128	29111.557	34843.383	35153.706	25761.307	37336.728	35548.032	33009.048	42999.083	30898.571	42672.557	24288.71	47741.102	34801.482	36166.745	59710.307	37804.627	39878.223	45942.257	39993.834
hsa-let-7a-2	39469.322	47003.095	45792.541	25091.163	39189.097	33723.94	37551.618	23756.285	32223.396	35418.955	29545.875	25573.262	60181.435	39718.061	36695.232	40543.32	23357.973	30876.872	64428.368	35111.286	27101.657	52609.811	25119.32	25705.136	28815.774	29312.242	34479.453	35019.937	25917.372	37484.774	35263.177	32716.983	43268.708	30736.836	42565.213	24760.863	48041.021	34786.571	36237.528	59306.076	38307.76	39955.802	46449.548	39992.515
hsa-let-7a-3	39708.124	47277.65	46199.955	25188.055	39432.626	33837.888	37575.137	24165.902	32361.26	35527.586	29899.631	26436.804	60482.466	39696.373	36751.77	40656.79	23650.726	30826.149	64862.903	35518.148	27081.628	52349.19	25414.468	25854.11	28797.516	29262.408	34564.766	35422.386	26077.94	37747.967	35634.937	33134.487	43126.368	31194.782	43044.067	24650.319	48080.073	35385.379	36443.028	59734.189	38410.341	39962.092	46109.555	39974.72
hsa-let-7b	45393.919	41253.939	89590.704	49262.804	100965.814	98598.1	82289.524	42747.463	53655.629	62148.869	49649.379	42437.731	236654.426	57694.241	52330.964	77918.974	28430.673	51315.882	137226.598	105086.425	44215.56	63175.802	36967.85	43413.198	36830.187	41345.306	79202.958	46463.442	39952.76	47267.207	68133.567	46809.156	48610.575	38977.122	89307.613	65748.236	161811.289	120810.052	64998.305	216272.402	22321.057	49797.327	97894.298	51077.637
hsa-let-7c	10035.07	3824.915	7056.306	721.939	5018.408	2402.328	7161.425	6953.167	6548.522	4194.495	22017.662	3389.261	6347.55	24000.29	28499.145	1699.552	4255.011	27478.412	2741.183	2785.537	16963.246	11145.477	3983.515	18943.128	4449.972	21354.85	6736.495	5960.135	19817.313	3484.778	1852.043	6713.768	4027.956	6811.024	9048.756	3713.52	10865.836	4890.917	4631.727	3261.268	4583.156	4653.167	6091.815	26131.335
hsa-let-7d	946.734	2988.289	1660.052	2581.88	2505.482	1240.245	2452.773	2117.334	1914.525	1177.713	2161.302	1585.982	3475.422	1487.051	2224.485	2351.88	2328.563	1715.932	1952.321	2508.769	1518.759	1660.469	1926.389	1924.604	2239.694	2141.546	1315.334	1831.601	2666.619	3149.46	1605.812	2480.687	2470.425	1441.982	1764.465	2090.963	1854.971	3280.493	1720.486	3713.264	724.17	858.611	1783.075	1705.708
hsa-let-7e	6487.707	7263.333	4666.092	5499.082	2801.12	4160.52	4267.825	6101.518	2131.327	4999.895	2030.461	1902.05	4135.469	2304.676	1552.851	7252.589	5880.294	1688.714	3883.489	3818.635	1922.832	6073.248	3209.988	1620.271	9078.47	1403.453	1751.618	7955.231	1557.653	6829.102	5308.934	1673.762	4732.814	3966.131	6854.076	4631.596	5817.971	4182.237	4573.502	6710.941	4086.129	6866.265	4292.549	2324.587
hsa-let-7f-1	20417.557	22679.65	14763.174	9693.924	9988.961	10240.265	13092.432	7853.439	12689.011	12861.044	10108.692	10678.572	10821.061	13719.615	13825.536	13638.407	8871.756	10289.404	17809.754	11496.717	9436.508	19439.923	7795.685	7845.972	14344.997	10159.548	8768.891	18800.779	9332.415	12526.98	13481.872	7932.581	20643.447	12992.374	14237.324	7437.346	10311.297	9460.849	12372.203	11543.138	6292.833	18859.034	11424.851	16663.603
hsa-let-7f-2	20698.727	23642.36	15169.865	9817.414	9913.456	10268.517	13554.09	7956.58	12881.353	13268.29	10232.264	10991.818	10944.434	14345.665	14318.783	14087.289	8877.645	10467.554	17945.491	11603.853	9673.378	20020.396	8024.475	8219.826	14855.217	10407.375	9004.312	19950.96	9767.598	12947.077	14036.133	8172.225	21214.177	13803.773	14542.583	7604.098	10384.715	9597.405	12519.478	11601.517	6538.294	19322.411	11404.344	17014.235
hsa-let-7g	2297.89	3545.647	2148.515	2368.148	2974.462	2674.485	2667.811	2482.748	5483.414	2037.668	3804.086	2511.609	4086.12	2927.834	3136.894	1909.997	2421.941	3277.219	2143.587	1864.677	3155.953	2102.734	2435.471	2921.312	2087.541	3181.341	2314.253	2367.819	3323.894	2759.732	2179.386	1426.629	2389.674	3198.346	3235.412	2203.38	1761.246	1801.917	2045.86	3844.174	860.945	2465.754	2369.159	2813.627
