	TCGA.FA.8693.01A	TCGA.FA.A4BB.01A	TCGA.FA.A4XK.01A	TCGA.FA.A6HN.01A	TCGA.FA.A6HO.01A	TCGA.FA.A7DS.01A	TCGA.FA.A7Q1.01A	TCGA.FA.A82F.01A	TCGA.FA.A86F.01A	TCGA.FF.8041.01A	TCGA.FF.8042.01A	TCGA.FF.8043.01A	TCGA.FF.8046.01A	TCGA.FF.8047.01A	TCGA.FF.8061.01A	TCGA.FF.8062.01A	TCGA.FF.A7CQ.01A	TCGA.FF.A7CR.01A	TCGA.FF.A7CW.01A	TCGA.FF.A7CX.01A	TCGA.FM.8000.01A	TCGA.G8.6324.01A	TCGA.G8.6325.01A	TCGA.G8.6326.01A	TCGA.G8.6906.01A	TCGA.G8.6907.01A	TCGA.G8.6909.01A	TCGA.G8.6914.01A	TCGA.GR.7353.01A	TCGA.GR.A4D4.01A	TCGA.GR.A4D5.01A	TCGA.GR.A4D6.01A	TCGA.GR.A4D9.01B	TCGA.GS.A9TQ.01A	TCGA.GS.A9TT.01A	TCGA.GS.A9TU.01A	TCGA.GS.A9TV.01A	TCGA.GS.A9TW.01A	TCGA.GS.A9TX.01A	TCGA.GS.A9TY.01A	TCGA.GS.A9TZ.01A	TCGA.GS.A9U3.01A	TCGA.GS.A9U4.01A	TCGA.RQ.A68N.01A	TCGA.RQ.A6JB.01A	TCGA.RQ.AAAT.01A	TCGA.VB.A8QN.01A
ENSG00000000971.16	3239.351871	898.7596332	2229.868692	1786.198909	695.224984	1748.780412	1114.325124	2390.090688	739.4027011	1040.746844	1942.3134	933.3724913	2068.189326	420.3838141	2076.834959	1841.419387	3136.365076	2641.162457	456.0942613	608.4578458	954.9033017	2016.772304	1596.13243	3185.219731	969.7569305	279.7303414	1445.295512	2043.173609	1842.975066	1298.44133	3756.328601	1021.603428	3093.288337	1313.958401	852.5408621	1624.430401	1809.350131	2896.945408	2017.35494	1214.158507	1788.775941	1708.797183	2367.632405	1291.381076	4225.222083	412.8030504	1812.645353
ENSG00000002933.9	11645.11191	11192.62773	3907.978066	3970.925019	5134.988729	2358.929241	1654.381817	4107.877025	4485.470431	6029.109659	8344.490843	4861.166053	7934.502038	2219.261978	6347.601289	9320.637369	3152.929117	5368.04815	1885.50308	1443.813975	7225.320486	4566.185552	13096.37692	23469.80533	4350.912265	2289.995846	8625.461868	6275.539056	3898.775262	5258.889099	7698.238733	4158.372971	3183.433075	2256.827685	1184.122513	3151.023032	6580.695909	3415.962209	3423.333545	7180.420837	5428.116283	5808.462289	3936.678934	5534.360224	3936.357702	1747.260436	2541.655331
ENSG00000003096.14	5.580278848	4.465886376	41.85760343	15.94108799	6.627502231	16.8964291	6.516521191	26.30756159	4.785778001	1.289649125	5.918078612	8.344326232	13.53021054	6.835509172	105.7120379	6.193114531	26.64650007	6.650940715	128.8348738	23.15288606	3.434903963	203.371997	2.451816328	3.568873648	4.103343853	2.370596114	7.71853411	5.408082606	84.90364246	9.797382431	26.02667806	13.08350174	9.455741807	2.27197418	4.785714543	9.702919268	10.61647185	9.240655208	12.46434933	36.18353165	13.90240368	5.06846622	5.965956384	4.553529887	25.07825813	14.3050562	16.63931477
ENSG00000003989.18	32.55162662	207.6637165	79.90997018	241.5074831	134.5382953	109.8267892	76.56912399	215.3322634	116.0551165	94.14438612	66.28248045	458.9379427	135.3021054	41.01305503	121.9754283	221.9199374	187.9658519	71.68236104	29.1524167	72.23700452	319.4460685	230.0040443	77.23221433	115.9883936	60.18237651	106.6768251	34.73340349	102.7535695	166.4111392	250.1214103	236.503292	88.31363678	142.4665099	60.58597813	65.63265659	178.6954299	96.30656608	41.58294844	360.2196958	78.39765192	133.6175465	188.2573168	109.0917739	66.48153635	65.94653064	253.4038527	105.0356745
ENSG00000004468.13	3004.050113	1421.268339	457.2626072	1321.516195	3346.888627	1684.949458	7037.028321	2548.910412	1683.995634	1563.054739	1055.785224	2258.928316	4281.345193	3620.541358	1764.577863	745.2381152	4724.352445	6804.651345	1420.004813	2306.953567	434.5153513	1566.448596	2678.609338	6756.770035	1161.24631	2925.315604	5576.640894	3081.525469	3417.654621	3731.073756	1698.523642	3364.640532	2430.125644	3444.312857	2419.520538	2378.832374	6132.529133	3067.127475	2243.58288	633.211804	6152.585986	3278.573578	6947.782349	1844.179604	1883.655833	576.289407	373.3446251
ENSG00000004776.13	14.8807436	18.9800171	17.75777115	20.72341439	11.26675379	50.68928731	22.80782417	103.2815381	47.25955776	5.158596499	3.550847167	7.152279627	36.72485718	6.835509172	0	19.61152935	13.68333788	11.08490119	12.225207	66.68031186	12.02216387	6.052738007	6.12954082	13.38327618	8.206687705	7.111788341	1.929633527	18.38748086	24.90506845	10.95001566	36.7768277	32.70875436	39.0837328	5.301273087	12.98979662	4.851459634	15.92470778	6.930491406	25.55191613	10.05098102	3.089423041	10.13693244	7.670515351	14.57129564	22.291785	57.22022481	17.67927194
ENSG00000004799.8	151.5975754	161.8883811	48.83387067	834.5159564	474.5291597	653.3285919	749.3999369	264.0499701	222.538677	70.93070187	76.93502195	8.344326232	819.5441813	79.74760701	102.4593598	82.57486041	560.2966772	107.8930383	119.4308684	116.6905458	1758.670829	1438.13055	42.90678574	454.1391717	199.6960675	272.6185531	34.73340349	195.7725903	138.1099251	517.532319	1200.621975	145.008811	903.9689168	193.1178053	132.6326602	156.8638615	131.9475787	40.81289384	251.7798565	233.1827596	128.2110562	178.1203843	50.28448952	46.44600485	46.44121876	363.7571434	851.7249247
ENSG00000004838.14	15.81079007	68.10476724	26.63665673	144.2668463	35.78851205	14.08035758	105.0789042	27.28191573	21.536001	30.951579	65.09886473	42.91367776	44.45640606	79.74760701	22.76874662	121.7979191	19.4447433	9.606914366	42.31802424	157.4396252	89.30750303	13.31602362	40.45496941	28.55098919	41.03343853	28.44715336	40.52230408	49.75435998	15.84867993	488.1401717	11.31594698	67.59809235	40.34449838	21.20509235	10.9387761	15.36295551	27.29949905	49.28349444	20.5661764	44.22431647	31.66658617	22.44606469	17.89786915	33.69612116	31.58002876	51.08948643	42.63824409
ENSG00000004939.15	1.860092949	11.16471594	2.53682445	7.970543996	0.662750223	0	26.06608476	0	1.79466675	7.737894749	5.918078612	3.576139814	63.78527826	3.417754586	0	4.128743021	2.160527033	0.738993413	1.880801077	3.70446177	24.04432774	18.15821402	4.903632656	9.814402533	10.94225027	11.85298057	0	12.97939825	2.264097132	4.034216295	61.67191106	5.45145906	4.41267951	0	3.418367531	0.808576606	21.99126312	1.540109201	10.59469693	4.020392406	1.54471152	2.896266412	5.1136769	62.83871244	1.85764875	4.087158915	12.47948608
ENSG00000005100.13	411.0805418	1722.71567	855.5440459	903.0626347	829.1005291	2691.22568	2235.166768	1088.353567	1339.419618	717.0449134	1154.025329	361.1901212	1811.115325	820.2611006	996.945834	798.9117745	2754.671967	1941.335695	986.4801651	1590.140215	726.4821881	587.1155867	676.7013065	450.5702981	634.6505159	573.6842595	760.2756098	577.5832223	474.3283492	553.263949	1100.475844	560.4099914	1829.370848	2065.981854	3680.898157	1124.730058	709.7869752	1113.498953	635.681816	1127.72007	624.0634542	1018.76171	1064.497075	881.5633861	1095.083938	1663.473678	1064.916145
ENSG00000005102.14	406.4303095	312.6120463	351.3501864	584.2408749	556.7101874	937.7518152	151.5091177	266.9730325	454.0506878	296.6192987	171.6242797	301.5877909	836.9401663	559.3725006	271.5986204	498.5457197	350.725555	427.877186	228.5173309	148.1784708	223.2687576	957.5431527	604.3727249	391.6838829	60.18237651	400.6307432	451.5342454	298.5261599	333.954327	89.32907511	822.6693458	527.701237	185.9629222	116.6280079	21.8775522	692.1415744	449.6834148	650.6961376	822.0238386	416.110614	849.5913362	432.2677619	338.3549549	6.374941842	243.3519863	0	239.1901498
ENSG00000005381.8	54.87274201	20.09648869	5.707855013	15.14403359	20.54525692	21.58988163	2.443695446	13.64095786	14.357334	5.158596499	14.20338867	1.192046605	19.3288722	13.67101834	6.505356176	23.74027237	48.2517704	55.42450596	4.702002693	2.778346328	10.30471189	38.73752324	192.4675818	219.4857294	25.9878444	21.33536502	50.17047171	25.95879651	3.396145698	4.610532909	41.30320649	9.812626309	19.5418664	3.786623633	19.82653168	25.87445138	100.8564826	53.90382205	11.84113187	2.010196203	23.17067281	39.82366316	47.72765107	98.35624556	10.21706813	34.74085078	34.31858671
ENSG00000005471.19	156.2478078	208.7801881	291.1006057	686.263838	233.2880785	16.8964291	1859.652235	533.9460649	275.7804573	76.08929837	55.62993895	166.8865246	56.05372938	525.1949547	309.0044184	155.860049	28.08685143	238.6948723	391.2066241	514.9201861	1664.21097	947.8587719	85.81357148	115.9883936	794.6809261	483.6016072	277.8672279	284.4651451	69.05496253	1954.865953	355.8865327	548.4167815	102.7523943	93.15094138	27.34694025	110.774995	192.6131322	40.04283924	296.6515142	430.1819875	39.39014377	233.8735127	229.263181	266.8368514	1494.47842	905.3056996	1463.219742
ENSG00000005513.10	9.300464747	696.6782747	24.09983228	210.4223615	647.506968	12.20297657	10.58934693	27.28191573	935.6195992	112.1994739	11.83615722	343.3094221	587.5977149	42.15230656	32.52678088	1061.086956	22.32544601	31.77671675	163.6296937	3.70446177	288.5319329	90.7910701	114.0094593	18.73658665	13.67781284	272.6185531	34.73340349	24.87717999	156.2227021	87.60012526	154.4626763	103.5777221	30.25837378	16.66114399	6.153061555	173.0353936	125.8810234	50.05354905	507.9222354	58.29568989	41.70721105	267.1805765	13.63647173	26.41047334	13.00354125	382.1493585	57.19764452
