	TCGA.FA.8693.01A	TCGA.FA.A4BB.01A	TCGA.FA.A4XK.01A	TCGA.FA.A6HN.01A	TCGA.FA.A6HO.01A	TCGA.FA.A7DS.01A	TCGA.FA.A7Q1.01A	TCGA.FA.A82F.01A	TCGA.FA.A86F.01A	TCGA.FF.8041.01A	TCGA.FF.8042.01A	TCGA.FF.8043.01A	TCGA.FF.8046.01A	TCGA.FF.8047.01A	TCGA.FF.8061.01A	TCGA.FF.8062.01A	TCGA.FF.A7CQ.01A	TCGA.FF.A7CR.01A	TCGA.FF.A7CW.01A	TCGA.FF.A7CX.01A	TCGA.FM.8000.01A	TCGA.G8.6324.01A	TCGA.G8.6325.01A	TCGA.G8.6326.01A	TCGA.G8.6906.01A	TCGA.G8.6907.01A	TCGA.G8.6909.01A	TCGA.G8.6914.01A	TCGA.GR.7353.01A	TCGA.GR.A4D4.01A	TCGA.GR.A4D5.01A	TCGA.GR.A4D6.01A	TCGA.GR.A4D9.01B	TCGA.GS.A9TQ.01A	TCGA.GS.A9TT.01A	TCGA.GS.A9TU.01A	TCGA.GS.A9TV.01A	TCGA.GS.A9TW.01A	TCGA.GS.A9TX.01A	TCGA.GS.A9TY.01A	TCGA.GS.A9TZ.01A	TCGA.GS.A9U3.01A	TCGA.GS.A9U4.01A	TCGA.RQ.A68N.01A	TCGA.RQ.A6JB.01A	TCGA.RQ.AAAT.01A	TCGA.VB.A8QN.01A
hsa-let-7a-1	25113.082	47478.125	38997.085	35605.431	94720.165	29489.161	23895.21	50056.45	27740.194	25334.983	25063.017	19583.137	42514.412	42689.877	24305.171	31890.638	46803.982	39312.36	37325.315	27095.407	31890.638	35505.263	21261.23	16859.614	26741.086	37280.437	14240.139	36603.705	18073.003	27564.447	68026.386	81869.614	55150.799	25438.014	54929.182	38990.597	35391.712	32347.961	47900.109	29369.792	23348.711	24907.036	11273.621	36527.019	28984.851	34300.972	18581.584
hsa-let-7a-2	25194.295	47191.145	38882.864	35537.545	94737.302	28882.289	24002.18	50133.597	27488.741	25310.095	25015.797	19512.396	41469.007	42860.843	24471.719	31947.728	46776.749	39259.685	37293.24	26991.804	31571.7	35690.425	21628.417	16623.062	26678.308	37475.126	14034.83	36472.815	18052.39	27424.312	68221.518	81338.796	54554.192	25140.994	54677.915	38743.419	35229.09	32034.612	48016.647	29500.304	23559.306	24814.888	10953.757	36087.049	29292.227	34438.273	18490.26
hsa-let-7a-3	25602.647	47471.639	38856.212	35454.573	95194.862	29230.524	24154.868	49916.049	27681.136	25533.374	25321.149	19719.822	42026.048	43230.778	24496.211	32071.983	46883.737	39513.18	37181.531	27187.988	31619.067	35675.391	21437.701	16944.983	26717.544	37369.295	14159.94	36767.753	18245.722	27281.163	68629.766	81348.218	55322.703	25376.344	55342.303	39267.538	35162.461	31683.13	48198.833	29942.72	23138.116	25058.352	11005.278	36069.702	29504.463	34886.385	18599.684
hsa-let-7b	43483.207	31945.548	23561.969	26095.69	27381.654	22898.553	9882.989	43668.591	22527.872	23446.361	16365.2	13824.978	42144.324	23565.284	23756.544	36927.991	18250.071	26850.677	22411.558	13651.306	18706.817	67737.743	21655.322	22927.95	22328.271	30738.888	24728.034	24284.378	15849.683	22130.817	32453.037	31646.004	22458.732	12971.977	26692.112	32038.836	20078.153	11542.54	21332.024	22147.349	20908.382	18907.736	13118.747	15561.396	24341.274	36724.099	49667.994
hsa-let-7c	2113.823	1678.102	1206.939	1504.813	2366.633	1194.346	1077.249	7991.497	865.778	354.828	420.777	711.002	3563.534	912.309	1110.97	3491.725	706.116	741.672	1180.138	894.951	2120.464	807.118	427.33	999.148	110.735	736.823	366.777	2380.445	666.001	1170.807	2232.776	2259.382	2793.438	250.453	596.478	1025.537	800.687	376.351	532.308	376.054	368.139	617.875	522.732	2023.234	2277.878	6287.154	1564.029
hsa-let-7d	2453.544	2104.518	2550.944	2077.133	2690.524	2224.272	2102.122	1703.453	1664.582	1316.205	2811.129	3031.651	1734.075	3957.27	2706.888	2176.976	2112.511	2444.177	2697.616	3525.246	4454.079	1951.326	2378.01	1518.038	2506.786	5447.297	2079.828	2380.445	1392.418	2681.405	2195.908	3451.892	2199.358	3089.765	2831.856	2151.459	1700.754	1066.052	2139.92	1712.15	1321.443	2360.921	1212.91	1985.387	2492.858	1363.952	1651.239
hsa-let-7e	3365.187	9356.837	7142.644	2896.483	5991.129	647.515	903.255	5840.151	2081.032	2552.057	1995.807	1068.901	2733.696	946.208	1106.072	2456.549	974.556	2148.825	1294.059	1154.509	2583.082	1565.966	1880.25	1420.269	1805.758	1184.108	1118.509	2219.887	1733.592	3046.811	11153.09	6484.991	4565.564	750.102	2742.441	2122.706	1936.781	3191.524	2170.963	2287.291	1520.785	1838.104	1075.518	3030.908	2340.085	3510.969	1104.117
hsa-let-7f-1	12097.288	45166.073	39611.977	27549.588	109254.137	22375.738	21650.165	35321.705	20286.105	10347.601	16497.415	14790.766	22913.067	23468.01	14631.695	13310.364	45961.701	38360.461	26382.219	21056.693	23909.295	16934.436	9712.252	14493.135	19331.462	20451.325	6151.8	25657.846	5362.835	21686.302	74911.754	93748.644	67363.557	16718.71	41648.207	22928.554	25908.825	20191.985	35157.789	25934.431	13024.735	18945.565	7425.584	35479.921	21705.705	20930.02	9138.996
hsa-let-7f-2	12566.264	46143.75	40459.119	28400.996	110345.77	22697.186	22047.42	35891.717	20708.034	10616.388	17096.576	15200.221	23513.984	23904.268	14792.365	13305.327	46062.853	39220.18	26855.601	21163.602	24324.546	16689.135	9695.633	14665.78	19477.074	20469.296	6235.207	26345.453	5539.819	21913.833	75848.746	96585.959	68602.276	17049.712	42214.125	23466.797	26864.228	20211.88	35523.179	26073.792	13031.166	19112.401	7673.533	36366.17	22156.707	21112.585	9320.822
hsa-let-7g	2349.454	7886.268	4403.234	6036.225	21930.344	3104.56	2741.28	3678.567	4599.824	1409.356	3019.944	2332.039	4063.345	4079.599	2232.717	3810.757	6205.258	5123.978	6386.238	4696.287	4539.34	5755.065	2772.894	3940.317	4537.501	5663.951	3015.483	4467.697	1709.426	3232.151	12855.323	15269.15	7007.61	7020.247	3709.03	4109.716	7122.612	3272.763	7254.863	3477.39	3125.165	6947.936	3178.253	6104.395	3865.074	3004.013	2844.212
