	TCGA.2H.A9GF.01A	TCGA.2H.A9GG.01A	TCGA.2H.A9GH.01A	TCGA.2H.A9GI.01A	TCGA.2H.A9GJ.01A	TCGA.2H.A9GK.01A	TCGA.2H.A9GL.01A	TCGA.2H.A9GM.01A	TCGA.2H.A9GN.01A	TCGA.2H.A9GO.01A	TCGA.2H.A9GQ.01A	TCGA.2H.A9GR.01A	TCGA.IC.A6RE.01A	TCGA.IC.A6RE.11A	TCGA.IC.A6RF.01A	TCGA.IC.A6RF.11A	TCGA.IG.A3I8.01A	TCGA.IG.A3I8.11A	TCGA.IG.A3QL.01A	TCGA.IG.A3Y9.01A	TCGA.IG.A3YA.01A	TCGA.IG.A3YB.01A	TCGA.IG.A3YC.01A	TCGA.IG.A4P3.01A	TCGA.IG.A4QS.01A	TCGA.IG.A4QT.01A	TCGA.IG.A50L.01A	TCGA.IG.A51D.01A	TCGA.IG.A5B8.01A	TCGA.IG.A5S3.01A	TCGA.IG.A625.01A	TCGA.IG.A6QS.01A	TCGA.IG.A7DP.01A	TCGA.IG.A8O2.01A	TCGA.IG.A97H.01A	TCGA.IG.A97I.01A	TCGA.JY.A6F8.01A	TCGA.JY.A6FA.01A	TCGA.JY.A6FB.01A	TCGA.JY.A6FD.01A	TCGA.JY.A6FE.01A	TCGA.JY.A6FG.01A	TCGA.JY.A6FH.01A	TCGA.JY.A938.01A	TCGA.JY.A939.01A	TCGA.JY.A93C.01A	TCGA.JY.A93D.01A	TCGA.JY.A93E.01A	TCGA.JY.A93F.01A	TCGA.KH.A6WC.01A	TCGA.L5.A43C.01A	TCGA.L5.A43C.11A	TCGA.L5.A43E.01A	TCGA.L5.A43H.01A	TCGA.L5.A43I.01A	TCGA.L5.A43J.01A	TCGA.L5.A43M.01A	TCGA.L5.A4OE.01A	TCGA.L5.A4OF.01A	TCGA.L5.A4OF.11A	TCGA.L5.A4OG.01A	TCGA.L5.A4OG.11A	TCGA.L5.A4OH.01A	TCGA.L5.A4OI.01A	TCGA.L5.A4OJ.01A	TCGA.L5.A4OJ.11A	TCGA.L5.A4OM.01A	TCGA.L5.A4OM.11A	TCGA.L5.A4ON.01A	TCGA.L5.A4OO.01A	TCGA.L5.A4OP.01A	TCGA.L5.A4OQ.01A	TCGA.L5.A4OQ.11A	TCGA.L5.A4OR.01A	TCGA.L5.A4OS.01A	TCGA.L5.A4OT.01A	TCGA.L5.A4OU.01A	TCGA.L5.A4OW.01A	TCGA.L5.A4OX.01A	TCGA.L5.A88S.01A	TCGA.L5.A88T.01A	TCGA.L5.A88V.01A	TCGA.L5.A88W.01A	TCGA.L5.A88Y.01A	TCGA.L5.A88Z.01A	TCGA.L5.A891.01A	TCGA.L5.A893.01A	TCGA.L5.A8NE.01A	TCGA.L5.A8NF.01A	TCGA.L5.A8NG.01A	TCGA.L5.A8NH.01A	TCGA.L5.A8NI.01A	TCGA.L5.A8NJ.01A	TCGA.L5.A8NK.01A	TCGA.L5.A8NL.01A	TCGA.L5.A8NM.01A	TCGA.L5.A8NN.01A	TCGA.L5.A8NQ.01A	TCGA.L5.A8NR.01A	TCGA.L5.A8NS.01A	TCGA.L5.A8NT.01A	TCGA.L5.A8NU.01A	TCGA.L5.A8NV.01A	TCGA.L5.A8NW.01A	TCGA.L7.A56G.01A	TCGA.L7.A6VZ.01A	TCGA.LN.A49K.01A	TCGA.LN.A49L.01A	TCGA.LN.A49M.01A	TCGA.LN.A49N.01A	TCGA.LN.A49O.01A	TCGA.LN.A49P.01A	TCGA.LN.A49R.01A	TCGA.LN.A49S.01A	TCGA.LN.A49U.01A	TCGA.LN.A49W.01A	TCGA.LN.A49X.01A	TCGA.LN.A49Y.01A	TCGA.LN.A4A1.01A	TCGA.LN.A4A2.01A	TCGA.LN.A4A3.01A	TCGA.LN.A4A4.01A	TCGA.LN.A4A5.01A	TCGA.LN.A4A6.01A	TCGA.LN.A4A8.01A	TCGA.LN.A4A9.01A	TCGA.LN.A4MQ.01A	TCGA.LN.A4MR.01A	TCGA.LN.A5U5.01A	TCGA.LN.A5U6.01A	TCGA.LN.A5U7.01A	TCGA.LN.A7HV.01A	TCGA.LN.A7HW.01A	TCGA.LN.A7HX.01A	TCGA.LN.A7HY.01A	TCGA.LN.A7HZ.01A	TCGA.LN.A8HZ.01A	TCGA.LN.A8I0.01A	TCGA.LN.A8I1.01A	TCGA.LN.A9FO.01A	TCGA.LN.A9FP.01A	TCGA.LN.A9FQ.01A	TCGA.LN.A9FR.01A	TCGA.M9.A5M8.01A	TCGA.Q9.A6FU.01A	TCGA.Q9.A6FW.01A	TCGA.R6.A6DN.01B	TCGA.R6.A6DQ.01B	TCGA.R6.A6KZ.01A	TCGA.R6.A6L4.01A	TCGA.R6.A6L6.01B	TCGA.R6.A6XG.01B	TCGA.R6.A6XQ.01B	TCGA.R6.A6Y0.01B	TCGA.R6.A6Y2.01B	TCGA.R6.A8W5.01B	TCGA.R6.A8W8.01B	TCGA.R6.A8WC.01A	TCGA.R6.A8WG.01A	TCGA.RE.A7BO.01A	TCGA.S8.A6BV.01A	TCGA.S8.A6BW.01A	TCGA.V5.A7RB.01A	TCGA.V5.A7RC.01B	TCGA.V5.A7RC.06A	TCGA.V5.A7RE.01A	TCGA.V5.A7RE.11A	TCGA.V5.AASV.01A	TCGA.V5.AASW.01A	TCGA.V5.AASX.01A	TCGA.V5.AASX.11A	TCGA.VR.A8EO.01A	TCGA.VR.A8EP.01A	TCGA.VR.A8EQ.01A	TCGA.VR.A8ER.01A	TCGA.VR.A8ET.01A	TCGA.VR.A8EU.01A	TCGA.VR.A8EW.01A	TCGA.VR.A8EX.01A	TCGA.VR.A8EY.01A	TCGA.VR.A8EZ.01A	TCGA.VR.A8Q7.01A	TCGA.VR.AA4D.01A	TCGA.VR.AA4G.01A	TCGA.VR.AA7B.01A	TCGA.VR.AA7D.01A	TCGA.VR.AA7I.01A	TCGA.X8.AAAR.01A	TCGA.XP.A8T6.01A	TCGA.XP.A8T8.01A	TCGA.Z6.A8JD.01A	TCGA.Z6.A8JE.01A	TCGA.Z6.A9VB.01A	TCGA.Z6.AAPN.01A	TCGA.ZR.A9CJ.01B
hsa-let-7a-1	62171.416	43583.104	65616.145	46567.07	90540.94	80127.713	28482.982	54517.348	66800.287	28981.902	71026.55	59976.431	20054.716	57109.212	39687.613	46332.894	38228.846	35751.505	33250.863	32884.501	20723.355	40157.539	28019.135	38498.915	12836.827	30531.181	23597.428	32812.075	11081.635	28341.713	28759.217	33464.412	34150.311	28588.484	93185.707	115557.639	96595.772	39072.655	39721.606	33777.664	30090.913	118220.753	33245.647	37832.723	54530.518	55873.656	73391.595	62659.978	46697.716	22130.395	21266.805	60671.534	36972.401	33011.327	25380.397	22611.473	31014.918	29054.034	14186.257	27113.607	23658.43	26766.051	20471.64	38688.897	31382.612	33072.619	24018.616	16301.989	34165.481	30419.497	41509.281	8740.07	47640.164	22005.951	6931.418	12577.277	21942.632	12490.739	15262.158	23136.264	59923.987	39201.561	39014.946	27459.169	56380.517	40666.412	40195.881	84931.163	59611.725	46339.364	80914.2	37442.463	37032.845	59898.348	70623.143	31018.379	25822.085	27792.943	69405.825	51514.784	80909.918	36108.895	47815.555	42978.919	28701.54	68478.275	20747.021	35014.805	37702.517	45817.472	34678.402	43231.075	31881.11	37608.277	44164.091	21034.34	14681.722	17166.466	23335.381	20286.318	18569.863	40758.086	25997.891	17365.237	18798.767	30688.999	15833.281	26533.652	20714.601	22089.47	26448.892	34953.958	34974.085	33510.086	26960.065	36954.958	24603.855	25815.242	41691.01	66581.171	94795.246	87586.126	81572.586	24174.052	26173.527	19846.047	13539.14	11797.795	14834.226	11012.172	16489.784	26065.102	13408.865	27911.416	24000.148	53718.646	34542.728	42102.85	50143.831	11857.951	13430.601	25958.015	21339.253	27146.743	40292.53	20627.481	33047.611	103388.113	21667.752	79349.005	124853.309	16531.445	17269.105	39865.537	28798.154	33690.11	25576.831	23944.374	28162.364	17706.792	23494.914	33313.958	32757.997	62757.637	20282.624	51717.586	33965.512	39245.266	29471.452	32803.027	24758.022	36783.319	48982.334	20940.08	34270.511
hsa-let-7a-2	62163.995	43377.997	65978.507	46378.447	90087.74	79752.798	28398.45	54672.353	66882.517	28761.222	70864.447	59740.047	19753.434	57252.431	39906.845	46237.606	37932.667	35790.657	32754.229	32859.618	20656.162	39985.008	28327.501	38205.369	13047.608	30714.088	23542.26	33308.056	11049.069	28458.196	28796.501	33719.397	34081.271	28373.765	92861.765	114971.624	95449.771	39061.372	39614.187	33597.493	30375.499	118688.492	33103.635	37599.684	54330.094	55706.622	73536.181	62484.975	47091.071	22088.612	20639.078	60349.877	36753.587	33076.899	25156.163	22816.924	30958.159	29274.977	14181.043	27339.22	23508.842	27194.906	20385.283	38456.575	31405.586	32796.63	23923.634	16357.953	33991.299	30309.98	41342.93	8627.012	48213.856	22004.471	6882.751	12464.26	22026.113	12517.096	14816.114	22911.987	59783.817	38921.342	38262.255	27399.613	55665.505	40571.912	39905.188	85166.429	59530.389	45707.124	80447.275	37872.931	36498.399	59855.783	70693.743	30991.767	25877.775	27942.709	69569.203	51654.779	80399.795	35846.496	47782.472	43121.556	28637.808	68748.408	20936.117	34932.475	37917.139	45494.726	34176.595	43048.924	31768.973	37052.533	44437.156	20804.238	14639.398	17329.198	22956.952	20057.853	18369.837	41267.435	25908.193	17040.853	18877.516	30293.894	15771.359	26538.06	20953.166	22046.723	26363.868	35089.9	34693.443	33430.041	27187.127	37261.141	24628.144	25845.133	41317.712	65957.838	94975.307	87747.433	81540.491	23988.714	26475.316	19695.316	13484.386	11894.931	14725.518	11036.201	16187.157	25798.354	13267.814	27739.509	23945.446	54170.269	35196.142	41656.703	49651.469	11662.647	13375.142	26043.958	21300.238	26875.635	40227.371	20535.507	33182.854	101370.918	21567.459	79438.562	124368.109	16376.855	17082.374	39649.442	28493.912	33593.532	25438.584	23644.128	27902.229	17802.74	23363.268	33327.074	32881.746	62403.33	20337.691	51570.211	33893.511	38962.715	28741.493	32878.481	24512.009	36847.815	48464.973	20822.048	34500.208
hsa-let-7a-3	63015.353	43452.861	65756.975	46114.505	90022.776	80132.726	28112.597	54660.275	67695.421	28939.685	71500.996	60230.93	19963.572	57089.04	39285.214	46387.486	38143.24	35649.71	32777.878	33557.86	20885.06	40318.729	28577.685	38521.153	13182.685	30451.27	23569.281	33046.718	11317.739	28454.414	29167.788	33648.764	34032.797	28584.476	93215.911	114677.637	95823.394	38939.763	39817.683	33979.254	30210.092	118762.127	33181.687	37894.434	54287.9	55723.198	73723.775	62625.931	47303.524	22106.289	20956.895	59963.019	36766.598	32864.474	25844.778	23005.165	30850.446	29281.381	14014.197	27070.563	23357.117	27252.901	20633.126	38902.878	31829.171	32928.054	23955.628	16552.927	34210.976	29942.002	41294.333	8773.525	48608.721	21979.308	6849.568	12723.283	21981.536	12544.771	15267.246	23018.537	59907.736	39624.533	38882.716	27468.395	56070.823	40694.132	40326.118	84764.796	59633.357	46043.238	81524.106	37649.482	36934.04	59952.686	70505.225	31337.714	26097.191	28220.342	69190.855	51706.297	80324.475	36188.311	47617.54	43104.469	28971.968	68395.085	21408.021	35065.983	37996.044	45848.119	34897.797	43295.985	32179.197	37481.285	44831.319	21048.286	14695.158	17197.963	23222.658	20099.262	18654.873	41049.505	26244.562	17345.346	18834.688	30815.192	15933.793	26853.228	20792.769	22221.273	26855.12	35130.468	35124.392	34086.931	27002.337	37291.573	24491.241	25654.922	42200.881	66977.48	94588.119	87769.854	81744.729	24319.348	26419.065	19764.448	13500.978	11860.837	14774.387	11006.451	16414.519	26389.839	13520.982	28025.148	24016.073	54202.916	34954.526	41642.946	50477.781	11863.125	13305.449	25992.708	21470.571	27166.858	40242.032	20845.12	33550.606	103084.791	21630.978	79085.308	124546.867	16556.038	17277.67	39738.08	28324.61	33976.334	25507.188	23754.481	27986.948	17833.269	23841.453	33678.183	33020.963	62988.12	20510.504	51816.495	33905.168	39071.628	29574.119	33090.239	24894.268	36950.005	48752.849	21141.75	34690.13
hsa-let-7b	27010.215	34894.788	30049.21	16480.974	23566.382	36570.324	16967.662	37002.83	29522.99	21711.96	14478.512	29155.889	29432.42	76265.301	58404.891	49910.172	62949.531	44319.886	47959.391	74676.494	34308.797	39369.405	50225.859	40832.452	19751.02	33677.883	37562.909	30701.693	25005.68	36344.256	23533.234	61132.696	50413.518	28491.717	116747.365	92317.933	66097.752	29005.485	37106.859	36229.502	33646.062	116658.858	48489.808	29563.489	44574.962	16699.618	45047.419	35933.525	31939.555	39378.636	24171.424	67059.041	32309.897	44168.104	34413.411	49401.889	44939.576	22912.453	12680.298	28808.672	29746.667	47822.682	21004.458	53080.614	47026.534	36730.123	32084.144	19508.227	30211.311	44805.676	43867.168	6429.304	50073.443	19240.96	6725.688	11535.076	21472.542	17201.453	19610.661	37900.525	64206.981	39954.98	63301.568	69694.752	41768.417	40437.092	34285.96	63248.005	40338.482	35939.296	37260.12	28152.908	48864.762	38868.721	30625.644	29018.099	7852.213	47518.289	28231.826	45498.361	41262.94	27802.688	29253.701	36969.612	45974.482	16346.324	27547.787	37638.245	49503.589	48404.228	36846.678	42588.013	48731.54	41453.22	75167.641	25595.427	22314.82	22081.669	38602.979	43492.712	21190.196	58004.166	40497.537	28302.475	28863.368	55178.003	22211.285	29996.096	24055.534	54082.688	37675.265	55394.953	63170.72	70272.43	20192.874	29839.469	26119.722	41390.798	40646.686	49618.635	50753.564	38452.795	49728.262	27668.02	59664.998	29321.128	14139.774	13045.12	18763.691	16527.413	26285.705	39308.069	32767.178	30292.443	40563.649	21774.484	27653.512	14001.527	25555.715	10849.741	16994.263	33471.347	15145.398	41365.966	55779.883	27530.93	35042.917	73755.928	26302.404	60857.912	99570.611	17989.507	22050.422	30196.282	24003.211	78100.088	46955.304	46464.195	47491.099	19407.691	28631.039	33998.015	20762.126	50670.754	17703.422	73000.844	69747.52	53828.356	39167.279	51412.584	20496.911	28545.309	33193.978	24507.608	21259.351
hsa-let-7c	7032.452	2559.731	6175.991	926.744	1571.505	1410.445	3313.449	2406.598	2118.015	408.736	95545.526	10428.085	8345.245	28740.69	5358.369	20482	5887.189	7060.056	9914.296	7839.015	5825.075	6397.407	8069.883	17974.462	1184.527	5954.228	3131.087	3793.628	1795.206	6074.521	8248.322	3008.958	14178.067	3761.296	1691.444	5061.484	1784.343	3544.195	1228.978	3501.366	625.51	20791.047	2026.665	3330.754	6486.231	4831.248	18824.435	8652.782	3405.568	9540.93	2281.636	3481.724	675.365	7256.618	1819.912	2607.403	3846.067	2010.904	3353.431	2950.777	876.159	4941.753	2420.569	2418.591	766.76	3038.502	3623.339	2800.945	902.102	9000.853	1016.798	699.113	17922.948	1148.626	123.143	2872.467	3631.845	1775.825	1037.942	3949.803	28502.052	2482.316	6191.534	1873.894	2164.595	1926.536	4578.057	494.059	5356.948	11946.622	2621.702	1869.741	2388.165	13626.104	17976.868	946.178	2073.875	10352.945	5052.282	11537.824	8787.362	13036.356	8448.485	6074.683	2631.936	1368.425	2327.723	2147.26	3968.935	9022.521	756.212	5680.884	925.489	8952.256	6154.645	2637.464	3316.723	8294.953	3080.573	2650.201	3135.399	3556.999	6056.761	2038.109	24787.792	3399.707	4003.416	1414.952	2266.881	4743.483	1413.925	13112.983	5161.92	1610.468	4197.035	3127.66	2670.708	2046.126	17067.912	12364.306	15878.086	6403.09	5251.1	1428.935	4103.62	3373.312	808.034	1105.802	7231.611	1081.307	2042.08	1018.945	1217.015	3220.125	1073.259	1666.38	867.718	505.108	3889.658	192.071	2091.277	4525.03	1073.386	3018.054	8736.275	2009.75	1433.027	26851.383	941.64	3869.621	3211.563	2693.903	2012.916	227.74	3669.334	5247.2	3030.012	5891.685	8397.081	705.073	1570.07	3450.551	2244.047	11142.883	1992.715	1023.709	2482.338	6399.706	6947.444	6569.368	6409.042	4001.319	10113.673	1073.229	3827.28
hsa-let-7d	1472.648	1341.397	1620.347	1804.367	1079.636	2165.289	2145.567	1454.427	2190.847	1013.206	3754.054	1625.709	1325.639	1101.377	1332.474	1024.348	1712.136	2698.541	2225.658	1621.189	1612.621	2587.961	1409.466	1552.232	2024.68	1584.006	2011.957	1385.377	1193.751	1458.309	2295.3	3331.043	1552.654	1718.893	1869.649	1605.171	4806.835	3455.183	2016.271	956.293	3378.908	1132.53	2774.671	2172.866	1397.106	2162.522	1551.087	1562.771	1424.07	1495.34	1350.324	1495.272	1653.521	1644.077	1566.745	2321.277	1320.292	1719.515	519.656	1411.564	2094.234	1277.408	2111.413	2439.378	2159.565	1406.227	1655.698	1183.384	1957.587	1823.826	1812.106	957.531	1489.53	1793.988	682.818	1657.381	1162.255	977.198	1514.514	2064.687	1221.584	3066.546	1580.941	2117.148	1790.789	3585.952	1154.858	1408.237	1499.53	1280.69	2463.082	1704.619	1994.068	1411.877	1540.445	2683.302	468.905	1056.841	2823.278	1731.458	1336.364	1085.357	1513.575	1170.808	1775.868	2994.832	2346.13	2461.005	2073.631	1875.183	3132.213	2236.125	3155.463	1424.565	2243.881	1508.741	1605.624	1930.035	1339.8	1710.636	1875.239	1639.547	2046.951	1377.1	2131.734	1648.024	1856.774	947.709	2762.285	2311.896	2084.673	1876.13	2075.91	2251.697	958.977	2989.164	2043.605	2958.232	1549.642	1398.891	1397.26	1684.696	1714.139	1232.156	1930.38	1160.515	1894.816	1029.252	879.641	1180.856	1788.061	2173.749	1720.337	1887.316	1564.188	907.327	1758.547	1336.474	907.658	2693.519	1294.717	1862.367	2363.733	1528.704	2243.663	1324.049	1676.65	1232.376	1815.304	1660.541	2332.366	1375.498	1007.314	2735.471	2236.131	927.154	1461.474	1286.97	1459.149	2631.305	1699.78	1775.722	1457.36	1337.538	685.877	3943.505	1408.487	1351.139	1731.984	1973.163	693.913	1339.357	2019.204	1027.892	1673.503
hsa-let-7e	22538.199	11685.949	6891.222	3586.465	15001.992	12107.573	2529.299	7928.387	7845.935	13662.924	22140.815	8627.578	2854.326	5758.022	3830.389	5447.309	3721.436	6647.983	3251.774	4109.526	3079.78	5789.904	2305.473	2988.825	742.185	2267.686	2144.811	4074.638	2198.212	3913.531	2244.811	1740.392	2140.959	3342.738	17393.175	16445.657	2682.378	2408.348	3468.76	3767.213	2253.568	5940.595	2059.187	12075.811	7062.889	7242.409	9781.459	8399.47	6133.808	1637.562	2665.861	3462.163	1329.44	3548.393	1367.104	3557.211	2914.058	1762.743	3063.189	2401.588	1519.388	1724.577	2233.176	1854.905	1200.396	2817.711	1990.637	1587.774	3462.823	3184.76	4349.428	2191.939	7748.452	1215.234	1547.771	925.518	1796.876	1215.073	1100.693	4635.3	6592.086	1950.958	1801.808	1729.619	4304.196	2711.514	2222.291	4755.742	11731.464	8066.726	7334.511	9106.361	1215.977	11509.648	10522.495	5424.262	20776.621	3134.495	19054.977	9859.005	9578.224	3557.016	6711.595	4400.189	3193.462	2261.08	2322.702	2374.224	3476.566	6483.65	3578.005	3557.974	2090.867	2026.831	1977.94	2189.461	2620.056	620.306	1801.966	2094.744	2195.279	3600.923	5303.432	1548.473	1134.254	2618.51	1798.441	3458.036	1190.798	1720.563	2409.025	2416.336	5074.679	3333.173	4788.848	2255.691	2715.974	2201.918	8760.666	9752.868	23315.477	13960.244	20814.022	2503.21	1971.452	2270.03	1717.281	1647.446	2577.09	1065.288	3802.963	4600.991	1506.35	2185.534	4530.538	16537.29	3334.305	5733.079	33904.457	1843.751	2223.792	3245.343	5441.153	3448.33	3623.417	1736.562	1584.944	16252.097	3318.585	10585.174	12001.104	4181.829	1631.747	3209.714	4352.41	2842.921	1995.754	1853.781	1604.665	2196.631	2359.946	9548.542	2533.53	6066.122	6234.23	2025.658	3796.88	2055.648	4076.888	1887.162	3448.604	5649.758	6273.519	2950.793	13299.524
hsa-let-7f-1	69526.176	55617.734	62384.945	63909.294	33626.487	96500.705	33392.537	44142.102	62594.8	22009.397	91759.842	62962.483	14361.255	25707.87	14679.994	19938.063	15307.873	15720.444	12699.654	10663.654	10253.136	11630.839	9118.619	21916.569	8126.923	18278.221	10296.22	10394.542	4992.791	9118.21	14124.445	14038.271	17725.522	16607.19	60182.923	72135.696	60315.811	26687.403	20528.334	9656.161	16016.224	28942.772	18706.673	35638.745	47070.298	70867.228	67362.029	67366.678	43077.591	13290.129	12624.102	33291.538	23405.958	16873.139	6770.42	9863.813	15818.344	21088.871	5916.082	13492.237	12355.979	10338.307	14481.099	16333.437	14119.016	16631.591	8175.508	7297.081	20606.657	10645.072	24351.75	4811.884	20562.962	14014.417	3537.973	8881.923	15102.833	7423.542	7489.464	15142.029	27685.405	23622.979	15289.209	11305.434	36541.66	30092.515	17301.278	64678.088	65966.341	43025.781	82447.901	35262.194	24028.739	37968.525	80483.194	28150.276	19170.537	12616.394	74816.392	41744.256	66126.609	27368.453	57451.158	44245.562	13118.342	43347.484	11846.117	22943.42	19170.825	27367.323	18244.789	20514.583	13907.886	15758.234	13186.66	13610.045	7735.213	9686.048	6946.99	6581.237	9311.185	16729.973	12020.319	6916.105	9082.318	9441.96	10184.884	9035.195	11208.523	6377.84	7565.599	14814.739	11459.021	14538.583	9348.217	28168.196	18720.348	14700.585	19002.688	24174.83	94659.918	82221.257	66443.669	11008.175	6626.865	12798.527	13260.393	8419.277	5579.041	6372.276	9511.588	14366.292	8137.544	17483.747	12091.128	44712.033	23476.701	54850.45	43385.631	9884.213	8224.249	10983.389	19318.09	13546.698	19538.652	8310.365	24829.245	64242.661	12145.486	46056.081	66568.488	7532.738	7623.383	35195.568	21201.342	11793.119	11647.094	12406.073	15147.636	9337.498	18281.351	19806.363	40389.523	58308.575	8553.766	28208.873	15987.078	20750.034	15975.938	14324.905	12998.458	27888.614	45167.98	10042.859	36906.551
hsa-let-7f-2	71386.865	58095.422	63215.689	65893.77	34231.269	98889.539	33626.113	45063.071	63921.055	22615.785	94778.505	64227.728	14451.386	26235.36	15176.351	20192.165	15681.787	16001.358	12834.98	11064.804	10410.41	11847.92	9429.894	22322.788	8074.97	18414.957	10670.014	10821.676	4917.482	9255.872	14494.179	14209.202	17597.726	16947.877	61749.019	73661.49	61071.434	26975.753	20790.543	9807.353	16392.541	29461.329	18898.011	36063.412	47937.629	72872.917	68201.172	68513.391	43853.783	13401.014	13296.101	34097.854	23883.799	16813.715	6815.267	9729.355	15929.282	21357.845	6004.719	13554.577	12249.13	10464.98	14572.636	16283.305	14546.909	16781.414	8120.518	7422.55	21409.969	10696.18	25019.958	5021.848	20884.436	14147.634	3661.853	9159.273	15499.977	7540.173	7635.319	15215.05	27913.605	24487.427	15385.112	11478.228	38123.813	30504.534	17514.262	65081.402	66922.475	43851.475	83704.576	35999.083	24544.098	38798.987	81866.666	28462.219	19535.86	12672.91	77365.463	42263.917	67412.759	27491.06	58400.366	45270.019	13316.426	44940.241	12000.072	23355.071	19177.137	27901.721	18963.657	20882.91	13795.748	16021.018	13565.389	13614.403	7866.888	10056.132	7281.94	6712.605	9971.269	17055.179	12283.809	6893.153	9115.475	9808.521	10180.397	9117.844	11549.621	6585.875	7885.228	14907.264	11775.401	14587.306	9692.434	28468.168	19092.415	14834.639	19071.884	24446.472	95921.85	84442.19	67896.675	11253.004	6828.653	13183.854	13394.789	8288.048	5822.389	6669.779	9605.669	14455.76	8321.393	17680.812	12457.421	45439.799	24516.702	57124.42	43912.244	9907.494	8552.1	11458.049	19426.571	13714.611	19679.288	8387.768	24970.047	65769.874	12397.333	47051.162	68145.693	7682.936	7644.797	35714.454	21525.698	11998.919	11747.921	12830.286	15262.255	9622.435	19115.753	20025.302	40957.44	60070.3	8653.156	28441.309	16009.021	20863.303	16408.164	14386.566	13079.543	28508.454	45530.541	10211.699	37121.332
hsa-let-7g	8019.519	4853.848	7049.459	9590.979	5860.66	10446.516	4350.084	5809.655	6726.43	2310.416	6369.438	6678.539	1837.564	2239.063	1980.679	1995.097	1540.922	2393.156	1848.584	1330.883	1892.466	2605.781	1885.106	2324.642	2087.023	4918.942	1666.31	1646.716	1028.885	1387.965	1650.596	956.368	3111.184	2562.308	5486.62	6145.317	5178.783	2616.461	1710.695	1186.231	1786.242	2459	2712.88	4112.694	7148.45	8846.45	5989.302	12362.576	4476.25	1762.107	2087.151	5048.717	2760.6	1690.524	1640.525	1347.803	2045.904	2835.438	842.92	2389.714	2175.439	2228.215	1889.477	2617.899	1889.619	2849.252	1218.778	1905.509	2406.038	2115.872	2408.353	1121.35	2039.447	2775.352	997.682	1857.757	2221.577	1391.667	1148.181	1772.605	2388.319	2291.979	1774.199	2289.942	1920.1	4815.71	2269.061	8815.767	11962.494	4370.557	8988.853	3870.922	2120.942	4160.463	7559.523	4906.82	2150.727	1744.918	7062.495	5612.118	6967.122	2780.037	8414.915	4069.599	1610.511	3141.583	1922.756	2149.485	1257.75	1915.406	1003.615	1862.263	1574.183	2028.088	1191.988	1913.164	1371.835	1094.503	809.999	1062.365	1635.208	1518.756	1721.093	1240.921	1247.541	1234.891	982.681	1138.353	1097.402	1214.012	1158.851	1385.746	1232.933	1198.933	1245.221	1910.382	1476.121	970.981	1719.902	3136.35	14394.367	6305.932	6018.451	1386.604	974.119	2229.797	1763.738	1179.78	1111.021	1284.982	1095.521	2006.41	2164.587	2368.448	1395.929	6251.985	2846.87	7220.888	5062.763	1740.279	1212.263	1084.935	2346.604	1057.325	1609.442	1986.984	3721.052	8079.384	1448.677	7524.056	10940.716	936.322	933.65	2902.394	1469.242	1571.245	1439.645	1818.669	2525.603	1404.332	2065.678	3022.763	3106.971	5106.184	766.911	1293.731	1656.035	1658.584	1593.384	1401.173	1645.423	2605.003	4456.643	1299.912	3195.863
