	TCGA.KL.8323.01A	TCGA.KL.8324.01A	TCGA.KL.8325.01A	TCGA.KL.8326.01A	TCGA.KL.8327.01A	TCGA.KL.8328.01A	TCGA.KL.8329.01A	TCGA.KL.8330.01A	TCGA.KL.8331.01A	TCGA.KL.8332.01A	TCGA.KL.8333.01A	TCGA.KL.8334.01A	TCGA.KL.8335.01A	TCGA.KL.8336.01A	TCGA.KL.8337.01A	TCGA.KL.8338.01A	TCGA.KL.8339.01A	TCGA.KL.8340.01A	TCGA.KL.8341.01A	TCGA.KL.8342.01A	TCGA.KL.8343.01A	TCGA.KL.8344.01A	TCGA.KL.8345.01A	TCGA.KL.8346.01A	TCGA.KM.8438.01A	TCGA.KM.8439.01A	TCGA.KM.8440.01A	TCGA.KM.8441.01A	TCGA.KM.8442.01A	TCGA.KM.8443.01A	TCGA.KM.8476.01A	TCGA.KM.8477.01A	TCGA.KM.8639.01A	TCGA.KN.8418.01A	TCGA.KN.8419.01A	TCGA.KN.8421.01A	TCGA.KN.8422.01A	TCGA.KN.8423.01A	TCGA.KN.8424.01A	TCGA.KN.8425.01A	TCGA.KN.8426.01A	TCGA.KN.8427.01A	TCGA.KN.8428.01A	TCGA.KN.8429.01A	TCGA.KN.8430.01A	TCGA.KN.8431.01A	TCGA.KN.8432.01A	TCGA.KN.8433.01A	TCGA.KN.8434.01A	TCGA.KN.8435.01A	TCGA.KN.8436.01A	TCGA.KN.8437.01A	TCGA.KO.8403.01A	TCGA.KO.8404.01A	TCGA.KO.8405.01A	TCGA.KO.8406.01A	TCGA.KO.8407.01A	TCGA.KO.8408.01A	TCGA.KO.8409.01A	TCGA.KO.8410.01A	TCGA.KO.8411.01A	TCGA.KO.8413.01A	TCGA.KO.8414.01A	TCGA.KO.8415.01A	TCGA.KO.8416.01A	TCGA.KO.8417.01A
ENSG00000000005.6	362.9818226	6.118875638	130.6033796	2.793612712	19.98592113	18.92747717	3.413030842	8.775570689	22.74788645	162.1685505	57.16288011	10.69024416	0	5.863936413	30.30434005	17.28597273	0	4.330626405	16.43486574	14.04730588	1.964202496	22.72254974	25.97992246	20.75738538	80.30584393	0	3.071057959	2.07520373	7.802182451	14.99264291	13.65100248	2.763336089	10.40292346	5.204172339	4.165985454	14.70547233	10.52543392	11.13537786	10.44257628	12.51382226	4.15455292	0	7.829960256	7.17995178	11.02056702	2.352500215	12.70521309	0	4.777278284	46.20569563	17.79268241	0.905574072	11.53236752	2.415892836	5.652962621	18.06229683	19.5938517	15.70547667	15.53819756	9.453178513	79.35348358	0	6.578560619	5.315690416	96.97040696	45.05811352
ENSG00000000971.16	675.0005812	165.2096422	109.1762626	97.77644492	86.60565824	105.2840918	681.7529107	153.5724871	253.3287355	704.1913636	4035.5287	323.3798857	1658.523311	414.3848398	116.3295634	186.6885055	163.2273256	290.1519691	172.9573966	2695.912119	526.4062688	615.0236796	447.306491	216.7993584	617.0165675	326.4517014	182.2161055	1438.116185	226.2632911	140.2883015	201.3522866	270.8069368	272.0764597	137.910567	501.3069163	20.58766127	302.6062252	451.7781873	662.2333794	743.6785798	367.6779334	1412.264319	506.1001583	409.2572515	1345.511046	122.3300112	433.3889353	512.8387318	657.3534919	491.1494313	183.5455659	705.4422021	2475.265428	1245.392757	1193.905705	354.9241327	692.6426577	1030.017511	239.978829	1034.177729	4145.683345	941.7952859	217.0925004	208.6408488	231.4360379	230.0839839
ENSG00000001626.16	37586.81973	23309.24486	67672.95741	4536.827044	18389.2681	31025.68399	38010.07123	14607.81497	31195.62429	28839.70439	11220.98805	34717.45875	56978.81965	53475.19079	15656.59065	20668.2614	67300.84776	22547.40638	195129.5958	64190.33481	14457.51247	37314.97118	56855.36595	35243.734	8584.694716	22.23147787	26242.19026	9.338416784	45566.47933	35311.95766	8265.682004	2203.760531	5.601574171	32286.68519	13818.57375	6557.660297	5803.461128	37302.72044	47245.69597	22960.18231	11187.17237	107.813851	11748.49946	48523.90912	18449.43106	4507.390411	20146.23289	4620.182671	25712.26718	51854.76975	51677.44138	11.77246294	24745.3155	32.61455329	11299.14169	33027.81287	29843.39553	14019.75551	6897.23325	3810.576259	20634.05042	13744.16757	11127.16539	17624.17158	32541.97564	57915.97349
ENSG00000002933.9	118.5671283	112.5873117	77.54575663	55.87225424	293.1268433	57.96539885	1144.21859	23.69404086	133.3853342	322.8761231	499.1087293	427.6097663	155.8006747	466.1829448	77.22718916	445.9780965	113.0035331	115.8442563	47.73937192	504.5324027	130.619466	515.8018791	149.1021637	27.67651384	263.6708542	849.4764704	65.51590312	1425.664962	237.5331102	27.84347968	310.5603065	507.0721724	3284.923139	80.66467125	211.0765963	31.37167431	124.9895278	287.929056	629.1652211	847.3645356	277.3164074	757.610845	228.4924766	270.1456857	338.6319684	136.4450124	170.8145315	684.299874	328.6767459	82.1434589	80.53529933	2426.938513	478.0690535	3679.404789	2136.819871	76.76476153	238.0652982	213.3327247	286.5934216	207.0246094	127.6089803	788.6905977	249.9853035	413.2949299	363.3157914	33.55391432
ENSG00000003096.14	1916.835241	429.5450698	1118.291438	1574.200763	284.2442117	172.7132292	5587.131489	1480.438775	2740.086323	439.7543578	1123.634524	2000.857365	77.39775452	5317.613004	920.8609138	571.5894983	1470.011772	3328.086392	2012.879747	110.0372294	3082.815817	2126.830656	2661.247709	1905.066703	1990.246499	1702.463174	3484.627097	2281.686501	1093.172452	822.4535538	738.8605094	2558.849219	3068.862421	3437.35583	2181.587716	2710.708734	1406.461108	6356.709988	3133.6431	2011.150005	990.8608714	195.230487	1251.370012	1894.609776	1295.41756	1159.782606	1877.548156	1238.84537	1612.809149	2694.476584	1333.514724	2457.728032	629.0382283	24.15892836	944.0447576	1016.907312	697.5411206	1359.832522	609.4426376	3277.41699	1220.327896	1529.032347	1573.215782	2394.718533	248.2442418	1896.275501
ENSG00000003989.18	1967.798305	876.2229914	1380.518536	2688.852235	504.0893441	496.8462758	2395.094394	176.3889708	941.9692982	655.9790918	5808.431161	519.3676953	4362.418891	517.0037271	846.5664027	1093.625875	5230.035313	2913.428914	1098.005554	2213.621284	2721.402558	3465.188835	1794.873773	275.6119503	1263.478611	1491.849173	652.0879732	1910.225033	1572.573218	750.7030484	755.9242625	980.9843117	2795.985736	1445.892548	801.257869	2282.289306	138.1463202	606.0827091	3384.264931	357.5377787	829.8719457	7625.644544	16591.68578	2918.650399	1756.277635	752.8000686	1142.057488	852.6716263	1688.290146	644.3127557	858.7310405	2348.153569	1287.431574	7224.727526	973.4401633	1267.973238	780.8149904	667.4827584	181.2789715	1169.358182	812.8370345	1350.745966	467.0778039	293.6918955	371.073424	328.8283604
ENSG00000004468.13	21.84131311	58.74120612	33.6711838	101.966864	39.97184227	14.19560788	238.912159	21.06136965	17.57791226	132.9489919	280.6953367	77.50427014	15.07748465	136.825183	25.41654327	35.72434364	51.18963464	51.96751685	15.65225309	128.7669705	84.46070731	36.35607958	32.75729353	4.612752307	14.72273805	148.5998784	64.49221713	333.0701986	32.94254813	10.70903065	23.88925435	80.13674659	177.6499237	54.64380956	30.55056	27.45021503	28.94494328	70.7891878	201.0195935	149.2720226	143.3320757	242.8239888	109.6194436	55.64462629	317.5927041	94.10000858	244.2224293	132.8437679	90.76828739	19.68020369	25.28433816	117.7246294	113.2268811	136.4979452	257.7750955	17.15918199	81.31448457	51.04279917	148.47611	106.8209172	110.4514704	97.70496549	158.8252492	176.7467063	55.59636666	19.17366533
ENSG00000004776.13	10.40062529	97.90201021	4.081355612	23.74570805	66.61973711	41.40385632	23.8912159	118.4702043	38.25780904	42.36836005	168.0759311	27.61646407	68.35126374	23.45574565	27.37166198	21.89556546	4.829210815	58.46345646	7.04351389	22.24156764	65.8007836	56.04895603	24.85036061	155.6803904	326.5770986	33.9322557	25.59214966	91.30896411	139.572375	8.567224518	56.31038524	45.59504548	56.01574171	95.40982621	19.44126545	21.56802609	76.30939592	89.87840699	74.83846337	15.1953556	13.50229699	146.6656892	64.06331118	25.12983123	469.8769029	61.16500558	19.7636648	142.1119377	40.12913758	11.97925442	5.618741814	38.03411103	20.96794094	343.0567827	74.61910659	15.35295231	24.49231463	193.7008789	55.24692465	52.93779967	16.08516559	91.66135938	21.6152706	74.41966583	78.86926433	9.586832663
ENSG00000004799.8	846.6108985	3162.23493	8751.446772	8977.27445	2635.920932	1770.902083	1282.446339	4723.889702	650.3827536	12424.15634	8087.26777	1477.035401	4062.87953	14566.99537	4516.324227	1033.701169	7227.396906	11561.68984	1123.049159	5477.278683	2671.315394	2341.93746	14966.69446	1621.382436	1731.929367	1170.077783	729.8881082	2738.231322	1717.347048	2065.772012	1455.53814	2149.875478	5095.031821	1286.29793	1445.596953	1660.738009	645.9985069	6099.800913	4739.189204	675.7464018	39083.95659	1923.165991	271.2013507	4306.17608	4674.724156	1856.122669	11652.09209	1799.569646	1179.03228	806.0326904	9911.46056	945.4193313	1836.791627	481.9706208	3057.122185	2998.341274	1750.71065	760.4068287	1704.022332	15186.53128	8716.015061	2953.308854	843.9353479	232.5614557	4128.353459	7840.111752
ENSG00000004838.14	59.28356415	14.68530153	10.20338903	22.3489017	51.07513178	137.2242095	49.48894721	28.95938327	79.61760259	21.91466899	12.79765973	7.126829438	86.44424531	56.68471866	25.41654327	38.02914001	28.00942273	22.73578862	33.65234414	9.364870584	20.6241262	24.23738639	90.36494767	51.89346345	24.09175318	28.08186679	28.66320761	12.45122238	14.73745574	130.6501739	25.59562966	17.96168458	57.61619148	42.50074077	2.777323636	49.01824112	21.05086784	9.544609591	19.14472319	4.469222234	20.7727646	14.56943933	452.0022511	13.46240959	19.03552485	16.4675015	5.646761372	15.44694975	21.02002445	68.45288241	14.04685453	22.6393518	7.33877933	71.26883867	10.17533272	83.08656542	24.49231463	174.0690331	10.35879837	2.835953554	26.80860932	11.07994454	13.15712124	15.94707125	50.42461162	43.14074698
