	TCGA.KL.8323.01A	TCGA.KL.8324.01A	TCGA.KL.8325.01A	TCGA.KL.8326.01A	TCGA.KL.8327.01A	TCGA.KL.8328.01A	TCGA.KL.8329.01A	TCGA.KL.8330.01A	TCGA.KL.8331.01A	TCGA.KL.8332.01A	TCGA.KL.8333.01A	TCGA.KL.8334.01A	TCGA.KL.8335.01A	TCGA.KL.8336.01A	TCGA.KL.8337.01A	TCGA.KL.8338.01A	TCGA.KL.8339.01A	TCGA.KL.8340.01A	TCGA.KL.8341.01A	TCGA.KL.8342.01A	TCGA.KL.8343.01A	TCGA.KL.8344.01A	TCGA.KL.8345.01A	TCGA.KL.8346.01A	TCGA.KM.8438.01A	TCGA.KM.8439.01A	TCGA.KM.8440.01A	TCGA.KM.8441.01A	TCGA.KM.8442.01A	TCGA.KM.8443.01A	TCGA.KM.8476.01A	TCGA.KM.8477.01A	TCGA.KM.8639.01A	TCGA.KN.8418.01A	TCGA.KN.8419.01A	TCGA.KN.8421.01A	TCGA.KN.8422.01A	TCGA.KN.8423.01A	TCGA.KN.8424.01A	TCGA.KN.8425.01A	TCGA.KN.8426.01A	TCGA.KN.8427.01A	TCGA.KN.8428.01A	TCGA.KN.8429.01A	TCGA.KN.8430.01A	TCGA.KN.8431.01A	TCGA.KN.8432.01A	TCGA.KN.8433.01A	TCGA.KN.8434.01A	TCGA.KN.8435.01A	TCGA.KN.8436.01A	TCGA.KN.8437.01A	TCGA.KO.8403.01A	TCGA.KO.8404.01A	TCGA.KO.8405.01A	TCGA.KO.8406.01A	TCGA.KO.8407.01A	TCGA.KO.8408.01A	TCGA.KO.8409.01A	TCGA.KO.8410.01A	TCGA.KO.8411.01A	TCGA.KO.8413.01A	TCGA.KO.8414.01A	TCGA.KO.8415.01A	TCGA.KO.8416.01A	TCGA.KO.8417.01A
hsa-let-7a-1	78587.113	43662.205	40913.313	37350.601	48127.507	42505.458	45518.377	49970.424	53878.098	56772.438	75477.956	55659.104	70337.441	63325.164	83603.879	68946.989	43902.578	72575.188	88683.85	84359.989	33776.197	62171.386	96518.02	70262.365	41068.096	39958.113	69812.286	34570.622	50558.068	67924.767	62438.741	41182.695	66022.422	65345.74	49611.126	81302.633	45332.665	61406.286	53084.814	55579.711	40192.597	21584.86	39056.629	41444.54	30869.071	39800.869	64762.198	31125.843	41446.157	40104.488	51472.145	36372.344	49581.108	25797.327	36691.162	90614.781	43353.129	54274.018	58145.899	74279.468	60745.655	45425.893	48770.884	45176.827	45287.317	59091.997
hsa-let-7a-2	78946.037	43960.481	40515.628	37165.656	47829.565	42737.114	45269.607	49897.418	53600.772	57607.984	75117.723	55820.543	69994.967	63004.844	83546.929	68831.314	43592.641	72543.824	88856.051	84321.514	33761.507	62029.696	96483.705	70269.927	41235.382	39863.596	70289.76	34390.406	50315.948	68004.899	63391.605	40807.636	65846.145	65467.571	49513.677	81454.663	45588.159	61338.806	53253.098	55729.188	40331.843	21581.95	38818.641	41502.325	30884.364	39783.881	65135.025	31057.325	42017.71	39714.993	51625.255	36435.743	50236.603	25716.092	36558.917	91452.358	44077.005	53886.851	58034.386	74475.912	60653.847	45121.447	49186.616	44967.769	45307.84	59101.005
hsa-let-7a-3	79137.766	43585.763	40447.826	37229.487	47744.126	42239.123	45251.276	49984.199	54172.003	57074.313	75365.83	56083.291	70253.338	63585.802	83868.778	69260.275	44042.663	71912.498	89201.659	84439.825	33867.004	61974.032	96348.732	70417.392	41623.528	39979.852	69826.154	34586.726	50120.822	67321.353	62736.26	41348.28	66535.546	64929.698	49246.972	81369.216	45476.815	61548.071	52971.787	56247.203	40276.696	22072.349	39190.059	41563	30955.367	39876.1	64723.057	31108.046	41413.274	39745.845	52215.181	36522.916	49786.401	25766.513	36435.669	91063.143	43564.447	53995.511	58004.517	74660.474	60074.991	44989.999	49067.835	45321.872	45225.747	58683.638
hsa-let-7b	72646.237	75354.401	68486.575	20939.643	98493.962	56152.371	83581.507	41920.498	31903.032	91454.898	61595.069	60807.829	64671.47	52977.466	74763.824	84770.335	45996.846	55858.198	85359.033	126378.868	28490.695	34607.692	113239.757	96761.84	32956.379	11358.138	61253.411	14503.097	91927.846	72474.049	64350.5	20103.571	50633.965	90112.524	46879.458	110613.306	54695.451	89586.501	41028.646	65554.73	39641.125	42114.706	46973.45	48626.283	34576.549	43932.51	59493.701	32548.703	32678.701	51151.107	82584.196	13263.53	61325.993	28825.441	51723.878	143925.899	36003.464	51081.739	62284.812	136621.023	101428.967	103098.366	72949.601	82925.606	52497.356	45542.574
hsa-let-7c	4851.382	5733.194	1048.324	7234.111	13436.97	1682.629	6826.775	7582.964	7445.598	7790.212	7986.357	7966.48	11201.619	4115.055	17391.912	4381.871	942.07	1868.685	5408.095	12892.112	4720.628	9821.116	17652.82	9577.622	5349.863	4435.695	3857.437	3713.965	23167.893	6454.225	10025.177	8137.587	21511.029	8205.48	8043.19	18307.935	1464.364	7333.361	3167.256	9801.059	6339.161	2104.207	4713.731	5538.716	4417.514	1439.097	6948.662	3609.206	4035.316	5366.161	37297.716	7341.918	8130.058	14039.692	8098.415	12138.191	4860.31	4926.617	8252.934	3127.256	9244.581	8883.323	12780.343	7336.484	4189.937	9105.512
hsa-let-7d	3030.41	3123.654	2436.962	4276.636	2893.982	3759.213	2688.026	6533.333	3786.102	2933.266	1666.773	2750.215	2589.768	4007.023	2435.869	1959.586	4230.561	3226.441	3070.729	2179.626	2303.56	2605.065	2172.144	2581.257	4940.942	6029.255	4467.653	4531.451	2957.538	3282.962	4352.217	5089.234	2426.572	5996.96	2291.606	3738.601	5276.881	2435.355	2956.273	3419.933	2317.558	3085.007	2996.313	3134.849	2918.792	6028.192	4209.709	1713.839	3302.476	4209.246	2345.292	5658.331	2942.524	3549.14	1913.5	2711.155	3503.979	2682.738	3774.505	3429.051	2799.36	1933.194	9251.186	2434.15	2432.816	6053.327
hsa-let-7e	8265.25	8092.422	7622.513	11774.253	3014.473	5704.016	4960.999	8613.31	11091.53	12048.799	6283.799	9311.523	5499.28	9997.915	12014.536	9262.933	5424.784	11613.77	5898.208	9615.94	9811.162	16522.023	9616.229	10154.876	8499.864	17152.046	10304.331	9223.945	8562.047	7444.941	11285.611	15734.531	11715.729	7239.9	10762.549	11820.592	11710.939	12345.098	9668.795	10775.237	9351.572	4211.325	2950.276	7678.696	9013.083	11643.826	8448.775	6211.999	9243.489	4585.243	11349.09	14387.975	7892.351	9159.041	6187.613	10039.478	8202.429	6119.766	7948.266	7891.807	6834.236	4359.695	10283.664	6548.059	7604.72	8423.912
hsa-let-7f-1	27482.682	19951.514	14492.685	18281.68	14581.637	17019.107	15095.106	31852.581	37276.222	23931.259	38307.955	30059.623	32594.106	35480.737	51230.899	33290.238	25160.982	43733.499	34009.224	33158.017	14529.12	33065.299	34557.571	27569.537	29546.156	25531	38867.594	19999.273	23493.784	30812.974	25244.872	19479.137	37182.809	30049.605	21207.105	33160.244	32415.838	23381.534	30493.314	34531.788	21501.86	8362.987	16052.123	24424.86	15443.82	27712.937	29154.83	17262.968	22522.294	19069.83	18874.921	23367.692	21853.433	15284.365	19027.046	34361.65	24578.813	24143.588	26846.678	18152.028	23687.973	13785.43	12535.928	18159.702	21892.185	38198.112
hsa-let-7f-2	27944.286	20590.035	15208.518	18438.801	14827.001	16898.423	15201.161	32220.365	38414.163	23921.248	38771.566	30305.075	33072.963	35846.386	51633.858	33192.465	25604.001	44484.21	34672.742	33877.505	14412.94	33552.104	34891.571	27911.1	30376.024	25611.34	40117.745	20299.121	24014.801	31223.345	25610.739	19503.077	37825.086	29993.873	21528.176	33336.687	32548.058	23718.935	30816.067	34973.777	21668.68	8559.438	16435.246	25000.786	15626.245	28254.115	29786.971	17516.573	22382.929	19526.812	18951.476	23645.942	21825.82	15958.524	19295.134	33848.419	24446.926	24388.336	27293.725	18361.938	24129.896	13960.694	12812.322	18141.065	22408.428	38708.561
hsa-let-7g	4337.984	3666.246	4849.149	7757.848	4098.895	4717.742	3274.6	6379.057	5288.786	5481.487	2779.281	3509.633	4568.842	3658.75	6854.602	4204.916	7210.865	4970.682	2514.385	4865.202	3310.449	4975.33	6261.358	6402.727	3868.345	4828.886	5333.447	3887.278	4650.333	6959.296	4685.921	7565.023	2478.932	5132.475	4281.632	2829.751	5801.786	3165.507	4698.138	3311.691	2783.551	2318.121	3689.211	4284.776	5000.835	5794.005	3589.31	3348.482	4309.348	4752.996	3529.647	4841.193	3902.956	2450.13	3090.208	5407.047	4349.251	4826.397	3119.368	2441.288	5441.558	2477.872	2220.285	2726.67	4270.452	6638.842
