	TCGA.AB.2805.03A	TCGA.AB.2806.03A	TCGA.AB.2808.03A	TCGA.AB.2810.03A	TCGA.AB.2812.03A	TCGA.AB.2813.03A	TCGA.AB.2814.03A	TCGA.AB.2815.03A	TCGA.AB.2817.03A	TCGA.AB.2818.03A	TCGA.AB.2819.03A	TCGA.AB.2820.03A	TCGA.AB.2821.03A	TCGA.AB.2822.03A	TCGA.AB.2823.03A	TCGA.AB.2825.03A	TCGA.AB.2826.03A	TCGA.AB.2828.03A	TCGA.AB.2830.03A	TCGA.AB.2834.03A	TCGA.AB.2835.03A	TCGA.AB.2836.03A	TCGA.AB.2839.03A	TCGA.AB.2840.03A	TCGA.AB.2842.03A	TCGA.AB.2843.03A	TCGA.AB.2844.03A	TCGA.AB.2846.03A	TCGA.AB.2847.03A	TCGA.AB.2849.03A	TCGA.AB.2851.03A	TCGA.AB.2853.03A	TCGA.AB.2856.03A	TCGA.AB.2857.03A	TCGA.AB.2858.03A	TCGA.AB.2861.03A	TCGA.AB.2862.03A	TCGA.AB.2863.03A	TCGA.AB.2866.03A	TCGA.AB.2867.03A	TCGA.AB.2869.03A	TCGA.AB.2870.03A	TCGA.AB.2871.03A	TCGA.AB.2872.03A	TCGA.AB.2873.03A	TCGA.AB.2874.03A	TCGA.AB.2875.03A	TCGA.AB.2876.03A	TCGA.AB.2877.03A	TCGA.AB.2878.03A	TCGA.AB.2880.03A	TCGA.AB.2881.03A	TCGA.AB.2882.03A	TCGA.AB.2883.03A	TCGA.AB.2884.03A	TCGA.AB.2885.03A	TCGA.AB.2886.03A	TCGA.AB.2889.03A	TCGA.AB.2890.03A	TCGA.AB.2891.03A	TCGA.AB.2892.03A	TCGA.AB.2893.03A	TCGA.AB.2894.03A	TCGA.AB.2895.03A	TCGA.AB.2897.03A	TCGA.AB.2898.03A	TCGA.AB.2899.03A	TCGA.AB.2900.03A	TCGA.AB.2901.03A	TCGA.AB.2908.03A	TCGA.AB.2909.03A	TCGA.AB.2910.03A	TCGA.AB.2911.03A	TCGA.AB.2912.03A	TCGA.AB.2913.03A	TCGA.AB.2914.03A	TCGA.AB.2915.03A	TCGA.AB.2916.03A	TCGA.AB.2917.03A	TCGA.AB.2918.03A	TCGA.AB.2919.03A	TCGA.AB.2921.03A	TCGA.AB.2924.03A	TCGA.AB.2925.03A	TCGA.AB.2927.03A	TCGA.AB.2928.03A	TCGA.AB.2929.03A	TCGA.AB.2930.03A	TCGA.AB.2931.03A	TCGA.AB.2932.03A	TCGA.AB.2933.03A	TCGA.AB.2934.03A	TCGA.AB.2935.03A	TCGA.AB.2936.03A	TCGA.AB.2937.03A	TCGA.AB.2938.03A	TCGA.AB.2939.03A	TCGA.AB.2940.03A	TCGA.AB.2941.03A	TCGA.AB.2942.03A	TCGA.AB.2943.03A	TCGA.AB.2944.03A	TCGA.AB.2946.03A	TCGA.AB.2948.03A	TCGA.AB.2950.03A	TCGA.AB.2955.03A	TCGA.AB.2956.03A	TCGA.AB.2959.03A	TCGA.AB.2963.03A	TCGA.AB.2965.03A	TCGA.AB.2966.03A	TCGA.AB.2970.03A	TCGA.AB.2971.03A	TCGA.AB.2973.03A	TCGA.AB.2975.03A	TCGA.AB.2976.03A	TCGA.AB.2980.03A	TCGA.AB.2983.03A	TCGA.AB.2984.03A	TCGA.AB.2986.03A	TCGA.AB.2987.03A	TCGA.AB.2991.03A	TCGA.AB.2992.03A	TCGA.AB.2995.03A	TCGA.AB.2996.03A	TCGA.AB.2998.03A	TCGA.AB.3000.03A	TCGA.AB.3001.03A	TCGA.AB.3002.03A	TCGA.AB.3007.03A	TCGA.AB.3008.03A	TCGA.AB.3009.03A	TCGA.AB.3011.03A	TCGA.AB.3012.03A
ENSG00000000971.16	43.87745803	21.26649048	243.4503666	11.73036035	1332.532726	521.7479828	3.562164173	102.2388891	1273.433682	209.8575562	146.5331044	15.13485615	1905.291234	60.15835933	2898.862835	1596.079274	9.615503806	56.4964395	264.7753229	84.25674248	89.84979655	401.4706739	23.10778631	3858.996795	104.8509127	673.8237315	1459.292029	84.08893838	113.447099	202.6468442	14.63219136	119.8680561	360.7509481	2452.187477	263.2430195	74.21707255	2115.374937	209.4123161	73.83495606	35.67330828	615.3889251	31.01238022	208.8968382	124.4249342	253.2941671	27.27974255	134.5824294	95.69891869	2211.692454	494.8995937	1322.679163	17.60959202	762.6157707	115.2322537	20.27037022	75.224491	64.33949407	32.95967541	395.949309	235.7743889	25.10287891	30.19830305	21.84410453	2369.692434	45.03567977	359.3756738	272.2283729	70.27667219	3065.024126	348.6044473	1.934436575	42.93668509	132.0701224	157.9019401	300.6423776	37.99425751	541.9190942	144.0830034	15.98287675	77.68697614	1494.189174	225.2928002	78.03686339	599.3286862	255.0416385	36.75687235	413.1955339	56.19246215	5215.409295	84.40367724	110.3908348	88.65882788	217.9640322	137.8027346	426.5800505	7173.21808	407.2040032	210.9639881	16742.52214	9.765961553	318.2699257	179.9272835	128.9333609	151.9188128	227.5820164	31.29195383	22.64255174	186.7423736	24.82705764	392.7722179	16.8919388	322.5123478	118.8032078	108.7671328	43.54122422	1041.117111	2725.447432	75.12042249	62.40003202	317.0422957	555.8688772	499.3569	880.571667	1692.405784	520.9691776	3872.946747	85.69846371	263.336427	104.0100082	180.8090313	290.0023617	86.12326959	522.690979	258.0925296
ENSG00000002933.9	2104.430391	11.39276276	285.3067454	110.6005405	4.964726998	78.21074298	26.71623129	70.23367165	26.59913696	15.18118492	364.5883192	35.31466435	681.78109	31.79798993	28.87133854	2288.977619	52.35107628	22.79680892	61.32663729	60.04503487	572.9245851	451.1576385	0	54.58863802	151.9449667	129.124812	30.87981924	57.58264258	52.49044879	38.20391325	284.2825749	4.960057495	22.54693425	205.5563358	35.28982508	106.9598987	69.50357504	2568.963434	306.0405425	144.8552518	1.796755986	326.5991292	2.887974722	28.32437527	513.4963569	363.3661708	252.5725045	26.36602862	213.408921	104.3351755	432.295296	142.6376954	305.0463083	131.5150722	585.9979755	4.237999493	630.3531514	32.95967541	867.9625641	15.00382475	176.7661057	216.8787219	27.08668961	8.146772441	21.39194789	76.1999996	1635.52224	3.513833609	23.18932727	77.3560301	49.32813267	8.945142728	43.61948995	24.46368086	2.109771071	22.34956324	6.495605581	2126.510755	9.253244436	11.22145211	123.7883755	215.0522184	16.33329699	2055.114315	116.2833524	5.128865909	34.78648232	22.47698486	18.60335201	4217.338794	37.51144872	3737.462144	347.6388362	250.5504266	505.9437808	443.3933787	56.60683452	35.48030709	26.24087094	204.0000858	69.7811067	13.84056027	80.81034593	600.3636506	73.3528813	8.163118391	25.47287071	110.5428993	31.23404025	213.2935223	4.2229847	53.19791304	1536.812138	3318.662284	32.89781386	23.0767646	77.74513509	78.6555012	88.27321603	29.43008652	1074.759353	39.90018813	1227.963236	42.70230866	2758.072117	213.7260887	48.69230893	92.39874631	1225.99031	7.694001331	46.68768671	11.55312153	111.6861066	150.3846235
ENSG00000003096.14	748.4481783	1074.717287	424.5432708	293.2590088	161.8501001	2.058177447	94.39735057	448.0730445	97.53016884	42.86452211	412.5604665	223.2391282	334.5687517	785.4962918	129.9210234	97.67223778	74.78725182	522.344274	196.6346148	106.5315135	132.1320537	66.58053255	122.2787026	79.78339403	19.54847525	132.0931985	82.93437166	135.2735096	211.6550355	35.71235369	64.79970458	114.0813224	665.1345605	57.95420921	21.9369183	319.7882685	35.87281293	421.4099695	345.6332001	636.7145023	90.73617728	594.0809087	216.5981042	14.16218764	19.57273109	243.3353035	300.5059725	1169.870455	53.35223026	178.2007866	751.1001801	162.8887262	150.9588141	72.64642083	101.3518511	25.42799696	573.8387309	196.7886503	23.96535291	541.2093927	284.4992944	150.0764151	598.528464	65.17417953	82.19011558	125.6270264	531.5447281	79.64689515	532.3462955	59.27280228	998.1692728	92.1349701	115.1069874	529.305095	79.11641517	103.9254691	9.279436544	55.31758166	1043.934213	487.7015724	48.40442889	575.5206987	168.7774022	251.3930534	947.8558979	348.7628818	176.4777639	958.2687879	68.75151831	175.445846	748.0854631	573.327087	73.57435686	403.5651513	166.1678104	110.8483447	232.8184323	1044.271741	204.0016095	351.5746159	16.16879302	102.8155906	718.2132992	188.4768159	328.2071228	3201.302929	62.26701729	1336.17388	293.9203275	185.5480235	1184.547208	1042.346609	41.41763208	67.03090741	377.3572766	101.1827371	58.52723653	1322.119436	89.79516803	96.31664678	9.542813342	134.2097237	107.73536	650.1208624	277.7843243	45.04540884	1559.127732	106.2585583	58.64394081	45.20225782	2637.854299	10.50283775	136.2570501	122.9495909
ENSG00000003989.18	6.750378158	259.7549909	15.37581263	308.3409007	3.971781598	114.2288483	6.233787302	66.67753638	33.2489212	14.28817404	86.34986508	20.1798082	266.4879011	6.875241067	10.82675195	4.596340601	191.2416868	41.62895542	602.5585473	47.45494691	48.62459578	6.956175042	0.96282443	35.69257101	41.76265167	8.905159448	34.40894144	76.77685678	15.23916255	48.17015149	3.135469576	7.440086242	13.52816055	173.8626276	72.48720828	45.83995657	6.726152423	200.7945254	20.33136471	5.405046709	14.37404789	23.25928517	10.58924065	35.40546909	126.6470835	51.28591599	65.44761978	21.48343073	143.5660014	117.2616575	0	13.20719402	204.1463755	97.69691077	4.606902323	3.17849962	84.33690439	6.785815526	0	19.29063182	23.01097234	3.660400369	0.873764181	14.25685177	19.1401639	104.0027022	46.26806338	14.05533444	7.057621342	61.28204982	0.967218288	380.1685659	6.058262494	92.29479598	198.3184807	5.58739081	11.13532385	7.718732324	2.523612119	25.03247009	315.0255454	8.192465461	2.722216165	7.646936985	44.94986732	1787.409769	0	0.749232829	1.617682784	13.27698294	4.287022711	2.955294263	451.5626153	9.843052472	4.960233145	456.69518	45.650673	27.80888934	7.618317369	3.255320518	32.33758603	0.988611448	17.25164688	87.7392074	52.66360709	5.442078927	0	8.585856256	8.809601097	12.13865574	2.11149235	111.3831304	126.4327716	22.76521384	1543.294503	22.18919673	255.9474672	38.00209608	50.22441602	0	212.3275969	37.48199491	128.6228278	54.03149259	78.09594882	1.916825908	15.58153886	152.4579314	36.51415183	3.847000665	52.97256761	24.15652684	24.57094346	114.8206923
ENSG00000004468.13	6244.099796	12731.03262	21369.81691	1308.773062	9777.53335	5637.348027	1758.81856	5895.18325	4353.392082	6029.609444	6801.578261	3402.820158	3946.74417	4003.109111	2661.576522	2918.676282	2642.126768	5440.508008	3193.852332	5765.291816	4358.243661	5268.805725	3626.959627	9606.55051	7436.417698	3499.727663	9458.929772	7329.447792	5998.303705	11415.49538	2204.235112	5093.152371	13821.2707	6703.672043	20622.61076	3143.311308	4442.623676	27957.83687	1135.346208	13496.40163	5039.90054	7120.248672	2961.136748	24712.00584	2621.594629	23852.3157	21638.27362	24677.62627	6327.574509	3554.78253	21983.09277	4162.907554	7154.509184	5206.744334	14351.42212	1114.593867	21645.89249	4488.332269	1810.947103	9084.815886	4567.678009	9013.73591	2994.389849	2829.985077	10335.68851	4727.489164	2598.54356	10737.10423	5039.141638	4602.181479	4654.2544	8611.488904	4381.335435	7775.002572	7806.152963	3886.589047	7456.027263	4179.693553	5001.79922	11144.62832	3457.345847	16625.24324	3175.011454	4346.327809	2454.653624	3603.883112	4375.460715	20168.59852	2232.402242	2519.78169	4953.654743	3202.553883	5255.968118	2259.427954	12419.18374	6651.787467	19091.11145	16358.33943	1113.967295	5213.938362	7109.162993	3062.718266	16888.45432	1611.801736	8776.013953	29524.6387	4169.05984	9634.403951	6886.705439	4561.533418	17341.68667	2519.419913	3675.269878	1088.936062	12774.99519	19317.02711	1284.10504	8075.887303	2310.323137	3033.974374	1772.577578	2183.628478	5590.145976	3552.1349	5994.605489	13798.2713	18438.80355	1972.713234	2727.496492	1873.489324	15507.49471	21825.94714	3338.297727	2058.643563
ENSG00000004776.13	2.531391809	18.98793793	1.708423625	1.675765765	11.9153448	6.17453234	5.343246259	0.889033818	2.216594746	5.358065264	2.616662578	5.04495205	6.808085064	2.5782154	4.511146647	22.98170301	2.136778624	1.982331211	33.09691536	1.936936609	10.5705643	1.987478584	1.925648859	6.298689002	5.33140234	8.905159448	1.764561099	8.226091798	21.16550355	6.644158826	0	3.306704996	1.127346713	21.73282845	6.676453394	64.39422471	5.60512702	0.861779079	5.350359135	1.081009342	8.085401936	2.907410646	1.925316481	5.057924156	34.54011369	2.182379404	23.04493654	1.953039157	3.880162201	5.539920825	4.126924067	1.760959202	8.603870233	132.7675967	0	3.17849962	13.91124196	1.938804436	2.083943731	6.430210607	12.55143946	10.06610102	20.09657616	4.073386221	11.25891994	25.74324311	3.228004422	9.370222958	2.016463241	8.03699014	4.836091438	72.4556561	2.423304997	11.11985494	4.219542142	2.234956324	0.927943654	0	2.523612119	2.589565871	3.174060911	0.682705455	2.722216165	448.3016808	5.863026172	5.983676894	1.696901576	4.495396972	4.044206959	6.638491469	1.071755678	5.910588525	13.79519191	0.894822952	27.2812823	86.01831546	2.73904038	3.835708875	3.385918831	1.085106839	0.850989106	1.977222896	2.723944245	8.936400753	32.91475443	0	25.47287071	0	0.800872827	20.80912413	2.11149235	4.156086957	1.089937686	2.529468204	2.902748281	6.212975086	6.114785906	14.14031482	3.043904001	6.688656027	13.12136835	2.41819322	6.596042449	12.20065962	15.81690103	7.667303632	6.81692325	5.774921645	7.745426145	4.808750832	5.387040774	3.150851326	10.0517496	8.128898569
ENSG00000004799.8	1586.338867	8.354692689	116.1728065	18.43342341	4.964726998	1519.964044	1155.922274	381.3955081	330.2726172	410.7850036	127.3442455	22.70228422	131.2987834	79.06527226	50.52484245	5020.353022	766.0351365	1390.605344	60.3531986	74.57205944	117.3332637	3330.020367	3.851297719	72.43492353	651.3196526	130.6090052	15.88104989	190.1141215	88.04849475	259.9527141	1722.417954	27.28031622	277.3272913	559.6203326	46.73517376	285.9540148	11.21025404	201.6563044	1580.496088	261.6042607	37.7318757	778.2169163	25.02911426	19.22011179	4898.939459	6.547138212	51.62065785	42.96686145	2.91012165	197.5905094	148.5692664	95.09179692	261.2447871	172.8483806	3178.762603	23.30899721	13.91124196	125.0528861	300.0878973	33.2227548	324.2455193	542.6543548	48.93079414	9.165118996	11.25891994	192.5594584	207.6682845	632.4900497	57.46920236	212.9802387	2.901654863	248.6749678	56.94766744	199.0454034	18.98793964	5.58739081	172.5975197	456.6916625	156.4639514	4.315943119	10.31569796	163.1666038	125.2219436	230.3639767	86.96822156	0	274.0496046	21.72775203	19.41219341	202.9481678	914.2075932	1999.749118	593.1932522	82.32371158	42.16198174	1587.348296	73.95409026	118.9069751	34356.07189	120.4468592	366.7763047	12.85194882	324.1493651	411.0744347	195.6076835	21.76831571	809.4712248	25.75756877	702.3654693	212.4264755	7.390223225	238.5593913	462.133579	1025.699357	20.31923797	30.17730756	80.36575762	164.3811598	22.82928001	16.05277446	12010.82344	37.48199491	315.5106972	223.9692515	320.2922458	5.750477724	58.43077071	291.0560509	55.32447246	18.27325316	192.1377876	36.75993214	5.584305331	173.7552069
ENSG00000004838.14	136.6951577	17.4689029	54.669556	182.6584683	27.80247119	99.82160617	47.19867529	84.45821275	46.54848967	111.6263597	12.21109203	49.18828249	51.54692977	16.32869753	231.8729377	90.77772687	133.548664	41.62895542	58.40632123	100.7207037	109.9338687	89.43653626	25.03343517	141.7205026	87.07957156	60.85192289	42.34946638	52.09858138	57.57016964	32.39027428	116.0123743	37.20043121	109.3526311	40.74905335	24.79825546	77.49135516	127.796896	24.12981421	165.8611332	19.45816815	48.51241161	100.7902357	40.43164611	84.97312581	99.01499258	75.29208944	35.95010101	41.0138223	106.7044605	19.38972289	72.22117117	80.1236437	50.05888136	51.35350438	80.16010042	31.7849962	39.99482064	87.24619962	57.30845261	40.72466718	63.80315057	180.2747182	142.4235615	53.97236742	138.4847153	143.1324317	106.5241459	79.64689515	93.76554068	29.13408926	49.32813267	177.113826	124.8002074	41.14346327	29.536795	30.17191037	50.10895734	55.31758166	48.7898343	56.97044917	123.7883755	51.88561459	96.18497116	132.8655301	85.99105053	155.5755992	69.57296463	106.3910617	96.25212563	185.8777611	75.02289745	92.59922023	60.69884441	41.16185579	52.08244803	43.45255111	65.73696912	70.00168697	21.16199269	53.17023512	71.48308491	54.37362964	49.93897782	173.8536147	26.33180354	36.73403276	141.5159484	32.19696096	41.645387	35.54892038	50.6758164	48.2106087	85.01513953	116.3555374	41.6060587	37.27785051	68.13618581	43.30471414	38.04880001	49.4960546	50.09977005	73.75489322	142.9142531	54.03149259	53.38204097	205.1003721	87.64615607	143.2180568	117.2878816	58.66676015	42.19848606	66.16787785	94.93319062	150.3846235
ENSG00000004846.16	0.84379727	3.038070069	5.979482688	1.675765765	0.9929454	2.058177447	1.781082086	0	12.19127111	1.786021755	0.872220859	1.261238012	5.835501483	4.297025667	0	0	2.136778624	0	3.893754749	0.968468304	1.05705643	4.968696459	0.96282443	1.0497815	0	4.452579724	4.411402748	0.9140102	0.846620142	28.23767501	1.045156525	2.480028747	1.127346713	2.716603557	2.861337169	1.091427537	7.847177827	0	1.070071827	2.162018684	0.898377993	0	6.738607685	4.046339324	3.454011369	1.091189702	2.765392385	0.976519578	0.97004055	5.539920825	4.126924067	0	3.910850106	6.262622485	1.842760929	5.297499366	0.869452623	0.969402218	0	4.286807071	2.091906576	0.915100092	0.873764181	6.110079331	1.125891994	3.089189173	2.152002948	2.34255574	0	3.013871302	4.836091438	0	4.846609995	1.111985494	2.109771071	2.234956324	30.6221406	1.286455387	5.888428277	2.589565871	4.761091366	7.509760006	8.166648495	0.955867123	3.908684115	6.838487879	7.636057094	2.247698486	15.36798645	0.948355924	0	0.985098088	0.919679461	8.053406568	0	52.32041868	0	8.630344969	37.24510714	3.255320518	8.509891061	18.78361751	5.44788849	4.062000342	12.22548022	2.721039464	0.943439656	3.219696096	0	0.867046839	3.167238525	4.156086957	1.089937686	2.529468204	2.902748281	3.550271477	8.735408437	2.651309029	1.521952001	1.337731205	2.385703336	3.62728983	8.794723266	8.714756869	1.977112628	0	4.869230893	9.239874631	3.319468348	3.847000665	48.48336697	3.150851326	1.116861066	1.016112321
ENSG00000004939.15	770.3869073	359.2517856	4240.307437	361.9654051	11.9153448	1631.105627	1174.623636	149.3576815	729.2596716	206.2855127	532.9269451	658.3662425	5007.832856	1640.604399	313.0735773	4.596340601	87.60792357	87.22257327	9585.450752	4888.828001	94.07802227	3331.014106	187.7507638	91.33099054	135.9507597	17721.2673	5300.741542	155.381734	2520.388162	18130.2484	93.01893077	17.36020123	2958.157774	19356.70587	174.5415673	333.9768265	1279.089986	2578.443004	139.1093375	2652.796925	765.4180499	14.53705323	4253.024107	4594.618303	10778.81815	121.1220569	813.0253612	726.5305664	174.607299	9744.720732	566.4203282	935.0693364	1940.563823	2546.382302	132.6787869	2147.606243	438.2041218	109.5424506	4247.077325	623.7304289	200.8230313	24.70770249	2624.7876	60.08244675	610.2334609	11882.05129	3472.256756	741.4188916	264.1566845	13639.77689	6.770528013	867.6788446	1084.428986	319.1398367	350.2219978	284.9569313	11827.56982	2379.942467	3017.39889	92.36118275	2799.521723	857.4780516	4954.43342	1912.690113	7181.22989	121.3831598	2149.974297	1753.954052	112.4289535	1488.918801	1868.070146	2351.429135	812.0769639	29060.27019	966.005405	15141.88388	4329.509828	9906.677097	65.17893749	386.2980348	14817.42232	51.4077953	3600.14631	20155.6457	2731.924618	522.439577	221.7083191	1175.189075	2224.023841	148.2650094	1945.740201	4777.837565	296.4630507	989.0220678	154.8132417	157.9870807	14879.02119	899.6775305	747.2784323	1430.034658	1260.844213	2217.483183	9658.804827	20805.61055	6855.638039	57.50477724	2608.933912	10884.57232	953.7939053	5280.970163	23443.50361	326.6382542	1093.406984	1597.328569
