	TCGA.AB.2805.03A	TCGA.AB.2806.03A	TCGA.AB.2808.03A	TCGA.AB.2810.03A	TCGA.AB.2812.03A	TCGA.AB.2813.03A	TCGA.AB.2814.03A	TCGA.AB.2815.03A	TCGA.AB.2817.03A	TCGA.AB.2818.03A	TCGA.AB.2819.03A	TCGA.AB.2820.03A	TCGA.AB.2821.03A	TCGA.AB.2822.03A	TCGA.AB.2823.03A	TCGA.AB.2825.03A	TCGA.AB.2826.03A	TCGA.AB.2828.03A	TCGA.AB.2830.03A	TCGA.AB.2834.03A	TCGA.AB.2835.03A	TCGA.AB.2836.03A	TCGA.AB.2839.03A	TCGA.AB.2840.03A	TCGA.AB.2842.03A	TCGA.AB.2843.03A	TCGA.AB.2844.03A	TCGA.AB.2846.03A	TCGA.AB.2847.03A	TCGA.AB.2849.03A	TCGA.AB.2851.03A	TCGA.AB.2853.03A	TCGA.AB.2856.03A	TCGA.AB.2857.03A	TCGA.AB.2858.03A	TCGA.AB.2861.03A	TCGA.AB.2862.03A	TCGA.AB.2863.03A	TCGA.AB.2866.03A	TCGA.AB.2867.03A	TCGA.AB.2869.03A	TCGA.AB.2870.03A	TCGA.AB.2871.03A	TCGA.AB.2872.03A	TCGA.AB.2873.03A	TCGA.AB.2874.03A	TCGA.AB.2875.03A	TCGA.AB.2876.03A	TCGA.AB.2877.03A	TCGA.AB.2878.03A	TCGA.AB.2880.03A	TCGA.AB.2881.03A	TCGA.AB.2882.03A	TCGA.AB.2883.03A	TCGA.AB.2884.03A	TCGA.AB.2885.03A	TCGA.AB.2886.03A	TCGA.AB.2889.03A	TCGA.AB.2890.03A	TCGA.AB.2891.03A	TCGA.AB.2892.03A	TCGA.AB.2893.03A	TCGA.AB.2894.03A	TCGA.AB.2895.03A	TCGA.AB.2897.03A	TCGA.AB.2898.03A	TCGA.AB.2899.03A	TCGA.AB.2900.03A	TCGA.AB.2901.03A	TCGA.AB.2908.03A	TCGA.AB.2909.03A	TCGA.AB.2910.03A	TCGA.AB.2911.03A	TCGA.AB.2912.03A	TCGA.AB.2913.03A	TCGA.AB.2914.03A	TCGA.AB.2915.03A	TCGA.AB.2916.03A	TCGA.AB.2917.03A	TCGA.AB.2918.03A	TCGA.AB.2919.03A	TCGA.AB.2921.03A	TCGA.AB.2924.03A	TCGA.AB.2925.03A	TCGA.AB.2927.03A	TCGA.AB.2928.03A	TCGA.AB.2929.03A	TCGA.AB.2930.03A	TCGA.AB.2931.03A	TCGA.AB.2932.03A	TCGA.AB.2933.03A	TCGA.AB.2934.03A	TCGA.AB.2935.03A	TCGA.AB.2936.03A	TCGA.AB.2937.03A	TCGA.AB.2938.03A	TCGA.AB.2939.03A	TCGA.AB.2940.03A	TCGA.AB.2941.03A	TCGA.AB.2942.03A	TCGA.AB.2943.03A	TCGA.AB.2944.03A	TCGA.AB.2946.03A	TCGA.AB.2948.03A	TCGA.AB.2950.03A	TCGA.AB.2955.03A	TCGA.AB.2956.03A	TCGA.AB.2959.03A	TCGA.AB.2963.03A	TCGA.AB.2965.03A	TCGA.AB.2966.03A	TCGA.AB.2970.03A	TCGA.AB.2971.03A	TCGA.AB.2973.03A	TCGA.AB.2975.03A	TCGA.AB.2976.03A	TCGA.AB.2980.03A	TCGA.AB.2983.03A	TCGA.AB.2984.03A	TCGA.AB.2986.03A	TCGA.AB.2987.03A	TCGA.AB.2991.03A	TCGA.AB.2992.03A	TCGA.AB.2995.03A	TCGA.AB.2996.03A	TCGA.AB.2998.03A	TCGA.AB.3000.03A	TCGA.AB.3001.03A	TCGA.AB.3002.03A	TCGA.AB.3007.03A	TCGA.AB.3008.03A	TCGA.AB.3009.03A	TCGA.AB.3011.03A	TCGA.AB.3012.03A
hsa-let-7a-1	5926.278	5483.847	3927.61	9037.16	12414.457	5454.624	9751.246	4451.728	6290.337	8832.258	5402.878	7610.871	5169.53	7209.563	6723.109	9897.68	6358.303	6638.687	11015.731	3683.949	10185.443	9620.077	11221.777	5845.041	10894.805	5134.75	5533.586	4757.422	6080.298	4261.566	12483.75	15115.312	8083.364	4652.729	5267.523	9104.891	8737.058	5997.749	9064.099	4999.737	9882.312	3228.278	6290.984	7299.686	7306.674	6528.156	4672.007	7419.914	9390.248	5077.811	3220.787	6633.1	5755.645	6620.927	6809.069	7093.54	4261.221	4755.768	6005.188	3236.093	4110.931	6566.647	7079.225	12201.51	11894.583	5311.247	7003.288	8477.458	4448.619	7103.27	9088.541	12820.515	4641.403	6243.532	10566.114	3295.401	5997.136	4067.307	6181.208	8077.042	10645.483	8443.783	10944.427	8429.585	8719.992	6703.297	6006.079	8309.99	13463.202	11016.73	7328.45	5870.908	4967.907	5070.354	4768.918	5470.918	6311.038	4626.161	3465.575	5468.416	6536.96	6814.954	3794.248	6253.789	3960.735	4623.839	12166.05	6374.588	10725.714	9429.055	4812.241	7632.547	13008.387	5831.729	7633.69	10841.088	5809.281	7832.525	6659.571	13412.303	8398.028	6969.919	3102.123	7191.741	5499.652	6748.081	5855.365	7751.67	6025.14	7530.174	5008.663	6124.73	10883.078	10459.051
hsa-let-7a-2	5716.588	5376.719	3922.755	8908.67	12217.018	5439.572	9483.182	4498.045	6303.998	8776.912	5218.558	7561.481	5045.837	7440.146	6849.26	9866.452	6272.606	6708.111	10971.951	3688.778	10053.925	9471.474	11530.783	5935.467	10654.725	5159.599	5558.545	4722.237	6024.228	4339.907	12641.326	14821.1	8150.966	4606.955	5133.498	9181.37	9091.406	5968.897	9108.108	5028.255	9949.414	3223.271	6139.637	7608.025	7198.581	7082.551	4576.942	7479.722	9302.789	5097.041	3286.793	6667.232	5764.582	6634.353	6698.428	6946.448	4308.285	4698.938	5952.694	3302.067	4126.973	6343.637	6926.706	12121.681	13578.524	5305.526	7044.56	8616.09	4377.978	7159.224	8880.315	12567.079	4577.256	6201.573	10594.827	3272.516	5890.942	4036.044	5983.673	8158.676	10426.614	8270.101	10739.684	8599.087	8452.952	6567.267	6100.415	8218.273	13253.625	10928.112	7256.572	5875.215	4868.911	4934.367	4641.895	5553.583	6205.412	4691.626	3464.586	5428.386	6723.8	7124.326	3779.973	6173.466	3951.696	4482.703	12204.213	6202.386	10455.031	9393.197	4821.198	7715.383	12839.501	5875.511	7449.821	10791.778	5812.104	7847.124	6636.133	12971.08	8454.609	7145.703	3020.276	7120.98	5479.203	6730.257	5793.692	8274.878	6187.392	8156.015	4903.796	6294.665	10884.045	11426.225
hsa-let-7a-3	5941.985	5518.941	3925.452	9090.329	12440.436	5503.124	9475.297	4435.848	6344.984	8710.357	5294.878	7614.671	5059.126	7240.307	6668.938	10018.425	6382.34	6762.349	11153.59	3663.253	10453.279	9632.243	11486.058	5693.823	10814.079	5099.735	5568.052	4647.236	6177.086	4280.443	12898.796	14754.292	8156.507	4671.925	5189.811	9034.22	8807.323	5917.982	9309.669	4971.777	10089.718	3281.694	6386.837	7183.885	7379.504	6697.902	4667.132	7577.502	9462.746	5179.023	3246.289	6675.507	5687.125	6574.895	6736.845	6694.735	4365.704	4790.298	5976.249	3266.285	3969.477	6483.018	7036.572	12242.959	11906.047	5281.212	6944.82	8851.502	4436.995	7181.462	8928.416	12973.414	4498.854	6294.815	10444.509	3311.42	5927.831	4148.591	6110.66	8383.645	10803.091	8520.098	10896.68	8412.321	8713.6	6636.277	6134.41	8207.608	13482.762	11170.234	7438.32	5987.206	4872.104	5047.227	4675.192	5558.593	6294.12	4631.197	3418.609	5585.648	6683.501	6979.514	3891.317	6222.056	3978.814	4507.765	12411.176	6370.439	10643.783	9539.616	4801.218	7654.714	13024.351	5745.917	7426.726	10984.991	5788.105	7970.782	6660.129	13504.6	8462.991	6837.654	3030.651	7164.525	5479.203	6748.081	5668.559	7838.628	6018.12	7449.165	4942.747	6107.029	10968.148	10191.819
hsa-let-7b	8939.679	6301.16	4020.932	40666.482	30109.562	10190.104	26886.886	5060.466	11856.592	20480.863	8171.997	22552.419	9568.281	6821.964	4803.387	25277.492	15863.36	9446.027	32288.032	2685.006	35143.137	36359.892	38364.112	6028.933	35010.778	13209.614	6825.47	2287.044	6908.003	2777.805	37307.741	33678.945	16756.302	12500.795	6906.233	24893.478	6327.643	13071.494	27963.334	4340.449	35048.655	2781.761	11413.57	5385.472	18516.222	3982.507	5245.649	7815.782	19691.902	10536.179	1179.105	5927.693	6204.895	19128.187	14522.48	13565.566	7123.684	2455.936	8509.425	3417.243	4553.524	16326.913	9385.111	45500.825	6697.55	5291.223	16885.276	42918.275	4638.189	10017.175	10213.849	35644.424	9164.49	11590.069	20509.003	415.358	7253.013	11292.171	11512.31	8679.807	16079.329	20444.552	34681.629	31916.595	13318.62	9149.848	10807.882	11482.404	39116.776	30701.273	25826.702	12900.491	6295.308	10553.292	6817.321	13019.316	4136.332	7554.441	4506.237	5601.374	31610.163	16855.273	4046.913	8301.529	4308.75	2873.494	24835.563	13669.316	40503.002	35761.98	4864.256	13231.537	39036.924	23361.942	20153.688	43995.313	4353.784	16133.92	8785.678	35525.27	22391.25	6062.84	4235.303	15194.508	8323.739	3513.066	9107.949	5254.738	9979.236	6315.768	6549.714	6930.15	32295.423	7400.272
hsa-let-7c	29.843	24.935	426.691	59.076	711.822	238.321	2237.552	386.416	614.786	212.977	132.48	53.19	1139.811	5699.793	25.23	106.867	66.363	360.138	579.383	251.806	89.279	284.17	1161.481	41.794	80.726	176.203	746.369	1060.188	762.29	49.081	385.501	226.119	333.575	476.2	177.949	194.586	55.91	1726.007	24.645	472.517	478.865	575.882	693.169	50.227	134.925	705.1	19.501	526.875	27.618	436.224	676.56	694.029	1369.796	105.49	163.657	1182.947	16.002	927.27	23.555	772.681	464.467	1314.473	6188.667	898.073	59.868	542.066	1533.071	258.954	1385.108	3685.063	847.462	54.457	74.126	91.378	788.743	916.533	1411.255	68.778	1227.541	795.459	168.746	352.628	297.808	67.487	251.415	3772.346	825.23	35.549	565.158	146.089	158.131	1019.763	351.809	582.799	45.63	6027.028	205.765	1132.201	86.021	917.836	716.831	2668.057	1127.711	677.291	69.302	1645.483	24.953	69.503	367.134	473.619	1414.048	452.679	63.017	87.563	2301.477	180.131	101.645	554.743	584.819	1188.603	148.786	56.319	302.028	1688.732	538.126	24.953	1048.442	62.113	2794.155	30.826	1264.4	47.794	53.168	150.061
hsa-let-7d	2636.432	3159.354	2002.914	1919.972	2111.22	2094.716	1999.447	2109.41	1797.518	1142.652	2188.799	1549.149	2363.447	3792.542	3728.877	1731.383	1398.325	2621.847	1849.927	3266.573	1267.18	1455.612	2297.212	2874.648	2525.557	1764.294	2636.06	2123.155	1485.197	2305.87	1823.39	2146.85	2731.765	1665.591	1477.655	1462.785	2668.565	4475.4	1873.024	2392.783	1445.746	1947.984	2214.709	2505.779	1126.934	3181.109	1656.734	2503.367	1853.883	2101.163	2307.205	2596.145	1842.879	1891.145	1709.567	1952.588	1316.865	2025.751	1765.955	2642.325	1868.075	1856.273	2139.149	2037.167	2765.382	1999.495	1417.854	1548.49	2319.541	1377.326	2068.972	1695.857	2919.408	1588.856	2068.972	2100.818	2114.368	1961.749	1347.473	2125.338	2929.944	2099.104	1790.891	1117.458	1823.116	3816.141	1327.507	2058.301	2053.851	1557.292	1458.091	3834.612	2173.659	1953.765	2719.282	1386.1	3575.737	1705.435	2211.838	2270.286	1928.238	3925.291	3537.301	2137.484	1837.998	1829.486	2349.984	2097.545	2130.209	1268.463	1893.894	2226.062	1487.201	1301.194	1731.215	2124.342	2555.236	2115.924	3670.744	2978.261	1784.385	2924.328	3860.651	2471.183	2284.885	2758.229	2089.733	1948.879	2303.501	2760.729	1928.56	2221.542	2474.745	2653.82
hsa-let-7e	406.028	189.321	80.375	350.026	495.331	236.649	219.182	160.125	591.366	148.524	172.8	416.969	775.889	488.616	608.493	36.779	119.14	134.509	302.732	152.463	229.436	288.515	379.48	227.966	242.177	345.63	225.812	107.408	468.588	565.377	222.296	168.305	73.143	386.866	161.055	206.203	652.786	364.888	124.105	141.476	361.436	111.003	191.706	235.789	194.722	294.88	224.256	60.757	594.946	480.757	93.758	330.983	578.544	70.966	203.611	744.78	179.786	155.384	293.428	71.565	374.782	69.333	96.94	610.997	640.713	890.333	440.231	196.177	1791.966	307.746	856.323	143.823	950.803	291.85	393.527	218.549	1148.007	45.331	289.248	150.928	696.704	86.841	89.019	67.487	676.123	629.056	656.105	49.058	500.888	90.471	144.782	71.071	382.147	336.728	615.384	1345.185	588.488	119.179	1062.908	178.706	246.678	710.897	31.405	145.276	391.705	48.144	115.958	431.542	141.046	118.031	347.225	226.34	179.808	98.071	81.72	101.638	398.109	104.766	483.257	130.566	157.168	505.166	352.75	575.611	205.564	441.138	34.859	161.493	508.595	331.918	114.855	456.7	254.241	793.474
hsa-let-7f-1	1842.439	1906.14	2201.965	1854.988	2810.919	1882.318	2286.434	1999.572	1935.113	1995.262	2155.679	1760.008	1356.529	2783.467	2636.557	1752.201	1513.285	3521.107	2329.642	2030.311	1520.617	1643.321	1737.478	2445.312	1802.172	1069.646	2089.357	2132.414	2132.677	2398.37	2607.054	2322.863	1463.96	1340.742	2183.82	1744.499	3507.97	2006.038	1418.851	1989.606	1825.483	1567.401	2028.048	1470.541	1714.167	2433.029	2063.809	2725.508	2119.71	1800.563	1899.169	2575.459	1927.486	1403.974	1917.02	2261.273	1797.864	2444.426	2167.063	1584.5	1924.948	1438.129	2133.979	1883.65	2910.594	2264.807	1870.983	1998.389	1957.392	2677.177	3177.192	1480.123	1481.086	2030.826	2381.429	2036.741	2231.739	1017.608	2044.725	3068.877	3697.934	1810.51	1363.602	1442.336	2535.46	2531.487	1810.237	2831.141	2162.831	1921.773	1306.121	1646.482	1957.57	1418.145	1567.441	1755.169	3588.997	2070.526	2065.503	1990.075	983.047	1652.177	1466.024	1984.771	1943.457	2112.417	1913.307	1958.539	1876.118	1698.754	1715.459	2098.892	2117.371	1287.183	2257.064	1970.375	2501.591	2138.251	3217.063	2557.297	1930.027	2827.903	1061.708	1627.497	1801.647	3112.922	2038.786	2568.544	2220.815	2506.951	2089.357	2702.139	2245.638	2607.568
hsa-let-7f-2	1819.664	2007.727	2253.211	2004.155	2900.979	1940.016	2310.087	2003.542	1917.548	2110.158	2093.759	1755.259	1335.061	2911.934	2730.057	1776.489	1474.094	3663.21	2352.929	2057.906	1592.615	1673.737	1821.506	2541.818	1800.075	1060.609	2164.231	2215.747	2174.729	2464.44	2595.798	2252.201	1513.83	1321.546	2218.734	1686.414	3667.389	2124.839	1429.413	2015.328	1750.755	1742.669	2081.524	1530.534	1711.1	2429.22	2023.995	2673.296	2232.485	1875.46	1891.668	2527.88	1980.514	1534.398	1963.889	2407.329	1806.336	2585.423	2131.394	1710.858	2024.112	1417.401	2117.176	2020.28	3087.649	2351.337	1887.32	2050.703	2034.293	2773.303	3218.964	1512.238	1501.043	2097.961	2579.037	2171.189	2250.184	1041.056	2002.396	3094.507	3822.127	1757.002	1274.584	1420.364	2682.474	2583.908	1873.978	2858.87	2131.394	1982.21	1386.214	1649.712	1941.603	1440.347	1519.345	1803.599	3700.567	2100.741	2037.323	2037.253	1007.471	1603.906	1438.902	2052.698	1949.483	2290.485	1928.719	1957.502	1932.122	1713.694	1723.037	2118.726	2228.281	1259.163	2305.918	2040.817	2652.646	2170.024	3233.246	2840.941	1982.417	2907.262	1085.916	1683.289	1783.351	3230.559	2113.866	2668.656	2197.413	2531.325	2191.228	2841.981	2366.475	2639.43
hsa-let-7g	2007.364	1883.976	2438.236	2072.093	2684.488	2094.716	2171.324	1855.328	1364.24	1881.768	1802.879	2716.472	1431.153	2399.162	1758.694	2319.151	1966.852	1384.144	2494.514	1755.05	1886.371	2064.797	1722.57	1624.636	1768.624	1919.037	2536.227	1994.45	2909.652	2050.082	2436.814	2822.638	1956.01	2171.323	2620.81	1944.894	2036.179	1364.513	1825.494	2467.715	1907.835	1363.756	2821.105	2102.566	1846.792	1943.92	2350.629	2328.691	2897.628	1504.012	2241.199	2382.041	2790.236	1561.25	1774.876	1506.134	2490.654	1996.257	2640.856	2306.862	1424.753	1460.287	2313.641	2298.145	1350.21	2191.149	2586.359	1399.395	1656.943	3327.102	3678.454	2646.068	1272.965	2084.907	2398.319	1811.898	3542.949	1558.457	2206.987	3384.023	4533.867	3066.639	2381.651	1297.946	5383.413	3012.569	2114.493	3679.346	2884.473	3619.592	1391.348	2360.424	3055.045	2817.788	1328.194	1867.894	4087.405	2242.58	2362.623	1635.521	2256.735	2027.372	2265.415	2971.455	1800.334	2471.851	2889.409	1679.489	2462.081	1470.162	2204.606	2667.075	1854.38	1432.539	1525.139	1635.27	1687.021	2140.827	2552.445	2462.749	2325.044	1245.847	3072.151	1905.097	1829.63	1818.916	2434.745	2735.883	2083.525	1552.776	2576.74	3125.206	2298.806	2567.483
