	TCGA.3H.AB3K.01A	TCGA.3H.AB3L.01A	TCGA.3H.AB3M.01A	TCGA.3H.AB3O.01A	TCGA.3H.AB3S.01A	TCGA.3H.AB3T.01A	TCGA.3H.AB3U.01A	TCGA.3H.AB3X.01A	TCGA.3U.A98D.01A	TCGA.3U.A98E.01A	TCGA.3U.A98F.01A	TCGA.3U.A98G.01A	TCGA.3U.A98H.01A	TCGA.3U.A98I.01A	TCGA.3U.A98J.01A	TCGA.LK.A4NW.01A	TCGA.LK.A4NY.01A	TCGA.LK.A4NZ.01A	TCGA.LK.A4O0.01A	TCGA.LK.A4O2.01A	TCGA.LK.A4O4.01A	TCGA.LK.A4O5.01A	TCGA.LK.A4O6.01A	TCGA.LK.A4O7.01A	TCGA.MQ.A4KX.01A	TCGA.MQ.A4LC.01A	TCGA.MQ.A4LI.01A	TCGA.MQ.A4LJ.01A	TCGA.MQ.A4LM.01A	TCGA.MQ.A4LP.01A	TCGA.MQ.A4LV.01A	TCGA.MQ.A6BL.01A	TCGA.MQ.A6BN.01A	TCGA.MQ.A6BQ.01A	TCGA.MQ.A6BR.01A	TCGA.MQ.A6BS.01A	TCGA.NQ.A57I.01A	TCGA.NQ.A638.01A	TCGA.SC.A6LM.01A	TCGA.SC.A6LN.01A	TCGA.SC.A6LP.01A	TCGA.SC.A6LQ.01A	TCGA.SC.A6LR.01A	TCGA.SC.AA5Z.01A	TCGA.SH.A7BC.01A	TCGA.SH.A7BD.01A	TCGA.SH.A7BH.01A	TCGA.SH.A9CT.01A	TCGA.SH.A9CU.01A	TCGA.TS.A7OU.01B	TCGA.TS.A7OY.01A	TCGA.TS.A7OZ.01A	TCGA.TS.A7P0.01A	TCGA.TS.A7P1.01A	TCGA.TS.A7P3.01A	TCGA.TS.A7P6.01A	TCGA.TS.A7P7.01A	TCGA.TS.A7P8.01A	TCGA.TS.A7PB.01A	TCGA.TS.A8AF.01A	TCGA.TS.A8AI.01A	TCGA.TS.A8AS.01A	TCGA.TS.A8AV.01A	TCGA.TS.A8AY.01A	TCGA.UD.AABY.01A	TCGA.UD.AABZ.01A	TCGA.UD.AAC1.01A	TCGA.UD.AAC4.01A	TCGA.UD.AAC5.01A	TCGA.UD.AAC6.01A	TCGA.UD.AAC7.01A	TCGA.UT.A88C.01B	TCGA.UT.A88D.01B	TCGA.UT.A88E.01B	TCGA.UT.A88G.01B	TCGA.UT.A97Y.01A	TCGA.XT.AASU.01A	TCGA.YS.A95B.01A	TCGA.YS.A95C.01A	TCGA.YS.AA4M.01A	TCGA.ZN.A9VO.01A	TCGA.ZN.A9VP.01A	TCGA.ZN.A9VQ.01A	TCGA.ZN.A9VS.01A	TCGA.ZN.A9VU.01A	TCGA.ZN.A9VV.01A	TCGA.ZN.A9VW.01A
ENSG00000000971.16	3900.722693	104205.7596	80145.6131	25362.34039	49760.75245	17114.76026	82963.44519	37399.81736	71955.65911	1966.226442	15944.04821	23013.72448	7582.921218	36733.87536	139591.2754	24953.78649	41571.20327	11902.27552	3221.097332	6478.307752	2601.106224	16529.01699	18897.63306	7823.607824	9893.889663	6911.970597	85232.72062	92127.6802	11005.59922	33015.8032	9674.428164	10668.63292	7791.560354	6229.304844	25164.84794	37129.18276	13210.45206	18401.19255	10507.00418	21241.1329	26054.48319	19663.34147	116796.8632	34913.24698	51522.69953	4529.915702	1920.608651	157183.101	44310.72567	3627.784282	28519.11457	29738.95464	48712.07707	39290.93908	47472.25389	56728.54157	2856.785465	43562.55926	12864.70947	24220.57556	16786.71104	81915.26978	8914.349298	137563.1684	34149.76609	4762.717854	10733.93079	1986.358249	21019.74612	10414.76701	20343.55798	33491.09364	28434.43581	4560.240583	39562.76858	43194.458	5375.86551	36865.07656	27820.34937	29717.04543	25219.22292	2216.974649	19686.76483	9441.880723	3761.0048	27523.29113	39783.81425
ENSG00000001626.16	31.84783387	2.830652652	4.478159082	2.141818215	1.032166614	4.415857644	91.29030434	80.02478228	20.09505372	17.1572988	4.051648762	1.663562562	55.79780146	12.00911307	62.40961808	41.8266619	12.5888244	122.0887432	32.90109382	0.777614662	5492.217905	1.945429439	28.05051664	9.696529861	71.79422585	25.08148057	7.732061277	14.53509075	5.465904755	303.6289343	7.295948842	0	0	5.302288135	15.6985951	3.302720402	5.024259151	9.360577044	36.71994473	0.890875012	10.58312717	16.74450914	120.952155	4.206922157	3.993956114	0	30.4858516	0	21.58537405	1.26535901	5.501903071	280.2576665	23.7586775	0	54.76444384	6.263225823	7.644303614	67.82590021	10.90599311	28.14036253	0.783656741	22.16522137	331.3168019	7.256350329	10.41754861	1.666451314	9.388082152	10.2742668	5.831043643	49.00785579	1.875933236	36.87273295	13.95844972	1.631570871	164.2322567	5.57808487	0.864843229	3.040669462	32.02747901	6.712113934	5.676169912	39.06963521	31.20637542	14.38997715	6.25048281	3.342436229	0
ENSG00000002933.9	15265.30373	16514.02757	24482.84206	23841.64946	14208.80561	2549.053825	33319.27052	12031.96138	2654.911214	774.3660856	2948.789969	3445.238065	22793.4019	3808.890362	7184.51061	66277.59897	7522.306763	34071.021	2425.85382	5138.477689	1801.355489	8517.73856	28510.54512	21084.73124	11438.67553	7544.671171	19182.13945	10647.38148	4544.899804	5805.462091	2303.695847	5096.137207	73126.449	11461.77952	1457.726687	33835.26961	846.587667	1775.956754	5394.77188	12296.74778	2933.878033	18068.20665	21871.85622	23472.52217	2259.247842	62355.10357	20393.12936	30683.84572	19329.70246	59468.0774	12617.69771	6803.02884	2786.553461	8468.818942	4923.931995	15532.80004	571.1386843	16551.35278	60602.42249	8740.06554	5092.201501	6739.458698	6119.724196	10339.39218	6338.036573	15769.62878	1135.95794	11091.07101	4180.858292	19769.2909	6992.541139	20125.13764	4944.512382	10328.6594	12152.40494	6633.458528	1972.707405	5264.159006	20433.53161	5639.014719	45903.18608	442.4863337	4214.134411	20547.85952	1367.962809	1408.836871	5819.754589
ENSG00000003096.14	12.73913355	16.98391591	75.38234455	18.20545483	23.73983212	25.39118145	33.81122383	432.1338243	24.82330165	8.006739438	199.3411191	176.3376315	34.5946369	80.0607538	27.50254356	26.02547852	81.34317303	39.47230043	38.51835374	31.10458649	37.04915545	20.10277087	50.49092996	14.17185133	50.01395508	29.93596068	43.07862712	57.28535766	53.74806342	174.8748925	40.12771863	8.987896309	21.70816215	20.32543785	84.09961658	58.34806043	55.26685067	22.12500029	173.399739	86.41487612	15.28673925	27.31998859	43.89392721	44.17268265	29.95467085	26.6630726	13.33756008	45.45053524	89.03966797	21.51110317	29.34348304	311.8996611	32.24391946	12.29308635	205.6709113	5.010580659	137.5974651	60.49337046	23.99318483	63.72964456	54.0723151	66.49566411	54.14872939	98.86777324	193.7664041	23.33031839	3.352886483	37.67231161	20.99175711	13.14844912	17.82136575	73.7454659	32.21180705	36.71034459	151.7193229	44.62467896	133.1858572	51.69138086	69.17935466	23.49239877	58.1807416	19.08051952	98.71404469	27.7520988	33.9311924	339.2572772	11.71605406
ENSG00000003989.18	2504.513656	8013.577657	3548.194713	5643.690996	5425.067722	542.0465258	23728.71688	744.7012092	2586.351619	18669.42873	1008.050212	633.817336	11565.76829	1635.240896	2415.992673	3005.013287	3232.422757	8959.294238	4331.709864	840.60145	5070.624068	4143.116228	1366.060161	520.6290648	9503.458143	9371.573852	2456.586326	622.4438863	2791.255361	3338.957426	644.7794789	1550.412113	3132.654784	2310.030197	60.55172394	3154.097984	1570.918361	1468.759634	730.3189007	102.4506263	179.9131619	2104.520412	5395.051364	1961.477456	2495.556912	2215.841665	1672.911107	1659.891422	4685.375255	3382.304634	751.926753	1008.776923	3041.959244	321.8553517	3155.648953	533.6268401	487.0513446	3100.743519	11836.27432	1409.5011	546.992405	37345.93521	1530.848824	1061.241236	1295.943047	209.9728655	572.6730113	2004.338215	3134.769062	3504.659346	1854.360004	4340.330365	1497.849028	9276.296184	1998.941181	3110.340124	1100.080587	1743.823937	4442.851888	2717.567129	468.2840178	946.7572068	336.9014816	10741.09009	30784.52077	496.35178	495.1985518
ENSG00000004468.13	149.0478625	1842.754876	226.8933935	9293.349234	41.28666455	5877.506525	312.7538204	561.114944	418.4499421	1679.127642	303.0633274	331.0489498	815.7638573	324.2460529	877.9658136	241.6651577	143.3189239	1393.464001	368.3317576	624.4245739	1977.658367	1052.477326	154.2778415	314.0183901	1740.808308	743.5445369	114.876339	337.7271086	836.2834275	94.16340366	11943.46825	8100.341548	703.010482	2888.863319	1752.63601	179.4478085	82.06289947	810.1153951	571.1991402	221.8278779	201.0794163	764.9596806	344.3234734	509.037581	8377.322948	993.5502841	440.1394825	241.4559685	141.6540172	780.7265092	1579.046181	1979.884805	714.4573734	1475.170362	161.8593562	2487.753297	40.40560482	674.5927372	1837.659838	667.9197813	62.69253925	1827.399362	3531.598486	3785.093741	132.3028673	149.9806182	1367.307108	125.8597683	248.4024592	308.3908974	2331.785013	962.788027	714.0283896	1098.862981	252.604852	367.0379845	95.9975984	287.3432642	211.3813615	6826.219871	8751.234962	1448.302291	111.4513408	305.2730867	1428.681785	138.7111035	894.3254603
ENSG00000004776.13	53.5043609	59.44370568	29.10803404	158.4945479	147.5998258	46.36650527	171.5919609	1180.600906	341.6159132	52.61571631	322.5112414	1635.281998	261.1337108	850.6455091	303.5857693	253.7484155	472.5651005	310.2706406	60.18492772	108.0884381	592.7864871	62.90221853	784.0119402	102.9323939	459.8057161	139.9708432	420.8450495	336.8721033	1035.788951	1121.313184	19.15186571	29.210663	40.07660705	67.16231637	72.88633437	159.6314861	216.0431435	17.01923099	31.6199524	370.6040048	611.4695699	188.5960503	546.2355386	229.2772576	98.51758414	11.22655688	895.5218908	187.4834579	99.832355	36.69541129	272.344202	495.7245821	72.1245567	119.5782036	362.662317	549.9112273	3225.896125	329.0472726	183.2206842	76.9721681	98.74074932	491.3290737	150.5151122	124.2649994	219.8102756	149.9806182	43.58752428	29.96661151	75.80356736	137.4610589	370.4968142	191.7382113	228.7038301	5.710498047	270.5921944	342.494411	134.0507005	218.1680339	248.5332371	234.0849734	121.3281319	143.5581945	649.6021005	52.42063106	49.11093637	120.3277042	2.343210813
ENSG00000004799.8	262.4261511	234.9441701	347.8036887	2486.650947	468.6036427	349.9567183	1420.916681	1678.637492	284.876938	1030.581748	1176.5988	5003.996185	449.7302797	426.323514	373.3999183	1383.068287	2094.586706	804.1333763	833.7618654	235.6172427	8520.028195	581.0349258	3302.948335	137.2431919	255.7165123	177.188524	603.1007796	262.4866389	494.6643803	167.1880841	124.9431239	155.0412113	359.0196048	124.6037712	137.9233712	457.9772291	419.5256391	106.3701937	183.5997236	339.4233794	92.89633851	386.0050001	2203.475146	834.0223176	265.5980816	291.890479	135.2809665	2157.006652	337.2714696	216.3763907	1256.267868	931.9320792	100.9743794	112.8728838	3015.695374	63.8849034	915.132347	4567.24947	356.6259746	540.4604922	225.6931413	3114.213602	1593.257529	258.5074805	596.9255352	86.6554683	182.3970247	175.5187245	160.9368045	216.3517536	146.3227924	3159.583517	1094.127713	210.4726423	548.222914	1722.512608	8140.769313	300.2661094	1560.378777	1514.420706	104.2996221	307.1055047	504.3969251	343.3037407	125.0096562	1097.990301	602.2051789
ENSG00000004838.14	113.3782886	114.169657	17.91263633	32.12727322	147.5998258	11.03964411	159.7580326	51.78074147	56.7389752	27.45167807	41.32681737	21.6263133	51.33397734	66.05012188	282.4299665	38.1087364	30.01950433	55.07762851	25.67890249	27.21651318	94.53922424	46.04183005	64.51618828	52.21208386	103.2546169	38.83584088	103.8305372	571.143566	4.554920629	5.765106347	51.07164189	13.48184446	55.1053347	42.41830508	45.97445706	113.3934005	20.93441313	202.5288488	30.59995394	125.6133766	34.10118755	15.86321918	630.1217106	116.7420899	37.27692373	23.85643338	5348.36159	67.22891671	43.17074811	31.63397525	70.60775608	45.95623026	47.517355	45.81968549	23.12276518	77.66400021	90.6396	47.66144339	69.79835588	67.86793317	29.77895614	50.48744868	22.94437686	400.9133557	54.17125276	141.6483616	56.32849291	32.53517821	27.98900949	121.9219827	35.64273149	163.059419	136.3633165	23.65777762	65.69290268	78.09318818	35.45857238	42.56937247	60.21166054	32.72155543	58.1807416	14.53753868	133.7416089	32.89137635	14.28681785	60.16385212	73.42060547
ENSG00000004948.16	2.54782671	2.830652652	23.88351511	12.85090929	6.192999683	8.831715289	9.298086553	27.30257278	4.728247933	3.431459759	21.87890331	13.30850049	20.08720852	22.01670729	13.75127178	6.506369629	10.65208218	14.6873676	10.43205414	5.443302637	10.22045667	5.187811837	2.805051664	2.237660737	7.260090254	1.618160037	5.522900912	13.68008541	67.41282531	4.804255289	5.471961631	4.493948154	1.669858627	16.79057909	3.363984663	5.504534003	3.349506101	7.658653945	30.59995394	0	3.527709057	13.21934932	4.877103023	24.1898024	15.3101651	0	11.43219435	3.787544603	2.698171757	15.18430812	16.50570921	448.2615902	11.87933875	3.352659914	7.301925845	1.252645165	6.552260241	8.249095971	6.543595864	9.104234937	2.350970222	1.231401187	3.671100298	3.628175165	46.87896873	0	3.352886483	6.849511202	2.332417457	9.562508448	0.937966618	13.92969911	6.44236141	2.447356306	11.73087548	1.115616974	0	0	11.52989244	10.0681709	10.64281859	11.81175018	0.636864804	3.083566533	11.6080395	13.36974492	12.49712434
