	TCGA.3H.AB3K.01A	TCGA.3H.AB3L.01A	TCGA.3H.AB3M.01A	TCGA.3H.AB3O.01A	TCGA.3H.AB3S.01A	TCGA.3H.AB3T.01A	TCGA.3H.AB3U.01A	TCGA.3H.AB3X.01A	TCGA.3U.A98D.01A	TCGA.3U.A98E.01A	TCGA.3U.A98F.01A	TCGA.3U.A98G.01A	TCGA.3U.A98H.01A	TCGA.3U.A98I.01A	TCGA.3U.A98J.01A	TCGA.LK.A4NW.01A	TCGA.LK.A4NY.01A	TCGA.LK.A4NZ.01A	TCGA.LK.A4O0.01A	TCGA.LK.A4O2.01A	TCGA.LK.A4O4.01A	TCGA.LK.A4O5.01A	TCGA.LK.A4O6.01A	TCGA.LK.A4O7.01A	TCGA.MQ.A4KX.01A	TCGA.MQ.A4LC.01A	TCGA.MQ.A4LI.01A	TCGA.MQ.A4LJ.01A	TCGA.MQ.A4LM.01A	TCGA.MQ.A4LP.01A	TCGA.MQ.A4LV.01A	TCGA.MQ.A6BL.01A	TCGA.MQ.A6BN.01A	TCGA.MQ.A6BQ.01A	TCGA.MQ.A6BR.01A	TCGA.MQ.A6BS.01A	TCGA.NQ.A57I.01A	TCGA.NQ.A638.01A	TCGA.SC.A6LM.01A	TCGA.SC.A6LN.01A	TCGA.SC.A6LP.01A	TCGA.SC.A6LQ.01A	TCGA.SC.A6LR.01A	TCGA.SC.AA5Z.01A	TCGA.SH.A7BC.01A	TCGA.SH.A7BD.01A	TCGA.SH.A7BH.01A	TCGA.SH.A9CT.01A	TCGA.SH.A9CU.01A	TCGA.TS.A7OU.01B	TCGA.TS.A7OY.01A	TCGA.TS.A7OZ.01A	TCGA.TS.A7P0.01A	TCGA.TS.A7P1.01A	TCGA.TS.A7P3.01A	TCGA.TS.A7P6.01A	TCGA.TS.A7P7.01A	TCGA.TS.A7P8.01A	TCGA.TS.A7PB.01A	TCGA.TS.A8AF.01A	TCGA.TS.A8AI.01A	TCGA.TS.A8AS.01A	TCGA.TS.A8AV.01A	TCGA.TS.A8AY.01A	TCGA.UD.AABY.01A	TCGA.UD.AABZ.01A	TCGA.UD.AAC1.01A	TCGA.UD.AAC4.01A	TCGA.UD.AAC5.01A	TCGA.UD.AAC6.01A	TCGA.UD.AAC7.01A	TCGA.UT.A88C.01B	TCGA.UT.A88D.01B	TCGA.UT.A88E.01B	TCGA.UT.A88G.01B	TCGA.UT.A97Y.01A	TCGA.XT.AASU.01A	TCGA.YS.A95B.01A	TCGA.YS.A95C.01A	TCGA.YS.AA4M.01A	TCGA.ZN.A9VO.01A	TCGA.ZN.A9VP.01A	TCGA.ZN.A9VQ.01A	TCGA.ZN.A9VS.01A	TCGA.ZN.A9VU.01A	TCGA.ZN.A9VV.01A	TCGA.ZN.A9VW.01A
hsa-let-7a-1	37375.606	27107.961	58918.923	26941.329	43669.517	33129.048	63604.142	71728.399	68122.322	46175.628	34363.368	61039.113	43019.546	46870.366	53153.34	105879.664	208517.212	65716.507	64988.935	48022.737	91722.321	56493.172	101983.781	88115.091	80501.259	62325.214	84033.848	70081.467	41023.136	46389.435	64562.816	70022.401	85444.422	58857.311	134610.054	88098.283	42878.259	58219.425	49682.28	63494.664	89477.783	99506.076	75911.49	50711.235	35598.329	63270.639	337539.861	37964.713	67063.791	47787.241	55541.465	30962.526	74069.167	44050.108	45690.159	117874.41	50394.976	37957.903	72600.275	59365.909	43962.888	47288.814	30620.696	74083.521	71592.849	40126.835	94772.659	41118.274	46874.542	43647.388	47337.315	46246.152	56249.399	39410.68	54420.678	43685.994	31822.618	49681.347	61220.447	33959.291	33810.168	37902.956	71742.242	75086.727	34490.988	50541.744	62819.087
hsa-let-7a-2	37163.356	27088.089	59138.018	26786.42	43474.431	33120.022	63371.025	71415.679	68138.191	45976.945	34435.977	61185.217	42851.115	46924.2	53003.812	106689.989	208202.736	65684.773	64673.892	47993.045	91361.698	56484.122	101598.683	88350.124	80299.372	62159.6	83298.728	69447.656	40672.546	46672.651	64051.994	69425.658	85054.512	58265.193	134827.409	87798.958	43367.29	58318.108	49794.049	63813.23	89251.182	98832.592	75999.539	50307.538	35394.337	62873.061	335852.356	37784.878	66613.339	48397.554	55106.474	30998.745	74141.606	44275.03	45607.483	117468.288	50382.425	38133.145	72749.705	59501.126	43709.193	47248.293	30534.087	74038.301	72146.328	39657.862	94500.905	41375.632	47061.31	43181.16	47382.824	46363.971	55965.326	39645.683	54802.179	43886.237	31754.383	50099.771	60935.043	33815.281	34020.792	37875.971	72474.162	74992.621	34347.766	50297.049	61944.755
hsa-let-7a-3	37197.59	27134.93	59154.45	26966.881	43707.124	33095.522	63554.101	71339.539	68291.323	45738.29	34631.06	62389.563	42713.66	47259.443	52690.59	106541.996	208375.937	66118.47	64382.128	48326.646	91860.929	56598.473	101950.162	88011.164	80579.946	62251.841	83515.956	70023.745	40953.672	47127.419	65398.124	69995.009	84864.973	58551.517	134940.658	88107.022	43211.731	59081.138	50269.512	64058.98	89582.793	99515.597	75976.687	50908.139	35594.18	63434.129	337201.709	38088.251	67395.227	47820.855	55135.612	31381.472	74789.381	44060.122	45588.257	117469.885	50454.306	38701.755	72827.838	59973.571	43968.632	47358.946	30844.288	74364.131	72168.045	39943.272	94212.04	41434.698	47268.356	43443.18	46938.718	46053.922	55759.593	39762.021	55097.145	44311.892	32142.972	50140.633	61594.251	34069.482	34196.156	38172.804	72118.484	75310.741	34168.74	51302.481	63011.576
hsa-let-7b	36381.97	32717.484	63048.857	27482.711	49028.509	31794.448	51585.836	53143.327	65854.699	44949.435	48680.49	65411.08	45720.247	47675.438	30733.554	69845.666	98056.87	76988.109	48440.626	30385.581	83965.637	39445.102	99009.967	83414.425	60035.569	61988.746	44835.124	58831.309	31381.498	37729.508	46147.507	82792.699	49531.709	39025.946	99731.316	67313.069	35957.302	90778.635	43996.246	79184.018	73659.951	56435.505	61193.099	54093.663	29556.709	44940.249	305236.673	27420.914	26306.217	78076.023	43971.54	40079.868	66131.493	38628.094	52893.196	70393.255	37265.972	32341.302	43134.34	57416.668	48426.956	72298.078	38703.612	61464.743	97483.92	36343.072	88177.091	31039.107	46159.486	26077.097	43695.017	39941.832	54775.587	41558.28	23688.432	57053.093	26199.65	52376.588	28721	35040.464	58521.774	37678.981	38969.865	27844.261	25326.312	76937.368	37650.514
hsa-let-7c	2298.8	2166.025	17113.48	6673.049	3685.482	1157.944	10545.157	13043.134	9756.017	2987.302	87383.786	7099.247	10901.537	8173.072	16293.852	28022.938	23308.79	13921.64	3378.568	3783.133	10063.228	13077.07	23902.067	30242.546	19083.955	8543.774	23404.435	25789.346	3548.397	10991.781	3350.867	8399.401	3701.05	5279.812	18794.495	26931.928	3390.617	21257.368	26657.833	21842.219	1153.268	10909.671	32043.318	8180.943	10194.067	18377.765	5956.662	8044.094	21617.905	24045.936	11875.875	16391.322	15341.804	1904.137	9121.24	22599.657	7231.392	11383.304	15351.684	5930.808	4465.026	23319.07	4543.437	22128.546	13351.266	3960.22	4838.226	2891.414	5019.261	3115.339	7466.632	21753.006	6286.947	52468.463	22485.307	4175.577	3703.155	14528.803	17506.891	8789.027	28804.382	4615.763	3090.331	1569.123	1942.44	26375.031	2534.886
hsa-let-7d	3126.402	2063.827	2829.607	1207.329	2829.14	1347.496	1676.973	2781.846	3092.791	3470.49	3295.405	2083	865.386	2806.741	2523.092	4911.687	3922.977	3475.625	2652.261	3840.771	3729.233	3942.207	3296.257	3846.871	3575.066	3448.536	3301.566	3634.231	2039.797	5407.308	2505.921	2680.452	3785.375	2621.581	3270.871	2718.683	2318.474	2585.141	2998.252	4133.388	2756.054	2388.613	2464.043	1482.622	2919.506	3999.932	2825.513	2793.696	1889.185	2509.534	3958.625	1872.553	2812.594	2534.227	2932.743	2557.558	1951.038	1567.561	3035.958	2216.416	2670.974	1664.479	1273.506	3077.418	2134.281	1829.707	3561.989	1779.007	2483.483	1932.051	2149.913	1816.884	2020.726	1328.581	1481.341	2344.932	921.741	4274.139	2865.407	1479.384	1701.689	2273.476	3649.321	4329.92	2567.541	2448.167	4920.661
hsa-let-7e	7158.287	5826.693	11808.104	3559.705	7127.303	6400.926	9114.726	9781.331	14548.334	5748.882	9993.817	15008.154	7347.067	7774.207	9184.179	27372.737	47561.01	11610.098	13234.923	12648.869	9428.988	12910.892	19158.635	18434.922	12399.647	16997.404	21758.687	9599.984	10631.3	23881.236	25598.951	12050.294	20238.954	8101.248	24029.295	11061.171	9933.389	12051.657	8867.02	16605.229	27313.669	23909.616	11245.474	6224.493	6369.39	10180.97	17395.275	11082.522	15853.181	6062.168	9630.157	6430.683	19993.242	10492.009	12579.518	20995.927	7708.313	7635.946	13644.476	9248.508	8361.392	5920.745	4032.62	6984.897	7800.688	8781.409	12818.732	7366.356	5394.932	10740.042	11942.217	5843.382	7201.399	11025.358	17151.735	7774.496	5027.363	13705.03	11699.043	4131.585	6587.782	15490.668	12527.714	14806.424	3667.064	9067.06	9818.278
hsa-let-7f-1	17029.603	14536.215	31505.805	22643.013	19262.599	18075.782	26381.201	41153.922	36158.99	18779.68	18151.41	36070.504	26867.615	24604.862	30448.664	63107.109	133495.362	33435.509	41450.699	38426.923	50214.732	31630.615	56095.97	43540.312	55734.788	29914.216	57077.532	41866.66	35293.561	30490.653	51589.854	40860.259	47404.224	41471.152	81872.361	37567.781	18662.363	21159.566	29879.623	31351.401	57421.159	69759.814	47387.466	29276.608	20733.883	28059.904	69955.016	20869.45	22841.958	23067.964	36849.346	15312.874	32865.146	28118.369	22717.862	83722.895	14491.308	28131.809	52139.665	24589.921	23146.524	17687.427	18670.423	39573.445	20487.912	28704.49	49710.832	19439.698	20439.909	24737.157	27244.261	22107.839	21825.306	20577.875	13246.465	22811.389	17251.708	23077.08	47042.429	18041.726	15497.989	20399.216	36830.189	52174.872	18706.799	17893.059	39027.757
hsa-let-7f-2	17189.646	14655.445	32169.662	22811.496	20027.274	18328.518	26896.254	42179.099	37192.036	18644.481	18367.488	37038.445	27223.836	24577.945	31400.922	63538.959	136806.945	34161.864	43128.344	39106.35	50784.167	31920.193	57044.962	45033.653	55867.881	30213.997	57828.477	42559.325	35955.515	30982.226	52052.486	41830.7	48376.678	41982.526	82475.889	37961.054	18731.293	21231.816	30198.963	32084.101	58610.352	71591.74	47999.78	30084.003	21119.739	28800.254	71001.984	21465.251	23647.197	23076.367	36992.955	15699.926	34072.931	29788.34	22912.694	85142.992	14712.654	28623.52	52690.503	25382.488	23165.671	17957.827	18692.517	40550.315	20999.929	30109.042	50658.951	19546.579	20839.059	25194.061	28301.955	22889.851	22450.559	20958.301	13750.791	23475.586	18039.293	23681.834	48069.126	18363.568	15452.524	20644.779	37569.121	53245.845	18848.529	18466.034	40714.067
hsa-let-7g	3164.059	4031.135	2511.92	4081.923	1860.761	2937.411	3303.905	4164.612	2989.645	2506.465	1801.232	2943.392	2795.564	2143.596	4586.581	4061.331	9894.044	2943.199	5189.679	2094.172	3194.599	2564.244	2463.406	3356.019	4816.964	2516.698	3620.933	2728.786	3352.263	1293.811	2534.836	5675.906	2932.834	4693.994	4040.405	2613.082	1753.992	3682.989	2409.246	3554.281	3440.461	6560.275	4747.955	2777.331	2018.483	1847.623	5585.997	3374.641	2729.073	2368.773	3783.796	2535.838	5509.565	2011.206	2403.362	5704.339	2575.142	3579.511	2544.697	1962.274	2262.19	2697.765	3130.296	5230.62	2663.409	2047.614	3452.281	1926.672	2341.539	2380.563	2448.076	3106.686	3878.183	2049.877	3154.363	2623.961	1674.631	2796.578	4440.181	3495.537	2405.004	3190.961	1559.655	2608.386	1991.672	2404.558	2396.62
