	TCGA.2J.AAB1.01A	TCGA.2J.AAB4.01A	TCGA.2J.AAB6.01A	TCGA.2J.AAB8.01A	TCGA.2J.AAB9.01A	TCGA.2J.AABA.01A	TCGA.2J.AABE.01A	TCGA.2J.AABF.01A	TCGA.2J.AABH.01A	TCGA.2J.AABI.01A	TCGA.2J.AABK.01A	TCGA.2J.AABO.01A	TCGA.2J.AABP.01A	TCGA.2J.AABR.01A	TCGA.2J.AABT.01A	TCGA.2J.AABU.01A	TCGA.2J.AABV.01A	TCGA.2L.AAQA.01A	TCGA.2L.AAQE.01A	TCGA.2L.AAQI.01A	TCGA.2L.AAQJ.01A	TCGA.2L.AAQL.01A	TCGA.2L.AAQM.01A	TCGA.3A.A9I5.01A	TCGA.3A.A9I7.01A	TCGA.3A.A9I9.01A	TCGA.3A.A9IB.01A	TCGA.3A.A9IC.01A	TCGA.3A.A9IH.01A	TCGA.3A.A9IJ.01A	TCGA.3A.A9IL.01A	TCGA.3A.A9IN.01A	TCGA.3A.A9IO.01A	TCGA.3A.A9IR.01A	TCGA.3A.A9IS.01A	TCGA.3A.A9IU.01A	TCGA.3A.A9IV.01A	TCGA.3A.A9IX.01A	TCGA.3A.A9IZ.01A	TCGA.3A.A9J0.01A	TCGA.3E.AAAY.01A	TCGA.3E.AAAZ.01A	TCGA.F2.6879.01A	TCGA.F2.6880.01A	TCGA.F2.7273.01A	TCGA.F2.7276.01A	TCGA.F2.A44G.01A	TCGA.F2.A44H.01A	TCGA.F2.A7TX.01A	TCGA.F2.A8YN.01A	TCGA.FB.A4P5.01A	TCGA.FB.A4P6.01A	TCGA.FB.A545.01A	TCGA.FB.A5VM.01A	TCGA.FB.A78T.01A	TCGA.FB.A7DR.01A	TCGA.FB.AAPP.01A	TCGA.FB.AAPQ.01A	TCGA.FB.AAPS.01A	TCGA.FB.AAPU.01A	TCGA.FB.AAPY.01A	TCGA.FB.AAPZ.01A	TCGA.FB.AAQ0.01A	TCGA.FB.AAQ1.01A	TCGA.FB.AAQ2.01A	TCGA.FB.AAQ3.01A	TCGA.FB.AAQ6.01A	TCGA.H6.8124.01A	TCGA.H6.8124.11A	TCGA.H6.A45N.01A	TCGA.H6.A45N.11A	TCGA.H8.A6C1.01A	TCGA.HV.A5A3.01A	TCGA.HV.A5A3.11A	TCGA.HV.A5A4.01A	TCGA.HV.A5A5.01A	TCGA.HV.A5A6.01A	TCGA.HV.A7OL.01A	TCGA.HV.A7OP.01A	TCGA.HV.AA8V.01A	TCGA.HV.AA8X.01A	TCGA.HZ.7289.01A	TCGA.HZ.7918.01A	TCGA.HZ.7919.01A	TCGA.HZ.7920.01A	TCGA.HZ.7922.01A	TCGA.HZ.7923.01A	TCGA.HZ.7924.01A	TCGA.HZ.7925.01A	TCGA.HZ.7926.01A	TCGA.HZ.8001.01A	TCGA.HZ.8002.01A	TCGA.HZ.8003.01A	TCGA.HZ.8005.01A	TCGA.HZ.8315.01A	TCGA.HZ.8317.01A	TCGA.HZ.8519.01A	TCGA.HZ.8636.01A	TCGA.HZ.8637.01A	TCGA.HZ.8638.01A	TCGA.HZ.A49G.01A	TCGA.HZ.A49H.01A	TCGA.HZ.A49I.01A	TCGA.HZ.A4BH.01A	TCGA.HZ.A4BK.01A	TCGA.HZ.A77O.01A	TCGA.HZ.A77P.01A	TCGA.HZ.A77Q.01A	TCGA.HZ.A8P0.01A	TCGA.HZ.A8P1.01A	TCGA.HZ.A9TJ.01A	TCGA.HZ.A9TJ.06A	TCGA.IB.7644.01A	TCGA.IB.7645.01A	TCGA.IB.7646.01A	TCGA.IB.7647.01A	TCGA.IB.7649.01A	TCGA.IB.7651.01A	TCGA.IB.7652.01A	TCGA.IB.7654.01A	TCGA.IB.7885.01A	TCGA.IB.7886.01A	TCGA.IB.7887.01A	TCGA.IB.7888.01A	TCGA.IB.7889.01A	TCGA.IB.7890.01A	TCGA.IB.7891.01A	TCGA.IB.7893.01A	TCGA.IB.7897.01A	TCGA.IB.8126.01A	TCGA.IB.8127.01A	TCGA.IB.A5SO.01A	TCGA.IB.A5SP.01A	TCGA.IB.A5SQ.01A	TCGA.IB.A5SS.01A	TCGA.IB.A5ST.01A	TCGA.IB.A6UF.01A	TCGA.IB.A6UG.01A	TCGA.IB.A7LX.01A	TCGA.IB.A7M4.01A	TCGA.IB.AAUM.01A	TCGA.IB.AAUN.01A	TCGA.IB.AAUO.01A	TCGA.IB.AAUP.01A	TCGA.IB.AAUQ.01A	TCGA.IB.AAUR.01A	TCGA.IB.AAUS.01A	TCGA.IB.AAUT.01A	TCGA.IB.AAUU.01A	TCGA.IB.AAUV.01A	TCGA.IB.AAUW.01A	TCGA.L1.A7W4.01A	TCGA.LB.A7SX.01A	TCGA.LB.A8F3.01A	TCGA.LB.A9Q5.01A	TCGA.M8.A5N4.01A	TCGA.OE.A75W.01A	TCGA.PZ.A5RE.01A	TCGA.Q3.A5QY.01A	TCGA.Q3.AA2A.01A	TCGA.RB.A7B8.01A	TCGA.RB.AA9M.01A	TCGA.RL.AAAS.01A	TCGA.S4.A8RM.01A	TCGA.S4.A8RO.01A	TCGA.S4.A8RP.01A	TCGA.US.A774.01A	TCGA.US.A776.01A	TCGA.US.A779.01A	TCGA.US.A77E.01A	TCGA.US.A77G.01A	TCGA.US.A77J.01A	TCGA.XD.AAUG.01A	TCGA.XD.AAUH.01A	TCGA.XD.AAUI.01A	TCGA.XD.AAUL.01A	TCGA.XN.A8T3.01A	TCGA.XN.A8T5.01A	TCGA.YB.A89D.01A	TCGA.YB.A89D.11A	TCGA.YH.A8SY.01A	TCGA.YY.A8LH.01A	TCGA.Z5.AAPL.01A
hsa-let-7a-1	49536.409	42991.793	35019.581	34716.938	31652.765	32941.226	39568.877	31824.112	31402.594	46767.413	30976.559	37954.309	32961.426	26881.78	33474.009	59200.039	39593.874	46666.279	54665.023	35936.534	48408.851	39288.854	29552.594	54925.858	42112.917	45753.954	28891.121	48967.331	40717.7	19763.461	33417.015	28163.358	29429.227	46667.819	26694.413	73910.367	26863.361	27694.578	38853.589	42362.684	43030.102	60749.696	70652.637	74601.093	50895.408	95965.63	19480.595	18011.801	45025.084	65567.929	31596.303	35670.205	27979.103	69601.811	125696.551	63108.949	46712.521	25577.967	51562.911	34368.309	32439.126	41425.186	40738.17	18660.062	28398.663	31592.102	37453.516	76672.998	28230.111	28758.388	13608.521	77281.495	40303.726	25816.159	32378.631	29669.213	28100.544	43214.596	167692.611	32292.465	51543.393	25411.508	43628.457	65065.967	63294.554	52693.971	73036.226	45734.257	46546.854	63106.678	47215.499	60773.755	40642.093	48305.195	49894.261	32168.378	56434.896	41915.646	31933.047	34265.179	26486.811	21272.048	40929.653	27480.664	25202.501	139622.495	107316.566	45073.561	55430.725	47588.237	43884.849	46756.372	57517.342	39366.348	55757.671	38471.229	46623.381	64271.174	56471.317	66863.711	43771.256	59226.974	90841.647	50245.004	50477.325	78039.248	48867.704	86427.056	66589.923	32353.393	59657.804	84335.973	51324.835	44074.147	108983.002	83805.983	136046.878	93058.587	119299.875	58347.892	59474.195	47985.516	60882.016	46675.316	58613.264	54028.779	39916.464	40082.727	37160.075	46611.289	79408.309	45981.809	99313.317	50817.104	35090.918	20270.02	67866.723	43591.656	54250.853	38137.266	73855.437	64801.106	74204.339	78259.98	57336.119	50207.44	62350.547	59278.753	94154.304	50153.584	82457.828	80031.026	39499.115	42796.163	41432.023	45886.729	40870.465	45995.028	109986.046	78002.892	75288.471	66304.747	27210.69
hsa-let-7a-2	49431.031	43398.26	34771.461	34730.7	31681.478	32272.601	39672.727	31359.678	30867.774	46821.387	30677.164	37925.051	32789.526	26828.5	33230.677	59219.11	40011.518	46204.572	54345.222	36058.659	48375.564	38931.043	29495.455	54367.563	42078.061	45110.652	28804.868	48837.057	40606.73	19675.688	33358.642	28273.217	29158.098	46241.733	26730.346	73309.899	27184.256	27394.861	39460.459	42843.241	42682.532	60969.715	71097.666	73609.807	50522.196	95202.851	19291.947	17972.147	44969.065	64959.105	31445.812	35589.732	28270.702	69720.785	125664.21	63811.89	46689.535	25850.33	51742.166	34352.98	32445.602	41392.719	40685.49	18450.457	28096.961	31463.033	37683.046	76452.865	28068.394	28957.343	13762.626	77185.581	40130.087	25802.28	32396.236	29416.677	28088.247	43023.629	164850.046	32146.932	51698.85	25253.545	44009.276	65419.641	63646.191	52686.016	72972.112	45686.165	47180.198	62857.038	46819.136	60504.145	40511.338	47900.397	49744.502	31944.91	56462.529	41855.075	32000.707	34565.423	26163.684	21233.408	40748.32	27626.168	24914.899	140115.76	107563.907	44363.386	54924.932	47557.037	44405.425	46531.613	57704.711	38485.109	56103.732	38316.404	47123.746	64737.513	56661.423	66433.758	43692.663	59029.033	91056.061	50365.315	50432.014	77574.936	49100.606	85859.966	66505.411	32750.252	59572.633	83344.443	51748.551	44213.366	109149.821	84282.403	136469.636	92689.434	119637.518	58482.688	59457.946	48259.709	61570.314	46254.495	58252.792	53506.727	39856.864	39956.993	36858.341	46931.742	79154.488	46274.412	98603.953	51067.579	35295.177	20210.942	67130.973	43352.97	53952.451	37921.29	73466.568	64412.808	74083.583	77473.215	57479.069	49759.574	62085.086	60350.009	94188.934	50046.731	81121.587	80084.672	39847.518	42874.601	41225.083	45598.177	40483.56	45827.028	109420.41	77617.342	74961.58	66342.706	26985.025
hsa-let-7a-3	49518.01	43828.678	34815.05	34770.609	31839.405	33386.976	39801.41	31698.999	31712.227	46643.722	30932.413	38077.345	33243.733	27382.386	33306.834	59567.161	40065.305	46919.509	54882.031	36526.981	48802.447	39449.598	29610.309	54622.437	41824.106	45890.084	29228.552	49366.596	41092.777	20097.451	33378.611	28061.434	29438.91	46988.438	26891.425	73756.602	26985.301	28019.88	39252.114	42578.935	43038.672	61976.213	71546.768	75233.152	51359.667	96220.22	19305.53	18195.203	44834.62	65080.87	31891.422	35914.473	28388.583	69971.411	126425.236	63059.202	46584.184	25822.33	51834.062	34700.09	32675.05	41858.082	40871.625	18531.874	28369.622	31591.077	37564.093	76736.048	28494.099	29273.251	14168.902	77629.765	40670.552	25656.097	32346.528	29828.749	28425.169	43288.18	166453.682	33128.839	51950.691	25387.47	43876.46	66013.189	63419.821	52619.721	73072.492	45822.426	47009.077	63709.42	47583.694	60970.571	40995.363	48668.045	50169.92	32301.252	56528.262	42101.488	32386.565	34516.419	26389.714	21261.51	40998.54	27477.407	25039.342	140650.672	107978.882	45121.459	55275.526	47594.237	43760.294	47045.232	57089.909	39001.062	56290.444	38834.344	47162.405	64814.892	56511.48	66685.827	44087.519	59163.081	90768.055	50151.327	50287.019	78446.688	49372.657	86089.215	67350.533	32769.068	59625.358	84049.973	51616.14	44296.897	108327.971	84271.816	135910.014	93103.449	119843.086	59147.233	59554.353	48288.842	61300.264	47256.023	58492.346	54230.062	40066.883	40306.38	37307.387	47081.884	79425.873	46587.013	98920.191	50992.361	35196.022	20413.051	68166.683	43948.73	54755.765	38576.002	73359.338	64897.852	74281.73	78341.161	57770.655	50304.276	62408.716	59764.804	93830.406	50406.826	82086.875	79720.723	39947.062	43142.168	41469.415	45927.617	40806.372	46268.706	110011.812	78278.029	75712.096	67006.257	27549.187
hsa-let-7b	120740.712	89018.406	101506.826	84123.241	74535.534	77422.946	82506.087	66252.842	49859.925	96004.14	86028.339	74288.896	85154.66	49377.982	51912.484	173536.986	134886.212	64257.002	109631.763	75566.546	79386.754	71554.417	14304.185	85358.453	56513.645	83342.55	50472.498	103833.177	101568.982	8701.288	23756.281	36980.086	31216.463	74827.47	29871.995	102117.231	23059.478	70164.227	130169.405	144860.645	107463.842	76016.132	146013.209	277573.726	119052.88	128829.11	49454.573	42727.686	81651.554	102715.945	75926.7	74734.52	86740.595	73017.928	94670.36	73219.401	89404.474	98739.326	94293.565	61926.904	81583.54	69030.171	101208.002	43376.156	75667.383	87287.252	88372.204	197587.211	57450.976	62987.364	41646.871	92359.539	122829.252	52568.631	82022.552	51831.903	101752.676	79612.197	100101.223	104865.908	80013.05	50596.373	131617.626	126973.414	99753.464	185289.41	120264.293	75142.58	143477.013	128621.478	85953.454	112473.326	122339.193	108867.589	121995.03	95366.654	96028.879	101484.911	57717.863	75806.224	81407.945	62119.487	154304.478	75323.167	56065.782	192256.033	86574.405	58994.286	133167.725	53374.618	115438.455	109675.111	137767.127	103747.746	93938.662	69697.985	97623.02	121825.833	183782.577	138536.677	101669.267	168158.452	155421.193	118279.508	139218.175	201386.423	131375.54	189701.364	122187.547	104804.912	150056.775	112484.267	61982.843	67978.931	173217.317	84344.413	155615.39	123411.162	157502.548	56623.848	99090.8	103387.956	106802.601	65223.416	187925.883	66062.44	57775.921	70263.554	65969.115	86192.042	96010.984	32145.27	151073.261	82395.014	90139.734	59230.497	94070.747	73445.515	72631.226	84134.469	133161.222	82610.981	83695.374	72308.79	70655.688	50145.909	80784.751	68754.799	102018.49	64448.376	99977.552	71578.141	100090.442	90961.273	93314.241	81094.708	63468.068	56049.751	91840.312	65376.828	137877.093	77842.069	57154.429
hsa-let-7c	16610.546	13522.909	5472.054	6632.508	7856.122	16500.646	6490.587	8185.401	5190.37	4241.463	11421.964	16124.448	7204.416	6480.132	14255.385	5470.59	7005.021	8821.557	21778.825	10124.673	12040.312	13664.815	1461.354	7841.507	4739.244	7956.948	6502.185	8042.005	11994.333	3273.28	3280.41	8935.13	2642.122	2833.262	1102.148	5903.11	3179.423	9988.129	2371.923	7346.112	19146.815	14385.143	11018.789	9080.726	22881.566	27828.251	3213.061	4635.855	7867.836	9786.646	10578.356	11714.879	3105.227	19073.892	10922.181	14105.319	3263.958	10069.805	12347.008	15171.024	10320.531	2777.421	10707.299	3554.628	6163.907	11882.506	8291.543	9058.592	6581.167	14034.384	788.037	11651.216	4082.234	3042.093	13772.258	8022.18	4432.441	5108.804	3373.536	9431.567	11848.171	1206.474	12208.54	19757.767	25195.735	15259.799	27237.447	8144.933	13657.219	19172.91	17771.956	21134.751	9042.791	5339.978	12587.811	7016.103	27039.916	12977.971	7220.494	11415.504	7989.021	10226.789	11107.929	11250.481	6140.578	5915.27	26597.002	7550.333	8692.279	10784.363	11653.869	5477.792	21234.668	18643.68	7529.644	12169.914	14086.425	17242.152	17069.382	16695.587	9528.623	8181.982	11381.213	22486.221	20575.166	11741.92	12943.668	10767.831	32088.378	12877.381	11532.355	17081.411	10612.767	11902.36	5566.229	18607.587	20522.504	7859.881	10167.639	5174.827	13705.983	6489.809	6309.95	15772.473	16528.115	21453.854	10015.657	9679.362	14546.244	17697.35	27553.845	4450.09	12850.386	4727.435	5739.085	3012.985	11220.755	9225.682	8778.155	4973.099	10375.444	20139.005	26143.379	13540.401	8229.396	10746.777	9186.431	4320.019	22035.203	8342.012	11962.495	19971.993	22145.322	23010.085	16517.238	10228.982	7563.018	17213.7	23084.309	15749.634	6466.672	12995.821	4280.662
hsa-let-7d	1996.343	2356.005	2381.729	2149.596	1991.309	2371.01	2095.049	1598.03	3086.275	2405.22	1764.264	2019.588	2375.85	1833.706	2715.665	2301.901	1531.36	1961.438	1637.076	1404.966	1296.415	1299.093	3284.006	1881.211	1571.034	1915.45	1295.698	2375.087	1738.524	825.972	3144.462	1913.973	2208.454	3295.628	2141.724	2515.233	4051.614	2280.773	2913.618	2116.052	1416.942	2164.943	3353.5	2878.367	1797.158	1513.646	2289.438	2100.447	1715.575	3060.356	1661.266	1717.708	2789.845	1535.936	1979.879	2442.99	3183.508	1461.089	1462.399	2252.385	1557.1	3051.916	2209.03	1697.629	1855.384	1277.369	2273.515	1470.268	2098.482	2008.369	2320.331	1782.323	2966.807	1810.638	2780.548	1543.948	3066.721	2939.84	3807.966	2723.038	1986.743	2193.173	2441.238	2041.714	1578.231	2918.309	1523.194	2053.266	2860.866	1511.128	1349.043	1623.953	1876.459	3362.13	1885.199	1603.537	1644.987	2883.994	1774.358	1812.355	1985.715	1804.383	2349.228	2077.229	2357.506	2120.126	2783.207	2039.336	2070.069	1694.394	2593.297	1953.051	2328.049	1492.578	1883.216	1941.439	1661.255	2466.849	2437.463	1661.582	2432.578	2999.183	2439.415	1974.57	1542.584	1580.812	3212.195	2454.521	1685.676	1797.838	3426.565	2685.75	2738.707	1372.178	3164.961	2064.485	4174.859	2718.658	2005.622	3055.83	1486.178	2097.578	2008.909	1405.721	1907.31	1360.864	1631.198	1821.487	1888.634	1588.071	1444.179	3256.523	1837.895	2004.553	1453.611	2531.032	2682.658	2854.682	2498.869	1588.723	2241.489	1479.401	1293.626	1814.795	1669.109	2417.873	2211.47	4393.899	1908.753	2973.718	1941.694	1558.882	2475.953	848.153	1656.817	2045.563	2036.919	1485.808	1999.969	2154.801	2414.995	2039.562	2439.128
hsa-let-7e	3249.18	4191.267	7153.012	2777.135	3250.413	2491.141	4738.693	4344.822	2459.972	3748.949	2418.438	3331.721	5910.276	2867.109	5762.894	4489.374	1866.74	7187.572	4780.834	4854.193	5734.594	4120.619	7455.675	9211.868	5076.605	5476.5	3716.482	6098.752	4969.958	15994.598	18106.387	6708.061	15187.36	6493.383	11579.681	13164.849	4851.925	2545.157	3852.772	4341.03	4353.67	9632.235	8883.262	3564.992	5701.526	11109.166	2241.144	2237.999	6743.259	11098.459	3980.198	3819.976	3596.397	13285.118	9265.713	11675.307	1241.223	1962.543	6733.391	2608.255	2617.372	2716.422	3827.347	1739.204	2345.85	2393.915	2059.064	10663.114	4193.129	3847.357	774.027	12724.893	4027.038	2918.115	1871.304	3611.115	5154.649	5948.008	14518.539	3296.402	7615.072	1791.397	4506.358	8861.931	7394.539	11677.213	8751.887	5566.661	4443.243	7605.947	7020.858	7443.94	4051.134	6436.917	5041.144	3966.061	8243.775	6247.735	2908.397	4141.192	2091.567	2461.267	3220.438	3232.572	2298.05	26486.613	23948.56	8667.638	5905.39	4239.586	4979.003	6569.131	5426.65	3916.257	4360.369	4121.241	4474.563	6047.959	4695.53	8102.904	5145.438	6198.813	11272.188	5278.072	3515.117	5782.257	6295.664	11105.672	8688.77	2442.734	11233.385	12418.281	8599.012	9300.704	22157.785	13262.613	33482.005	18683.241	24306.047	8786.018	4616.684	4037.494	5354.895	5679.165	3934.396	6492.371	5644.982	4796.842	3201.23	7076.102	9627.67	16896.239	13615.555	9075.02	2474.906	2170.344	10367.285	7621.713	9395.708	5474.027	10587.32	9927.171	10292.296	5526.323	5908.889	8026.291	9869.649	2535.241	13614.892	7746.841	7749.595	11442.32	4014.141	4493.67	5349.52	6386.689	6828.289	7349.558	17410.776	16016.758	12590.886	12374.609	2230.179
hsa-let-7f-1	12004.822	13995.753	8415.965	11405.107	9433.951	8522.989	11519.381	11535.008	10931.646	16941.113	9350.278	12969.029	11086.835	9187.402	11961.372	16906.668	9090.075	24014.24	20530.079	11529.638	21817.736	15375.042	28272.466	26411.988	20357.461	19797.801	11425.267	16232.378	11551.194	9304	41478.635	16951.723	25937.061	19030.44	17164.146	33900.09	17321.884	8075.301	9621.245	8712.495	12376.344	30333.518	18528.267	13741.589	14799.688	37567.196	6047.315	5357.07	18682.259	24091.579	11573.161	11704.197	7394.433	44708.914	74606.777	30868.837	14360.264	7495.081	19554.629	10578.655	9397.188	17273.53	11157.534	5849.891	7672.414	9434.3	10712.493	16115.88	8375.391	10047.893	4398.997	36870.995	10736.851	8551.724	7797.962	11676.393	7905.763	22024.272	125070.214	7688.682	20209.438	11159.315	11089.59	21870.885	21384.962	11970.237	22375.791	16697.312	10629.165	16499.961	17019.47	19185.469	11040.831	13849.125	12988.269	7675.435	20200.388	11615.129	11986.108	9495.029	7001.336	6298.362	11163.646	8721.538	7716.857	54840.864	56022.406	21212.225	23982.205	29627.899	10904.943	13104.183	14811.453	9351.106	24393.277	12956.291	13062.5	19801.856	14608.713	24038.295	11658.195	13381.067	31863.216	13520.754	11899.643	18287.845	11997.46	18550.248	16780.245	6888.578	18624.777	38543.739	26472.333	24901.941	54535.884	49856.173	76990.566	47754.035	53277.322	33494.165	22985.929	16249.372	29238.956	21777.806	11889.885	27917.355	19203.297	17084.368	14618.376	17109.48	33526.593	36845.862	39072.018	23954.593	11985.844	5020.087	27086.924	20731.29	27386.775	12675.861	26210.56	22687.864	30357.17	39550.686	24727.988	27031.361	25936.914	28449.524	51271.52	20349.082	54058.147	48674.566	9314.45	12977.398	13919.195	19140.206	18532.363	24111.645	60284.353	53655.425	23819.723	36260.26	9296.823
hsa-let-7f-2	12089.293	14141.506	8412.612	11492.494	9657.919	8398.116	11501.321	11421.27	11050.271	17215.481	9478.705	12959.276	11376.129	9383.87	12257.643	16940.043	8941.369	24573.091	20697.594	12021.323	22010.447	15950.785	28528.145	26662.449	20386.093	19820.69	11560.809	16443.47	11772.393	9644.742	42443.326	17347.823	26634.941	19173.031	17179.634	34274.962	17687.062	8156.931	9723.814	8957.579	12963.88	31014.242	18813.411	13805.249	14789.845	38265.458	6077.499	5302.545	19131.809	24382.191	11741.242	11753.335	7625.024	45796.26	76927.248	31645.316	14546.065	7486.172	19553.494	10856.781	9325.023	17440.786	11059.199	5780.6	7685.321	9345.181	10903.488	16212.086	8576.099	10390.015	4518.078	37648.55	10842.644	8633.143	7702.688	11812.49	8089.389	22022.52	131267.544	7636.08	20266.957	11632.061	11044.926	21773.82	21743.593	12061.725	22662.685	16718.686	11034.348	16416.431	17486.253	19396.663	11091.298	14285.384	13189.049	7733.819	20315.524	11666.064	12094.462	9406.356	7037.947	6459.949	10970.156	8630.327	8123.372	56061.661	57423.459	21328.285	24338.381	29594.299	10609.524	13082.275	14994.137	9642.685	25146.563	13075.473	13291.143	20056.692	14639.952	24203.416	11712.168	13600.305	32339.288	13675.046	12169.495	18602.762	12037.273	18327.893	16729.994	6895.42	18895.356	39020.09	26952.324	25100.328	54973.591	50917.909	78538.65	49606.209	54412.74	33926.86	23343.391	16624.674	29829.553	22066.881	12327.927	28315.109	19362.94	17072.129	15116.187	17422.463	33978.147	37921.546	39296.484	24366.786	12368.582	5142.907	27654.017	21096.001	27569.571	12781.022	26480.572	23160.118	31033.004	40181.16	24869.314	27337	26474.182	29260.257	52380.716	20738.027	54686.848	49594.959	9414.784	13215.643	13889.54	19825.955	18790.3	24460.29	61184.339	55137.074	24213.327	36474.144	9353.936
hsa-let-7g	2125.976	2106.924	2492.378	1930.783	1738.626	1310.378	1667.234	2322.167	2364.468	1864.355	1836.504	1557.454	1625.361	2040.165	1990.311	2179.845	3008.932	3213.396	2598.383	2050.634	2071.345	2155.365	1949.049	2268.487	3428.389	3171.937	1504.223	2387.15	1917.554	2055.252	6945.621	2806.876	2505.174	3672.778	4355.313	3675.765	2583.201	2656.028	2376.196	1840.533	2309.197	3213.987	2443.075	3369.463	1591.276	2674.934	2303.021	2392.899	2764.526	3628.592	2103.945	1736.223	1748.565	4684.85	8713.894	3389.256	2781.26	1198.908	2211.184	2296.185	1749.54	2227.446	2466.809	1993.848	1958.64	1738.329	1760.843	2034.46	2048.625	1431.668	3439.343	3702.464	2739.122	2616.496	1915.834	1555.29	2205.154	3661.66	17202.887	1695.543	1729.461	1957.373	1956.986	2598.444	2548.569	1457.166	2255.648	2524.836	1226.366	1934.472	1775.586	1927.714	2846.805	1711.478	1768.108	1776.675	2217.32	1740.032	1780.732	1772.686	1270.221	1791.503	1552.983	1889.377	2215.088	5561.265	5646.121	2819.515	2935.389	2695.191	2026.413	2605.42	2419.391	1369.01	1841.366	2233.267	1794.906	2560.736	2055.466	2666.667	2014.997	1572.253	2164.129	1974.57	1674.489	1552.517	1658.186	1963.272	1956.344	1442.034	1586.974	3202.824	4079.372	2419.801	5402.472	5668.637	7780.972	6105.123	4414.924	4686.865	3252.91	2837.899	2691.718	2930.398	1332.379	3607.853	2443.604	3517.239	2576.426	2249.891	3130.848	2861.825	4822.925	3383.294	3220.551	2126.813	4333.002	3295.773	5641.97	2650.51	3316.37	2480.973	2309.712	4526.365	3147.346	3144.143	2729.7	4712.748	5454.309	3003.637	7851.683	5053.218	1800.478	1653.788	1645.857	3091.125	3124.161	2550.713	4959.433	4493.026	2423.89	3635.297	5156.853
