	TCGA.AF.2687.01A	TCGA.AF.2690.01A	TCGA.AF.2693.01A	TCGA.AF.3911.01A	TCGA.AF.4110.01A	TCGA.AF.6136.01A	TCGA.AF.6655.01A	TCGA.AF.6672.01A	TCGA.AF.A56K.01A	TCGA.AF.A56L.01A	TCGA.AF.A56N.01A	TCGA.AG.3591.01A	TCGA.AG.3592.01A	TCGA.AG.3725.01A	TCGA.AG.3731.01A	TCGA.AG.3732.01A	TCGA.AG.3742.01A	TCGA.AG.4021.01A	TCGA.AG.4022.01A	TCGA.AG.A01W.01A	TCGA.AG.A01Y.01A	TCGA.AG.A020.01A	TCGA.AG.A026.01A	TCGA.AG.A02N.01A	TCGA.AG.A036.01A	TCGA.AH.6544.01A	TCGA.AH.6547.01A	TCGA.AH.6549.01A	TCGA.AH.6643.01A	TCGA.AH.6644.01A	TCGA.AH.6897.01A	TCGA.AH.6903.01A	TCGA.BM.6198.01A	TCGA.CI.6619.01B	TCGA.CI.6620.01A	TCGA.CI.6621.01A	TCGA.CI.6622.01A	TCGA.CI.6623.01B	TCGA.CI.6624.01C	TCGA.CL.4957.01A	TCGA.CL.5917.01A	TCGA.CL.5918.01A	TCGA.DC.4745.01A	TCGA.DC.4749.01A	TCGA.DC.5337.01A	TCGA.DC.5869.01A	TCGA.DC.6154.01A	TCGA.DC.6155.01A	TCGA.DC.6156.01A	TCGA.DC.6157.01A	TCGA.DC.6158.01A	TCGA.DC.6160.01A	TCGA.DC.6681.01A	TCGA.DC.6682.01A	TCGA.DC.6683.01A	TCGA.DT.5265.01A	TCGA.DY.A0XA.01A	TCGA.DY.A1DC.01A	TCGA.DY.A1DD.01A	TCGA.DY.A1DE.01A	TCGA.DY.A1DF.01A	TCGA.DY.A1DG.01A	TCGA.DY.A1H8.01A	TCGA.EF.5830.01A	TCGA.EF.5831.01A	TCGA.EI.6506.01A	TCGA.EI.6507.01A	TCGA.EI.6508.01A	TCGA.EI.6509.01A	TCGA.EI.6510.01A	TCGA.EI.6511.01A	TCGA.EI.6512.01A	TCGA.EI.6513.01A	TCGA.EI.6514.01A	TCGA.EI.6881.01A	TCGA.EI.6882.01A	TCGA.EI.6883.01A	TCGA.EI.6884.01A	TCGA.EI.6885.01A	TCGA.EI.6917.01A	TCGA.EI.7002.01A	TCGA.EI.7004.01A	TCGA.F5.6464.01A	TCGA.F5.6465.01A	TCGA.F5.6571.01A	TCGA.F5.6702.01A	TCGA.F5.6810.01A	TCGA.F5.6811.01A	TCGA.F5.6812.01A	TCGA.F5.6813.01A	TCGA.F5.6814.01A	TCGA.F5.6861.01A	TCGA.F5.6863.01A	TCGA.F5.6864.01A	TCGA.G5.6233.01A	TCGA.G5.6235.01A	TCGA.G5.6572.01A	TCGA.G5.6572.02A	TCGA.G5.6641.01A
ENSG00000000005.6	62.03001289	136.8221679	100.8446722	98.49724896	12.01826096	59.02469151	12.77407351	18.18163431	42.10205186	39.3540645	31.71380561	37.32656126	77.60889615	136.6347736	22.81361763	49.53579815	93.42077389	101.1932311	46.80944225	48.56401211	8.049453001	18.47501016	46.48425783	31.16220377	42.4845344	19.56901912	15.45081356	91.10794289	0	43.33086944	440.668523	2.531384624	38.05696922	20.49676303	27.23471762	11.01623133	28.24079892	16.79859469	93.44880479	10.97554827	35.06378301	43.99313938	337.7875284	106.3573438	840.8431123	210.7447267	202.2924849	10.33767281	56.13677568	117.3967035	18.1594324	22.023029	319.3370309	146.1913633	161.3082525	10.11154215	20.9797031	18.13034087	2.409024364	26.67724416	5.550652342	61.74915201	3.898958986	95.83127331	61.66112052	7.266122969	0.622937705	434.6464056	1.379161182	4.04470699	67.9152512	18.46796681	26.75789776	81.47860155	16.41876154	1.825092613	15.66154393	8.883372264	10.39728607	0	161.228208	1.371779681	2.215844127	60.61760453	26.15871692	22.51416626	120.4894984	402.044791	22.85369071	36.43106059	11.10115621	30.99911104	21.62176094	456.3815318	0.712702261	15.68370888	13.51625568	1.801165894	58.27286961
ENSG00000000971.16	2465.420951	3587.702929	758.7361049	582.3965541	1315.683305	545.2280826	1463.908825	267.7658872	819.1325677	438.5167188	638.387161	326.4088655	577.5892848	286.0126866	2544.859047	1040.895083	593.1132854	817.4164336	1180.846196	257.3892642	533.5637418	103.4600569	225.1581239	214.6729593	602.1084013	188.3518091	1912.222116	791.6164629	534.260485	1489.498637	187.9628771	248.7989459	1255.118845	828.0692265	803.7267777	1092.926109	366.4062629	563.621815	1005.261775	422.2697782	493.9419867	166.6663165	480.4417801	380.6859409	508.0879344	626.1476899	630.144322	328.2211117	2269.431846	471.8444428	2263.643092	481.1184798	698.4398915	201.2281118	487.1671346	1305.833443	472.7925949	449.1379898	212.5964001	400.1586624	226.6516373	67.63002363	77.00443998	365.8254694	769.1829521	946.2727836	1178.598138	579.5285408	989.5481484	244.030655	1241.302512	713.1476413	434.9581678	748.7602522	387.4827724	676.196813	425.3675332	1263.48887	1291.975808	1431.023012	537.9594662	3412.301958	1446.2076	1327.034045	1123.080913	3647.294935	1091.969849	1653.313726	1556.06747	880.4172977	441.4031159	384.2820834	316.9294958	1448.279635	477.5105147	193.1947775	2142.648341	53722.47455	119.6786892
ENSG00000001626.16	377.6213065	6647.159447	8225.357954	7302.434504	3121.585148	5420.267434	14938.85317	4226.40354	15346.1979	8648.898976	2124.824976	5391.702646	15365.56645	6842.357961	7126.974149	1803.231717	13721.26669	1821.47816	4903.75717	12208.99264	1032.629828	4675.409237	7383.73383	4347.127426	12430.38877	8271.987459	7316.328095	3868.833718	7333.752581	6580.198751	6343.747103	10892.18641	3591.816755	3312.276906	13699.66818	6783.099494	6429.488555	13587.1668	7416.124633	7380.767382	10435.28673	12497.43567	8814.997952	6006.622679	6536.329754	6519.391925	3887.50574	6331.824595	3939.158625	15090.7442	5725.110283	11450.281	7132.05567	10937.69382	13790.6397	2329.988213	7577.419196	8472.637932	6312.848345	8525.903032	2196.20811	5428.044505	2356.920707	7254.844047	11338.53143	6546.776795	35.5074492	4031.262464	4010.600719	21959.38836	3452.918959	5686.002857	8041.602252	17337.38209	7744.72982	3025.091005	14800.78548	10157.79452	4238.928325	6672.392586	18729.07744	679.0309423	1713.586125	1741.527395	7266.310256	4416.636159	3630.353991	13402.18741	4938.413695	9022.084691	3151.67111	7503.388275	7044.711109	7917.840161	3328.319558	20783.76585	19346.2673	7072.277884	7813.577247
ENSG00000002933.9	3721.800773	5759.931162	5146.508371	5544.132331	11483.13207	4517.889947	8841.362081	3342.114962	3686.406129	1677.60755	6645.804153	9662.814273	10605.55415	16683.60142	2849.420842	6247.943788	3182.824041	9898.946742	13202.75922	3710.290525	2342.390823	3594.005309	1334.96978	8032.923639	2672.130715	2618.98706	5431.328841	3529.96795	11857.84297	4789.415162	4950.733336	6814.125782	8149.519388	8509.084767	6650.112826	6905.437642	4998.621409	14439.84029	10165.99314	3868.591935	5680.332847	12953.44148	10441.10859	16300.54656	14946.64618	7274.877534	5284.81038	9562.347348	10624.22709	12140.77575	9105.558468	8100.239476	10874.4513	1221.127858	5269.673114	10340.49636	6619.845604	9399.757635	21665.56061	7620.318744	21222.91923	9130.053189	18220.81008	23368.66433	12345.66307	3079.159341	474.0555937	7620.689715	5691.7982	13076.5377	24302.22865	3546.559933	3859.969081	13211.47428	10472.9807	5272.692558	14830.85564	5690.141603	1347.12663	1503.351019	8297.665594	3587.889757	1832.503093	3906.831917	7348.274235	8249.833781	9956.863127	7347.906699	11221.83431	11153.97639	528.0978596	5290.693107	12404.63185	7769.326456	4396.660247	9045.222647	7865.817175	31252.93002	5589.182762
ENSG00000003096.14	103.3833548	102.2639915	34.98692708	41.92447007	54.39844433	1231.515174	37.47061564	771.8930204	146.1188859	33.16985437	76.34805054	566.2518761	22.38718158	47.43279704	70.15187422	266.9786524	26.07091364	24.73612316	633.4877851	44.9217112	110.3924983	30.7916836	187.3896644	586.8881711	46.87948624	1208.386931	266.3425956	173.8488298	88.35846483	54.84063163	680.8433104	1117.063872	646.2073373	35.72292986	33.89209304	118.8593381	22.44781453	15.06080903	213.008305	32.92664481	16.76963535	60.0675557	34.0004952	55.74591813	1593.077197	36.51894182	68.50799808	18.09092741	52.71380155	18.0610313	29.33446772	28.79934562	103.7112926	298.402371	111.8620043	59.94699989	16.48405244	6.592851226	79.497804	33.88731015	43.48011001	38.22566553	8.772657719	9.999785041	9.486326234	225.249812	222.3887608	69.12315611	1038.50837	51.2329552	69.93253589	1851.768826	25.61926381	967.2071926	25.72272642	331.2543092	64.52556101	60.13359686	47.9179271	320.3862828	28.20163374	192.0491554	121.871427	27.85133181	41.85394707	130.5821643	854.2327222	70.8265435	120.9901273	63.41703141	837.3443539	121.324107	90.46999971	116.5344766	14.25404522	42.06085562	109.4173079	147.6956033	37.59539975
ENSG00000003989.18	467.9457113	461.951134	37.04498161	52.02675202	125.87547	135.0564975	122.6311057	301.649842	290.3803282	26.42344331	309.503251	5.559275081	28.35709667	34.68965754	603.4201864	1093.647492	43.45152274	72.52181564	161.0244813	80.13061998	333.4773386	269.7351483	43.57899172	58.86194046	203.6327683	15.49214014	327.4100968	523.4058352	213.0192447	182.1250606	11.48662027	33.63125287	112.6486289	1050.019889	77.46764122	166.982875	36.20615247	48.07873653	97.57154617	84.33842355	24.39219688	12.69032867	32.5222128	12.46948169	25.45152918	12.93379189	99.53048778	100.7923099	251.2463009	19.56611725	135.4973033	48.28125589	71.48461976	171.12989	32.42376935	259.2888309	41.95940621	20.60266008	319.1957282	42.53938934	41.62989256	63.95447886	416.2138718	9.999785041	67.98533801	43.03780528	527.6282363	201.2866306	161.3618583	1208.019154	51.77697369	176.8662975	30.1737996	70.94257549	44.87794822	333.0794018	227.4056179	84.73370467	1046.961502	79.8286892	112.2744287	865.592979	181.6992184	176.3917681	100.5657339	169.8211398	139.4004063	69.43778774	174.7635172	179.4567059	332.5060597	43.29186197	39.82955962	159.3541215	545.2172295	37.78348048	249.0852833	12768.46503	131.5838991
ENSG00000004468.13	299.267606	826.5751588	249.7106168	80.81825556	487.6883788	103.0431055	110.7086371	83.47023026	121.9721208	80.39473177	51.09446459	89.74258345	121.3882735	97.69740286	431.7477137	1747.906021	47.79667501	272.6595394	112.3426614	95.91392392	313.928667	113.3133956	30.5052942	135.0362164	246.1173027	13.04601275	578.3018788	54.38586387	28.08292293	87.33878371	71.00819802	84.25894535	208.5521913	168.0734569	74.44156149	208.7285937	78.92941237	71.24921197	185.5233624	53.14476005	67.84079756	24.53463543	124.1757216	38.87544291	42.41921531	45.64867727	76.26362051	67.19487326	136.9189651	625.3632089	175.3083666	454.8602529	854.8857396	31.81812025	24.31782702	19.50083129	61.44055909	64.28029945	30.71506064	96.61488426	13.87663085	733.6387345	33.14115138	42.49908643	67.98533801	286.732391	151.3738624	404.2322169	4.137483547	195.4941712	697.3080742	90.9192212	71.1646217	237.4117873	99.60715337	317.5661146	68.91079331	226.8676609	115.2742586	4101.265878	66.51328712	102.1975863	189.0853655	300.9036045	238.3349764	56.6070466	58.89397009	149.2912436	180.8130236	176.0834595	163.3455842	21.37869727	6.258930798	94.85364377	59.15428764	34.93189704	10.94173079	271.9760501	46.99424968
ENSG00000004776.13	202.9578492	508.4988819	11.66230903	132.3398935	171.4183536	7.002929501	52.79950385	9.090817157	41.48290403	70.27511519	24.66629325	11.91273232	20.89470281	9.20337853	67.87051246	56.61234075	33.3128341	18.55209237	30.58216894	150.5484375	1072.877093	25.86501422	2732.402781	17.31233543	164.0782018	11.41526116	96.38364647	54.38586387	24.65817623	104.2649046	3.132714619	18.44294512	98.94811997	20.49676303	29.65558141	156.5464453	4.344738296	66.035855	35.73042536	24.83939872	25.15445303	42.30109556	47.30503681	66.01490305	14.13973844	5.325679015	37.48550838	72.36370966	49.29082742	19.56611725	11.17503532	16.94079154	490.4313667	16.33903472	75.38526375	222.4539273	3.746375554	9.889276839	335.4566426	129.7811878	148.0173958	83.80242058	59.45912454	29.99935512	24.50634277	60.92364644	13.08169181	24.33135095	45.51231902	6.741178316	83.38110048	5.682451325	14.80224131	168.576417	138.464889	7.30037045	123.4129662	30.75013476	79.56184123	22.50204662	30.33005892	159.126443	415.1014665	62.80202271	43.59786153	93.91623641	392.8065712	15.97069118	372.3807251	191.6003928	13.21566215	51.30887345	261.7371061	85.63928981	83.38616451	2.138687574	122.2899324	152.1985181	6.892489953
ENSG00000004799.8	2462.700336	4067.285786	506.9674335	299.0275456	828.627466	1243.520196	309.132579	529.7467089	757.2177856	207.45214	95.14141682	444.7420065	424.8589571	141.5904389	757.4121054	1548.476184	632.9438479	209.6948623	599.7849867	356.945489	251.8328867	422.4618989	923.8746244	818.8734658	423.3803601	507.9791214	1173.526077	383.0252293	318.501443	1502.362489	122.1758701	925.040267	913.3672612	361.914273	362.5243523	342.6627747	701.6752348	235.1803257	905.6288582	322.3345229	695.9398671	546.5301546	653.4008209	478.9747966	143.2826828	163.5744269	515.1025893	186.0781106	1073.444686	892.5159636	525.2266601	435.3783426	605.8614495	698.2787471	1613.89312	1053.767143	306.4535203	380.7371583	502.8838359	282.6345868	1061.099706	419.7472118	248.5586354	572.4876936	634.0028033	407.4618188	369.4020592	703.3972366	565.4560848	1508.001589	1765.796531	380.7242388	527.7568345	1630.976835	760.7359515	295.6650032	365.2272045	848.7037193	258.575984	296.2769472	463.9966909	1089.193067	983.0961778	707.7514907	1314.330199	1084.539552	750.4928849	440.9299522	1519.770432	601.7871491	316.1186387	204.1665589	1003.135909	1448.821656	434.0356768	1127.801247	1047.188	3317.747578	1570.234529
ENSG00000004838.14	14.69131884	12.69484032	3.43009089	10.60739604	4.427780352	14.005859	7.664444108	14.0494447	8.048921678	9.557415665	8.809390447	42.88583634	5.969915089	15.57494828	13.11783014	16.08305135	5.793536365	16.3033539	6.865384863	10.92690272	10.34929672	29.56001625	7.263165286	12.1186348	2.92996789	9.784509562	6.621777238	8.367055979	8.219392077	5.416358679	5.221191031	7.955780248	8.372533228	9.955570616	10.89388705	2.319206597	3.620615247	9.847452061	8.245482775	15.59683175	6.860305371	7.614197201	13.3045416	2.933995691	9.42649229	2.282433863	5.17041495	56.85720045	6.845948253	3.010171884	28.63602801	8.470395771	8.789092594	1.719898392	3.242376935	23.83434936	5.244925776	16.48212806	6.624817	7.931072588	68.45804555	2.94043581	6.823178226	4.166577101	2.371581558	5.589325361	18.06519345	6.082837738	11.03328946	12.8082388	2.689712919	4.261838494	5.693169736	2.107205213	15.32417744	23.72620396	13.1556969	8.883372264	7.684950573	21.96628361	11.70633853	13.71779681	4.431688255	2.730522727	6.394353025	6.432618932	8.644986435	5.555023019	8.066008486	11.46903759	20.61643296	10.1548812	6.827924506	1.626062465	10.69053391	6.416062722	6.436312229	11.70757831	9.398849936
