	TCGA.AF.2687.01A	TCGA.AF.2690.01A	TCGA.AF.2693.01A	TCGA.AF.3911.01A	TCGA.AF.4110.01A	TCGA.AF.6136.01A	TCGA.AF.6655.01A	TCGA.AF.6672.01A	TCGA.AF.A56K.01A	TCGA.AF.A56L.01A	TCGA.AF.A56N.01A	TCGA.AG.3591.01A	TCGA.AG.3592.01A	TCGA.AG.3725.01A	TCGA.AG.3731.01A	TCGA.AG.3732.01A	TCGA.AG.3742.01A	TCGA.AG.4021.01A	TCGA.AG.4022.01A	TCGA.AG.A01W.01A	TCGA.AG.A01Y.01A	TCGA.AG.A020.01A	TCGA.AG.A026.01A	TCGA.AG.A02N.01A	TCGA.AG.A036.01A	TCGA.AH.6544.01A	TCGA.AH.6547.01A	TCGA.AH.6549.01A	TCGA.AH.6643.01A	TCGA.AH.6644.01A	TCGA.AH.6897.01A	TCGA.AH.6903.01A	TCGA.BM.6198.01A	TCGA.CI.6619.01B	TCGA.CI.6620.01A	TCGA.CI.6621.01A	TCGA.CI.6622.01A	TCGA.CI.6623.01B	TCGA.CI.6624.01C	TCGA.CL.4957.01A	TCGA.CL.5917.01A	TCGA.CL.5918.01A	TCGA.DC.4745.01A	TCGA.DC.4749.01A	TCGA.DC.5337.01A	TCGA.DC.5869.01A	TCGA.DC.6154.01A	TCGA.DC.6155.01A	TCGA.DC.6156.01A	TCGA.DC.6157.01A	TCGA.DC.6158.01A	TCGA.DC.6160.01A	TCGA.DC.6681.01A	TCGA.DC.6682.01A	TCGA.DC.6683.01A	TCGA.DT.5265.01A	TCGA.DY.A0XA.01A	TCGA.DY.A1DC.01A	TCGA.DY.A1DD.01A	TCGA.DY.A1DE.01A	TCGA.DY.A1DF.01A	TCGA.DY.A1DG.01A	TCGA.DY.A1H8.01A	TCGA.EF.5830.01A	TCGA.EF.5831.01A	TCGA.EI.6506.01A	TCGA.EI.6507.01A	TCGA.EI.6508.01A	TCGA.EI.6509.01A	TCGA.EI.6510.01A	TCGA.EI.6511.01A	TCGA.EI.6512.01A	TCGA.EI.6513.01A	TCGA.EI.6514.01A	TCGA.EI.6881.01A	TCGA.EI.6882.01A	TCGA.EI.6883.01A	TCGA.EI.6884.01A	TCGA.EI.6885.01A	TCGA.EI.6917.01A	TCGA.EI.7002.01A	TCGA.EI.7004.01A	TCGA.F5.6464.01A	TCGA.F5.6465.01A	TCGA.F5.6571.01A	TCGA.F5.6702.01A	TCGA.F5.6810.01A	TCGA.F5.6811.01A	TCGA.F5.6812.01A	TCGA.F5.6813.01A	TCGA.F5.6814.01A	TCGA.F5.6861.01A	TCGA.F5.6863.01A	TCGA.F5.6864.01A	TCGA.G5.6233.01A	TCGA.G5.6235.01A	TCGA.G5.6572.01A	TCGA.G5.6572.02A	TCGA.G5.6641.01A
hsa-let-7a-1	64123.076	63420.283	31507.161	40246.656	63488.611	23570.721	35992.965	26528.671	15076.574	15321.926	17199.09	105067.116	41852.359	58768.681	42173.101	48357.645	18438.491	64173.271	44787.359	9195.723	16183.48	10816.724	10719.829	11958.145	11933.43	30508.208	26186.903	28542.893	40014.801	42214.297	20641.593	23944.863	20033.834	31953.805	36162.477	32509.608	33856.684	19211.777	22475.114	35605.598	17153.663	19807.848	45984.286	32615.382	33124.706	24188.279	20612.547	18431.206	34001.056	20883.482	16350.629	18143.514	38738.96	26500.505	23788.042	15298.716	65322.746	21915.469	17734.347	42616.598	29064.167	26400.297	15106.487	32548.56	18897.977	26138.367	68517.187	41064.656	52688.272	34769.547	32652.147	21086.841	40204.621	38011.459	30647.653	31696.707	26309.109	21089.277	37434.037	26802.323	22999.074	64265.957	64917.207	37388.268	36662.391	31629.694	46095.548	54519.947	33071.058	49946.235	31601.831	25543.92	24821.819	46291.858	24240.589	14766.573	44935.831	33608.638	30354.65
hsa-let-7a-2	64127.524	63269.836	31531.661	40315.841	63170.306	23472.935	35747.009	26176.286	14884.027	15326.193	16833.794	104608.629	41518.476	58643.377	42080.742	48150.288	18302.582	63724.294	45038.145	9280.518	15810.914	10561.25	10684.748	11473.796	12095.475	30233.834	26440.279	28703.813	40107.422	41918.531	20626.459	23792.469	19839.933	31586.076	36142.517	32257.616	33756.4	19266.2	22234.203	35839.333	16991.403	19485.678	45603.211	32614.151	32935.384	24334.493	20489.548	18167.136	33569.509	20783.839	16484.471	18049.757	38566.598	26293.487	23815.007	14982.04	65612.134	21861.541	17490.996	42904.732	29222.956	26626.856	15208.765	32635.443	19171.361	25991.017	67818.2	40836.281	52924.282	34472.837	32385.916	20900.254	39810.778	37919.467	31034.039	31702.003	26228.043	21298.725	37387.109	26948.738	23157.211	64103.538	64887.067	37151.991	36475.743	31735.321	45619.795	54685.284	32958.065	50097.062	31831.531	25552.52	25022.329	46129.631	24523.526	14610.29	45067.537	33299.223	30347.835
hsa-let-7a-3	64548.14	62782.882	31319.986	40423.01	63442.827	23757.469	36144.613	26173.447	15100.969	15437.128	17270.134	104933.245	41676.452	58536.417	42360.35	48342.99	18344.223	64354.699	44919.263	9289.603	15974.049	10638.141	10805.026	11802.551	12077.286	30527.624	26417.445	28738.522	40113.556	42425.456	20404.855	23501.878	20091.706	31905.002	36251.787	32529.525	33777.464	19221.72	22428.295	35639.784	17315.217	19958.9	45641.603	32720.416	33141.683	24433.674	20725.68	18373.44	34013.972	20927.956	16398.002	17987.253	38830.967	26294.597	23854.954	15199.428	65161.198	22104.692	17793.259	42937.062	29315.17	26417.232	15285.626	32512.1	19434.893	25991.511	67912.538	41217.786	52922.483	34630.104	32722.073	21112.421	40173.137	37863.342	30526.766	32265.959	26219.199	20992.678	37526.219	27073.539	23423.079	63770.939	65093.686	37159.981	36758.886	31704.316	45819.079	54944.374	33064.097	49885.557	31802.083	25559.686	24755.574	46557.554	24308.831	14591.929	45461.404	33677.452	30251.706
hsa-let-7b	53521.248	74484.31	23954.498	29226.351	38630.904	17869.752	26960.867	18187.799	21097.358	26185.09	18762.595	46089.36	27303.259	26080.72	22706.42	65904.541	16900.119	25677.232	26889.975	15920.275	16924.203	13269.772	17306.752	30973.227	27562.47	21948.947	16985.435	20456.371	32791.576	30526.832	28153.424	29600.497	14739.446	16368.466	27384.037	18003.163	24890.634	20122.836	15630.534	30556.45	26307.221	26314.779	17370.214	27277.544	45510.908	39382.831	28627.879	32083.034	48949.076	29542.336	24904.781	21964.106	27952.58	17553.781	14548.196	37660.468	32964.753	16655.501	10226.985	27388.039	15170.387	13961.982	11155.932	46784.191	40492.85	20122.716	52522.794	25790.571	40035.085	16833.816	16594.871	17989.095	22546.943	18991.449	29671.519	53112.471	25491.072	41639.585	49606.454	41350.402	21822.929	78318.882	35112.526	25174.345	17165.542	31789.974	26329.648	40812.835	23570.546	29822.982	54385.878	39206.664	61195.726	31781.663	15285.511	13330.993	42713.505	32394.085	22078.914
hsa-let-7c	9658.299	15075.945	517.427	2851.958	1653.111	430.109	3985.093	576.225	2030.888	2019.124	1688.628	545.11	941.874	501.839	2955.491	1314.845	1739.633	2290.816	2357.893	268.013	683.405	446.46	257.263	158.103	3659.232	349.483	2137.231	3153.202	560.021	2827.496	307.002	554.678	1166.985	501.655	1043.981	564.168	736.791	1226.083	850.913	1003.311	1394.727	1945.837	1579.046	1655.099	5161.089	4561.28	1357.595	547.393	4161.619	2229.313	2433.403	166.418	5374.482	1843.18	2059.957	1691.032	1179.811	1249.896	1142.684	2066.283	2161.864	460.441	1086.472	5247.115	1147.72	122.133	687.59	2266.592	1246.61	265.256	350.912	213.171	674.342	3971.911	277.927	172.099	2188.802	918.142	614.543	1494.828	3546.226	5991.425	9073.783	3305.024	4900.541	3708.003	4150.187	5652.489	8815.593	5499.98	1168.693	2659.451	5189.597	3833.846	394.119	538.449	9456.972	8173.363	1180.813
hsa-let-7d	2108.802	1645.468	1591.479	1377.821	1406.207	1630.004	1828.073	2071.33	921.784	1172.884	1931.982	2227.689	1812.874	2278.487	1667.524	1888.555	1593.893	1861.36	1201.841	2834.578	1106.676	3088.012	2552.579	2740.46	1987.527	1695.298	1257.66	2186.627	1955.472	1568.501	2815.991	2005.738	1698.571	1911.849	2085.594	1954.023	1655.376	1198.872	1144.551	1800.712	1186.612	1437.5	1469.558	1007.666	1394.194	1364.498	1694.362	1787.969	1352.384	1449.053	1236.535	2002.49	1988.595	1931.982	1302.62	3051.8	1826.004	1732.369	1693.022	1809.912	2168.612	2296.713	1894.282	2245.771	2374.254	1964.012	1980.463	2255.371	1419.661	1827.438	1462.668	1559.406	1648.073	1924.185	2221.156	2613.261	2417.263	1970.8	1701.166	1931.982	1684.161	1646.439	2005.116	2377.038	1589.126	1458.817	2757.091	1868.749	2082.069	1671.231	2576.341	2501.074	2796.491	1628.661	1676.154	1231.473	1698.421	1462.686	1945.903
hsa-let-7e	6633.29	5221.308	2066.766	2103.132	4782.739	2002.03	2670.435	951.319	1187.952	1518.966	1565.626	1660.704	2510.527	2526.609	4291.957	1957.43	1340.582	5639.196	3899.996	828.266	683.405	716.816	1308.03	361.379	1516.275	2822.942	2344.938	5274.093	1929.097	4307.05	1567.442	2270.772	2115.011	9734.027	4032.149	2687.052	2608.305	2059.171	2745.923	5460.172	1864.575	1412.418	2028.373	1666.587	1677.663	1445.274	1944.965	2576.05	4011.945	1944.456	1637.489	1404.009	4444.59	1874.261	2543.321	2518.78	2539.615	2151.341	2150.394	4663.459	1980.585	2992.409	2004.522	2113.12	2472.771	1847.813	2405.933	3667.206	6519.071	1661.784	2666.804	1392.882	6682.738	7995.963	3074.142	2380.265	2168.167	1751.421	10334.934	2443.737	2500.544	11257.133	8738.275	7088.881	3293.77	5103.496	4903.041	5543.532	5231.949	5610.933	5070.226	3095.885	5032.265	7281.923	1292.003	1531.228	5546.646	4639.208	1639.221
hsa-let-7f-1	61354.757	36838.419	40856.118	39660.166	56794.956	25269.836	38006.637	31791.746	9245.722	6997.008	11603.023	90229.273	42818.998	62992.34	54307.568	28785.908	16072.521	71300.062	52698.671	3734.012	1765.831	4057.822	3563.253	3473.258	3822.931	33769.025	28271	31820.203	44996.716	35234.504	15276.616	13996.628	25408.765	42482.876	28038.301	38617.175	28983.512	16484.357	30183.335	41709.733	12307.039	20886.948	44751.479	32575.584	24879.928	16031.962	11373.143	12507.528	19099.762	17400.462	12246.349	12812.656	34521.936	45935.762	35297.902	4913.189	61594.416	19333.03	26352.576	38101.176	34830.489	37342.408	26706.746	21958.913	11721.031	26884.019	56994.032	43135.875	44029.995	36621.099	41056.075	23042.493	47796.976	34130.21	21512.219	14101.546	10964.647	7683.683	18122.309	12094.581	12176.562	26574.242	55996.108	25399.778	33487.998	23701.316	54361.759	49004.921	35125.281	42529.713	15640.631	14159.375	10311.766	29451.294	47801.822	22020.905	24156.75	23056.399	34193.37
hsa-let-7f-2	62283.672	37660.426	41847.853	40249.369	58502.571	26123.437	38819.574	32510.71	9428.249	7042.52	11727.086	93918.172	43814.669	65810.911	55171.273	29283.051	16333.929	73733.839	53359.032	3833.949	1754.809	4062.783	3777.082	3355.307	3664.193	34550.763	28865.578	32269.834	45331.624	36224.49	15396.607	13990.002	25821.028	43090.649	28238.911	39253.65	29505.082	16893.574	30757.883	42300.43	12540.552	21317.251	46963.28	32913.661	25137.159	16181.244	11413.923	12704.205	19380.496	17488.284	12332.818	13320.505	35175.191	46772.158	36067.556	4818.082	64682.277	19747.535	27348.106	39335.955	36139.033	38472.457	27441.063	22147.418	12115.098	27211.849	57957.038	44209.107	44835.885	36789.899	42487.951	23354.976	48625.879	34734.964	21904.254	14112.137	11333.132	8080.912	18297.174	12312.112	12504.696	26799.767	57005.011	25991.041	34339.08	24153.255	55373.367	49591.518	35699.885	43914.026	15765.998	14248.239	10302.303	29533.472	48541.753	22593.514	24739.423	23651.62	35094.762
hsa-let-7g	3255.014	3494.439	3099.659	2774.634	4534.2	3761.434	3122.738	4549.788	1198.407	1352.088	1870.481	6466.073	3633.432	5356.684	3976.923	1708.676	1343.473	4355.995	4012.156	2825.493	1230.13	2415.843	3484.738	1902.261	1342.656	2929.728	3492.817	3182.125	5326.638	3162.312	1639.869	2000.059	2835.725	3728.36	3158.33	3230.438	3618.932	2993.778	3586.836	3461.501	1522.418	2192.759	3153.115	3546.934	1966.276	1698.849	1743.693	1688.943	1535.487	1528.43	1092.135	1482.921	4886.84	2949.866	3511.381	707.558	5577.868	2749.326	3615.724	4132	3615.253	3121.021	3258.19	2781.033	2539.269	2929.7	5187.952	2756.345	4055.711	6340.989	3921.619	1866.873	3620.723	3635.827	2439.204	1579.341	2034.039	1656.628	1949.218	1447.417	1928.285	2159.044	3277.349	2900.386	3810.429	2800.446	3788.311	5285.708	4623.072	4310.702	1693.722	1517.844	1864.328	2369.967	3834.604	3082.525	3222.623	3703.932	4400.072
