	TCGA.2G.AAEW.01A	TCGA.2G.AAEX.01A	TCGA.2G.AAF1.01A	TCGA.2G.AAF4.01A	TCGA.2G.AAF6.01A	TCGA.2G.AAF8.01A	TCGA.2G.AAFE.01A	TCGA.2G.AAFG.01A	TCGA.2G.AAFG.05A	TCGA.2G.AAFH.01A	TCGA.2G.AAFI.01A	TCGA.2G.AAFJ.01A	TCGA.2G.AAFL.01A	TCGA.2G.AAFM.01A	TCGA.2G.AAFN.01A	TCGA.2G.AAFO.01A	TCGA.2G.AAFV.01A	TCGA.2G.AAFY.01A	TCGA.2G.AAFZ.01A	TCGA.2G.AAG0.01A	TCGA.2G.AAG3.01A	TCGA.2G.AAG5.01A	TCGA.2G.AAG6.01A	TCGA.2G.AAG7.01A	TCGA.2G.AAG8.01A	TCGA.2G.AAG9.01A	TCGA.2G.AAGA.01A	TCGA.2G.AAGC.01A	TCGA.2G.AAGE.01A	TCGA.2G.AAGF.01A	TCGA.2G.AAGG.01A	TCGA.2G.AAGI.01A	TCGA.2G.AAGI.05A	TCGA.2G.AAGJ.01A	TCGA.2G.AAGK.01A	TCGA.2G.AAGM.01A	TCGA.2G.AAGN.01A	TCGA.2G.AAGO.01A	TCGA.2G.AAGP.01A	TCGA.2G.AAGS.01A	TCGA.2G.AAGT.01A	TCGA.2G.AAGV.01A	TCGA.2G.AAGW.01A	TCGA.2G.AAGX.01A	TCGA.2G.AAGY.01A	TCGA.2G.AAGY.05A	TCGA.2G.AAGZ.01A	TCGA.2G.AAH0.01A	TCGA.2G.AAH2.01A	TCGA.2G.AAH3.01A	TCGA.2G.AAH4.01A	TCGA.2G.AAH8.01A	TCGA.2G.AAHA.01A	TCGA.2G.AAHC.01A	TCGA.2G.AAHG.01A	TCGA.2G.AAHL.01A	TCGA.2G.AAHN.01A	TCGA.2G.AAHP.01A	TCGA.2G.AAHP.05A	TCGA.2G.AAHT.01A	TCGA.2G.AAKD.01A	TCGA.2G.AAKG.01A	TCGA.2G.AAKG.05A	TCGA.2G.AAKH.01A	TCGA.2G.AAKL.01A	TCGA.2G.AAKM.01A	TCGA.2G.AAKO.01A	TCGA.2G.AAKO.05A	TCGA.2G.AAL5.01A	TCGA.2G.AAL7.01A	TCGA.2G.AALF.01A	TCGA.2G.AALG.01A	TCGA.2G.AALN.01A	TCGA.2G.AALO.01A	TCGA.2G.AALP.01A	TCGA.2G.AALQ.01A	TCGA.2G.AALR.01A	TCGA.2G.AALS.01A	TCGA.2G.AALT.01A	TCGA.2G.AALW.01A	TCGA.2G.AALX.01A	TCGA.2G.AALY.01A	TCGA.2G.AALZ.01A	TCGA.2G.AAM2.01A	TCGA.2G.AAM3.01A	TCGA.2G.AAM4.01A	TCGA.2X.A9D5.01A	TCGA.2X.A9D6.01A	TCGA.4K.AA1G.01A	TCGA.4K.AA1H.01A	TCGA.4K.AA1I.01A	TCGA.4K.AAAL.01A	TCGA.S6.A8JW.01A	TCGA.S6.A8JX.01A	TCGA.S6.A8JY.01A	TCGA.SB.A6J6.01A	TCGA.SB.A76C.01A	TCGA.SN.A6IS.01A	TCGA.SN.A84W.01A	TCGA.SN.A84X.01A	TCGA.SN.A84Y.01A	TCGA.SO.A8JP.01A	TCGA.VF.A8A8.01A	TCGA.VF.A8A9.01A	TCGA.VF.A8AA.01A	TCGA.VF.A8AB.01A	TCGA.VF.A8AC.01A	TCGA.VF.A8AD.01A	TCGA.VF.A8AE.01A	TCGA.W4.A7U2.01A	TCGA.W4.A7U3.01A	TCGA.W4.A7U4.01A	TCGA.WZ.A7V3.01A	TCGA.WZ.A7V4.01A	TCGA.WZ.A7V5.01A	TCGA.WZ.A8D5.01A	TCGA.X3.A8G4.01A	TCGA.XE.A8H1.01A	TCGA.XE.A8H4.01A	TCGA.XE.A8H5.01A	TCGA.XE.A9SE.01A	TCGA.XE.AANI.01A	TCGA.XE.AANJ.01A	TCGA.XE.AANR.01A	TCGA.XE.AANV.01A	TCGA.XE.AAO3.01A	TCGA.XE.AAO4.01A	TCGA.XE.AAO6.01A	TCGA.XE.AAOB.01A	TCGA.XE.AAOC.01A	TCGA.XE.AAOD.01A	TCGA.XE.AAOF.01A	TCGA.XE.AAOJ.01A	TCGA.XE.AAOL.01A	TCGA.XY.A89B.01A	TCGA.XY.A8S2.01A	TCGA.XY.A8S3.01B	TCGA.XY.A9T9.01A	TCGA.YU.A90P.01A	TCGA.YU.A90Q.01A	TCGA.YU.A90S.01A	TCGA.YU.A90W.01A	TCGA.YU.A90Y.01A	TCGA.YU.A912.01A	TCGA.YU.A94D.01A	TCGA.YU.A94I.01A	TCGA.YU.AA4L.01A	TCGA.YU.AA61.01A	TCGA.ZM.AA05.01A	TCGA.ZM.AA06.01A	TCGA.ZM.AA0B.01A	TCGA.ZM.AA0D.01A	TCGA.ZM.AA0E.01A	TCGA.ZM.AA0F.01A	TCGA.ZM.AA0H.01A	TCGA.ZM.AA0N.01A
hsa-let-7a-1	36961.452	36778.024	46077.392	28235.73	41805.937	23622.66	33799.872	36872.574	53323.605	28419.061	16137.844	50614.794	77919.697	38840.618	14874.379	58812.945	50400.037	44629.223	40293.226	31885.361	87661.341	59798.136	81164.641	16897.919	45536.318	28852.5	62334.94	20588.453	30929.894	23941.189	37944.82	18913.645	37733.241	60313.525	15047.019	16475.621	29092.127	31455.284	56579.752	11786.019	21705.794	87395.448	11424.75	60075.397	21425.807	34551.409	100538.987	25872.097	34539.486	39543.309	15354.288	10302.398	33771.841	44087.352	20233.685	30248.065	39941.868	23819.105	28350.853	29942.211	27250.203	16448.283	29259.266	32699.485	43178.364	37413.585	49965.912	55310.667	20982.637	27081.954	30140.805	35932.365	21172.503	51993.921	8445.686	24142.646	19253.266	33085.158	41274.665	47482.283	44039.22	27303.709	54600.227	6405.626	49267.801	12089.969	29269.187	39523.179	23348.162	60970.621	29914.047	57864.694	22840.195	16341.664	18778.552	28478.021	18585.183	25010.972	40229.178	42651.214	7788.008	24135.249	10236.449	35137.378	26355.899	39947.014	34875.47	29102	39430.767	14074.045	19958.72	8144.254	11331.372	22308.927	29497.2	21607.494	15302.488	44730.624	40346.048	14515.967	14828.804	31717.993	16018.581	32067.546	38062.469	13314.581	35315.528	13188.876	16650.319	17473.179	33688.297	21101.736	18840.128	6891.933	57433.592	21011.01	10585.185	29692.408	26880.775	27190.291	75841.822	40843.31	31130.41	15094.685	20266.907	25438.786	15475.912	44522.595	41844.14	20100.956	20506.201	35359.199	18130.773	62248.816	33783.089	41007.631
hsa-let-7a-2	37126.95	36976.982	45900.132	28422.218	42142.126	23549.472	33560.846	36550.719	52769.745	28062.827	15731.893	51345.592	77056.993	38456.934	14979.584	58718.357	50435.906	44508.869	40235.199	32601.466	87806.331	59705.004	81158.953	17067.654	45523.503	28509.208	61970.981	20640.234	30518.733	23798.893	37750.92	18841.612	37831.838	60036.164	14917.968	16380.316	28959.054	31186.154	56374.422	11621.315	21299.977	86940.385	10940.65	60396.179	21374.809	35259.41	100724.807	25853.286	34738.553	39558.684	15487.349	10203.752	34041.549	43916.792	20074.585	30342.515	39754.868	23373.741	28561.101	29864.345	26887.446	16326.679	29496.751	32638.132	43227.943	37720.894	49369.484	54643.12	21195.961	26602.096	30001.214	35956.661	21564.378	52256.715	8341.986	23991.502	19248.842	32625.238	41466.604	47698.181	43798.553	27208.127	54857.995	6817.556	49580.08	11941.829	28938.508	39313.321	22917.369	60813.457	29336.454	57654.215	22908.981	17017.111	18468.03	28470.934	18523.029	25135.168	40476.928	42611.09	7789.529	24171.464	10277.649	34904.982	26372.654	40242.177	34782.493	28844.771	39620.653	14098.026	19981.486	8440.761	11219.313	22073.103	29552.187	21271.807	15190.566	44484.986	40534.554	14711.842	14741.635	31688.06	16351.267	31849.128	38003.812	12978.72	35653.937	13051.146	16706.949	17687.512	33780.746	21364.146	18785.107	6779.987	57072.364	20919.54	10665.938	29583.529	26706.132	26749.737	76212.027	41070.258	31145.33	15281.674	20308.323	25563.093	15575.787	44687.422	41500.962	19981.039	20481.469	34798.394	17700.423	61715.434	33576.157	41075.485
hsa-let-7a-3	37433.233	37594.726	45877.407	28439.432	42258.418	23961.64	34037.209	37313.114	53286.681	28799.927	15714.618	50762.463	77955.895	38958.675	14779.29	58820.828	50808.551	44900.989	40199.848	32614.407	88105.905	60070.88	82201.083	17282.286	45926.68	28839.746	62364.126	20631.604	31100.99	24248.417	38007.292	18956.963	38223.178	59530.752	14980.701	16505.362	29051.031	31570.973	56967.24	11831.276	21830.779	88038.293	10945.746	60497.29	21486.676	34951.895	100532.167	26107.535	34843.541	39530.496	15747.079	10317.263	33737.216	43940.275	20271.12	30599.694	40152.561	23846.694	28799.927	30378.257	27348.449	16503.64	29797.904	32974.587	43838.551	37665.336	49864.553	55456.407	21228.296	26931.998	30526.678	36082.039	21206.799	52993.232	8461.28	24386.091	19183.946	33534.324	41688.214	47631.178	44286.158	27521.979	55309.216	6505.562	50185.676	11802.534	28853.789	39682.162	23086.113	60639.922	29768.261	58012.957	23174.298	16921.509	18684.53	28635.11	18457.659	25125.465	40828.272	42570.459	7751.516	24272.868	10352.254	35392.058	26509.084	40294.149	35287.224	28950.001	39679.507	14096.764	20020.947	8466.544	11412.054	22190.466	29824.734	21067.544	15338.543	44946.705	40592.924	14676.55	15106.343	31731.808	16138.054	31869.067	38369.485	13321.332	35344.849	13415.518	16839.415	17754.83	33958.247	21429.178	18955.222	6838.951	57210.434	20792.749	10556.684	29799.174	26579.737	27179.17	76631.128	40605.261	31272.147	15422.986	20309.968	25647.259	16133.547	44791.259	41998.603	19934.655	20559.929	35128.869	17944.032	62629.234	34135.16	41212.064
hsa-let-7b	43630.044	66074.947	56558.41	38466.752	31665.269	40340.532	35343.832	34814.71	60017.409	36333.877	15358.763	57570.313	93770.532	59661.981	12327.202	101401.358	69276.718	69449.262	38114.186	54224.094	162376.999	87661.6	104729.368	17151.974	50927.454	25326.048	75803.16	18210.448	31504.193	23802.127	33005.387	14874.905	48909.282	56079.158	16964.865	11537.666	40614.692	36297.181	76312.917	14818.957	23525.025	74501.532	10927.91	73725.472	22860.336	36019.856	163530.348	32244.702	26846.093	49333.362	8157.964	12288.826	42034.388	49036.071	28504.975	38418.604	49435.72	44246.741	39408.277	26984.526	57583.837	16693.305	54677.324	35766.175	39381.632	44735.182	52819.886	87182.763	13959.729	38096.863	33209.121	33791.649	16750.555	56157.141	6912.02	26549.987	7410.605	41874.886	39368.261	14663.791	28219.325	28463.536	83817.024	9535.316	40921.002	8853.006	32972.245	56255.823	22693.04	89340.358	33965.53	97395.155	31297.585	36312.037	15194.557	26176.015	20579.476	33313.679	31425.533	49492.006	6193.002	37059.371	5909.37	40517.497	38787.866	31425.533	63583.823	34059.512	60335.992	16590.738	14669.414	11093.203	11921.547	32020.478	30738.005	32655.09	14092.381	50939.87	38544.235	18015.257	19779.42	26734.829	14572.038	70384.924	49000.219	21672.269	60941.795	15200.767	19434.072	29929.648	57942.392	23703.586	19585.716	8285.701	42456.291	13553.913	7598.508	35469.368	21241.228	34922.65	61308.814	49665.929	19562.37	17708.242	17730.389	23356.654	5572.988	26220.234	32999.43	26232.608	21967.092	38596.152	24060.372	57660.528	31378.222	42115.052
hsa-let-7c	4173.393	9652.944	6140.44	5931.755	5059.762	5464.125	5540.686	3900.487	13818.826	3757.501	1324.955	86915.425	23791.335	12802.196	2814.236	28959.805	26237.91	5322.739	42200.803	5790.671	163043.313	64847.232	132842.901	21851.985	15973.297	2785.663	29569.997	30065.951	52790.379	39799.033	51382.248	38094.982	15301.875	5639.658	1727.853	8629.508	3160.486	7092.357	41750.517	9918.626	6696.747	328304.842	364.349	145303.014	32717.239	6231.364	64368.818	4152.934	92758.4	8668.957	17644.212	764.842	1957.207	10159.458	6738.322	8428.856	4184.233	5281.311	3588.509	2280.855	5250.524	3346.829	4264.639	6349.107	4149.006	24702.793	4784.826	21592.878	31014.761	3961.55	1395.902	30018.624	14032.729	47574.13	4117.584	31401.592	30477.947	17657.902	58863.93	81995.472	124287.052	73109.002	52143.134	594.738	105775.499	6891.813	2706.922	7734.206	1532.589	31218.333	6138.315	33605.26	3025.488	7039.198	2084.581	2644.531	2717.64	7039.4	164157.487	67189.489	1702.962	6023.853	7233.327	11035.081	6707.454	2207.348	19234.944	4852.282	5226.861	1914.656	19337.966	866.959	422.835	10281.915	6137.082	5694.016	8882.384	11020.086	6439.828	929.968	1142.219	89798.264	1898.703	26515.564	7535.615	1424.453	13362.896	1058.248	25896.337	67201.559	16992.067	2371.956	34929.216	1104.077	5853.494	22566.006	8707.082	2686.048	4364.04	5756.283	7019.933	9245.68	12338.599	1342.463	24623.255	3343.324	279.648	63968.709	3604.37	1296.471	8086.496	4125.15	1590.756	7004.472	2617.546	5579.731
hsa-let-7d	1584.586	1158.966	1665.327	1140.446	1657.69	1298.139	1588.724	1671.637	2233.905	1218.393	699.618	5477.754	2992.317	1862.864	896.266	2149.258	1947.584	2259.544	3619.06	1576.006	5057.59	4873.113	4796.641	2478.128	1906.465	1645.253	1917.655	1620.903	2321.068	2351.107	2880.207	1488.367	1526.732	1993.912	808.363	727.631	1450.105	1089.914	3222.948	938.519	1451.991	2343.165	659.904	3523.841	1520.074	1272.972	3780.334	1310.686	2246.321	1723.285	1112.714	645.927	2221.448	2427.394	827.316	1617.038	2505.463	863.14	1210.458	1939.445	1271.538	937.439	1358.217	1247.853	1500.427	3345.676	2193.883	3281.685	1059.903	1325.061	1012.695	2593.935	1117.153	3988.946	416.359	2605.214	2525.756	2729.788	2696.875	2894.993	2396.545	3204.858	4453.418	458.241	3107.384	1140.897	1384.206	1594.918	1197.087	2613.67	1621.704	1736.788	1164.993	806.38	1002.084	1528.371	764.068	1161.428	3778.785	1681.629	533.696	1137.168	832.902	1811.413	1691.424	4384.297	2087.379	1792.811	2039.886	790.095	2961.101	705.814	927.846	1648.573	1546.822	2137.631	1025.324	1866.239	2019.982	854.088	1076.09	3993.991	1409.782	1402.043	1882.032	793.238	1742.137	1544.659	2489.767	1795.91	1779.452	995.446	2380.491	497.347	3108.163	1543.222	849.095	1216.703	1221.143	787.009	3581.912	1028.668	1588.071	826.461	1820.105	1288.384	623.83	4037.683	3300.816	1007.989	1313.352	2147.697	1913.518	3682.469	3095.358	1973.871
hsa-let-7e	3350.397	2831.326	3107.036	1807.5	2440.019	2153.293	3942.671	2621.111	4703.86	1625.787	2199.045	16817.525	9411.32	3779.547	1974.618	6039.205	6621.917	4013.084	11639.554	2381.264	17086.424	15023.919	19974.763	4247.75	4892.34	2137.34	7275.757	8415.987	7476.493	6446.948	9555.308	6913.263	3708.067	6240.605	1285.136	8973.215	3064.595	4376.705	11958.622	2903.103	2951.815	31657.052	649.713	15102.514	6834.85	3387.44	8169.272	2307.657	16569.6	5763.076	6910.446	985.106	1984.542	3348.172	1955.985	4086.408	2817.694	2892.897	1888.152	2956.486	2435.382	2577.276	3286.4	3651.528	4407.34	5741.646	3084.336	3308.183	15841.855	2704.651	3755.598	10840.659	9084.532	13836.83	1606.957	9883.197	13894.976	5460.841	9892.716	14905.068	20275.375	8770.027	18146.311	524.052	14607.194	2259.683	3089.525	3802.874	2138.081	4426.786	1866.07	5549.25	1738.209	2801.547	1555.085	2216.965	2300.778	3282.466	15644.843	7315.671	1213.36	3741.066	2493.137	3334.188	2332.091	2113.209	2720.847	1855.17	2751.681	939.027	5492.177	742.877	1023.469	1590.439	2185.155	1782.943	6352.501	5605.852	2256.332	1302.308	1431.781	11073.391	1360.155	4846.882	3440.823	2047.229	2785.464	944.927	5192.268	5809.82	3024.181	1573.888	7952.749	2006.48	2998.992	4122.505	2666.039	2837.211	3254.343	4007.756	4332.801	4706.712	7291.788	1022.727	13436.576	4445.249	2790.335	12782.393	3016.738	1741.072	1958.941	2467.387	1332.546	4096.805	1904.062	3184.814
hsa-let-7f-1	20585.395	12416.096	25602.591	12983.874	26216.458	10163.618	20052.89	22131.591	30060.134	12534.477	10001.939	17145.737	35708.72	16713.688	8361.78	20571.656	20466.234	18640.588	23023.653	12859.691	30973.475	25590.796	39004.499	9513.908	19105.065	15179.261	22352.61	6336.9	14515.298	9292.855	20722.517	7928.059	15588.519	35606.891	7683.928	7773.79	13847.43	15639.962	24576.375	4707.434	12509.339	28268.064	4356.896	20624.797	9950.125	15332.873	35922.124	11728.821	10402.614	18321.917	6456.064	5356.598	18292.777	24277.644	6884.319	14867.423	19063.857	8800.871	11161.528	16683.543	9305.085	8209.168	10828.344	16520.939	25769.501	22428.358	28628.537	27301.177	10011.548	12533.549	15219.773	18078.663	10410.835	26675.731	4495.737	11130.423	16039.472	17111.311	24060.004	28304.943	23347.621	13778.822	23192.648	3090.69	23683.434	5483.38	14814.964	16253.152	11426.921	26170.259	14155.197	20678.633	9086.29	4507.83	10069.085	14042.354	7627.823	9808.586	14843.935	12417.95	4876.248	7508.69	5983.975	14908.342	11337.329	27038.295	12653.009	12604.241	16774.372	6689.305	9602.709	4396.028	6468.026	9792.718	15121.559	10612.152	7505.52	18310.752	21121.296	7843.845	7231.046	16267.468	9203.102	9788.926	16034.711	5753.506	12716.62	7071.26	9540.989	9483.274	13335.537	11463.312	10442.159	3447.248	36386.061	11055.233	6317.741	13648	17255.015	9790.558	48839.177	16025.763	15891.244	9101.774	11244.551	13243.811	7507.477	28120.184	30681.807	9849.107	11196.753	19282.284	9909.563	37730.505	22471.524	18217.204
hsa-let-7f-2	20633.322	12467.575	25733.49	12840.421	26561.105	9967.164	20528.41	22652.594	30404.319	12536.372	9832.649	17699.225	36197.385	16953.274	8462.939	20994.677	20699.386	18420.587	23455.859	13036.56	31136.588	26011.705	39394.943	9463.536	19605.833	15304.675	22261.62	6365.929	14719.552	9722.975	21198.131	8207.919	15638.325	36599.224	7746.661	7985.015	13639.992	15607.082	25065.33	4787.56	12856.52	28920.504	4430.785	20849.622	10071.314	15742.894	36369.627	11580.762	10427.838	18674.261	6643.744	5303.897	18070.45	24084.837	6957.318	15300.985	19074.857	8794.959	11232.972	16427.187	9441.119	8375.239	10937.486	16477.398	25507.252	23173.192	28441.735	27683.36	10101.413	12277.261	15716.785	18389.407	10438.385	27765.637	4553.435	11388.868	16635.329	17392.831	24654.365	28861.269	24268.33	14195.39	23291.635	3327.123	24115.41	5735.439	14746.642	16828.035	11359.424	26224.284	14117.709	20637.596	9185.647	4185.694	10194.036	14003.377	7769.277	9992.94	15061.387	12563.715	4929.466	7674.075	6176.611	15133.31	11537.587	28018.902	12731.682	13048.546	16769.93	6797.848	9760.553	4367.022	6826.614	10269.85	15315.21	10775.245	7624.954	18655.257	21453.334	7856.198	7511.591	16459.039	9471.457	9787.113	16389.152	6094.429	12611.554	7297.903	9840.392	9682.518	13487.892	11336.101	10503.356	3467.757	37017.005	11642.998	6394.337	13927.07	17813.602	9824.776	49539.773	16387.154	16290.127	9320.165	11465.07	13756.575	7555.109	28635.51	31054.534	10027.852	11265.831	19200.628	10094.767	38615.708	22647.56	18295.498
hsa-let-7g	3891.073	2167.669	5212.329	2968.029	4501.56	2584.722	3857.365	4127.797	6339.068	2762.701	1375.051	4128.795	4733.411	4300.385	2011.035	3602.24	2721.436	3358.257	3723.11	3290.056	3146.068	3635.785	4241.245	1165.147	2992.775	2169.225	2861.889	1983.37	2265.363	2155.451	4284.064	1825.172	3874.767	4108.013	1849.735	880.728	2649.72	2257.766	3968.364	866.554	2058.401	3463.004	1003.87	3432.642	1903.383	2600.772	7494.182	2631.081	1844.097	2306.255	1184.764	936.459	3036.04	4689.171	1295.255	2715.168	4735.08	1397.183	4141.686	3587.794	1861.017	1836.763	2878.126	2342.322	3094.793	2685.917	6693.06	5637.976	1180.423	3533.496	1840.456	3389.693	1764.844	4419.791	967.605	2489.26	1421.798	4100.059	3329.253	4330.138	2548.469	2020.066	3723.325	660.55	4208.36	731.854	2706.922	2995.24	1897.869	5666.908	4093.136	2533.698	2303.782	683.76	2341.907	3468.954	2151.822	1799.874	3790.513	2683.191	976.162	1508.981	1698.095	3842.487	4734.392	8211.608	5867.751	3725.929	6497.21	2509.12	3224.175	1569.55	1946.832	4368.772	5223.811	4774.043	2281.252	3198.394	5183.439	2101.692	2266.402	4769.949	2727.662	1860.63	3885.123	1421.077	4582.577	3572.241	3898.633	3372.458	5196.355	2496.886	2850.414	836.603	6946.809	2611.886	1496.307	3116.281	3603.629	1195.911	9589.718	2260.85	2525.38	1530.166	1746.05	1353.127	1015.645	3528.919	6349.118	2660.82	3373.78	7604.758	4218.192	8488.898	6062.102	4675.874
