	TCGA.3G.AB0O.01A	TCGA.3G.AB0Q.01A	TCGA.3G.AB0T.01A	TCGA.3G.AB14.01A	TCGA.3G.AB19.01A	TCGA.3Q.A9WF.01A	TCGA.3S.A8YW.01A	TCGA.3S.AAYX.01A	TCGA.3T.AA9L.01A	TCGA.4V.A9QI.01A	TCGA.4V.A9QJ.01A	TCGA.4V.A9QL.01A	TCGA.4V.A9QM.01A	TCGA.4V.A9QN.01A	TCGA.4V.A9QR.01A	TCGA.4V.A9QS.01A	TCGA.4V.A9QT.01A	TCGA.4V.A9QU.01A	TCGA.4V.A9QW.01A	TCGA.4V.A9QX.01A	TCGA.4X.A9F9.01A	TCGA.4X.A9FA.01A	TCGA.4X.A9FB.01A	TCGA.4X.A9FC.01A	TCGA.4X.A9FD.01A	TCGA.5G.A9ZZ.01A	TCGA.5K.AAAP.01A	TCGA.5U.AB0D.01A	TCGA.5U.AB0E.01A	TCGA.5U.AB0F.01A	TCGA.5V.A9RR.01A	TCGA.X7.A8D6.01A	TCGA.X7.A8D6.11A	TCGA.X7.A8D7.01A	TCGA.X7.A8D7.11A	TCGA.X7.A8D8.01A	TCGA.X7.A8D9.01A	TCGA.X7.A8DB.01A	TCGA.X7.A8DD.01A	TCGA.X7.A8DE.01A	TCGA.X7.A8DF.01A	TCGA.X7.A8DG.01A	TCGA.X7.A8DJ.01A	TCGA.X7.A8M0.01A	TCGA.X7.A8M1.01A	TCGA.X7.A8M3.01A	TCGA.X7.A8M4.01A	TCGA.X7.A8M5.01A	TCGA.X7.A8M6.01A	TCGA.X7.A8M7.01A	TCGA.X7.A8M8.01A	TCGA.XH.A853.01A	TCGA.XM.A8R8.01A	TCGA.XM.A8R9.01A	TCGA.XM.A8RB.01A	TCGA.XM.A8RC.01A	TCGA.XM.A8RD.01A	TCGA.XM.A8RE.01A	TCGA.XM.A8RF.01A	TCGA.XM.A8RG.01A	TCGA.XM.A8RH.01A	TCGA.XM.A8RI.01A	TCGA.XM.A8RL.01A	TCGA.XM.AAZ1.01A	TCGA.XM.AAZ2.01A	TCGA.XM.AAZ3.01A	TCGA.XU.A92O.01A	TCGA.XU.A92Q.01A	TCGA.XU.A92T.01A	TCGA.XU.A92U.01A	TCGA.XU.A92V.01A	TCGA.XU.A92W.01A	TCGA.XU.A92X.01A	TCGA.XU.A92Y.01A	TCGA.XU.A92Z.01A	TCGA.XU.A930.01A	TCGA.XU.A931.01A	TCGA.XU.A932.01A	TCGA.XU.A933.01A	TCGA.XU.A936.01A	TCGA.XU.AAXV.01A	TCGA.XU.AAXW.01A	TCGA.XU.AAXX.01A	TCGA.XU.AAXY.01A	TCGA.XU.AAXZ.01A	TCGA.XU.AAY0.01A	TCGA.XU.AAY1.01A	TCGA.YT.A95D.01A	TCGA.YT.A95E.01A	TCGA.YT.A95F.01A	TCGA.YT.A95G.01A	TCGA.YT.A95H.01A	TCGA.ZB.A961.01A	TCGA.ZB.A962.01A	TCGA.ZB.A963.01A	TCGA.ZB.A964.01A	TCGA.ZB.A965.01A	TCGA.ZB.A966.01A	TCGA.ZB.A969.01A	TCGA.ZB.A96A.01A	TCGA.ZB.A96B.01A	TCGA.ZB.A96C.01A	TCGA.ZB.A96D.01A	TCGA.ZB.A96E.01A	TCGA.ZB.A96F.01A	TCGA.ZB.A96G.01A	TCGA.ZB.A96H.01A	TCGA.ZB.A96I.01A	TCGA.ZB.A96K.01A	TCGA.ZB.A96L.01A	TCGA.ZB.A96M.01A	TCGA.ZB.A96O.01A	TCGA.ZB.A96P.01A	TCGA.ZB.A96Q.01A	TCGA.ZB.A96R.01A	TCGA.ZB.A96V.01A	TCGA.ZC.AAA7.01A	TCGA.ZC.AAAA.01A	TCGA.ZC.AAAF.01A	TCGA.ZC.AAAH.01A	TCGA.ZL.A9V6.01A	TCGA.ZT.A8OM.01A
ENSG00000000005.6	22.27716965	86.3011762	3.624749516	8.072761984	7.418340613	17.32136361	0	4.230647383	15.83336658	13.5522814	4.748205197	9.597536439	24.18652219	1.129555978	11.51677715	11.67704731	7.450283473	12.92561586	33.82713531	6.039890662	8.273736838	46.26998034	3.599196274	6.976200113	2.901799579	0	5.461782683	19.98164949	16.10290477	2.321389776	53.65148387	27.2254421	2214.025344	9.831488897	42.96243662	5.16920446	2.309925114	21.57019265	51.30636204	26.61583366	27.7206078	3.308641813	3.944789333	8.188913745	34.22575364	3.55001586	0	24.66931588	4.299646958	2.043582908	47.82484983	59.41950963	10.93566955	1.493090162	1.856650664	31.73540053	0	13.74373646	12.9718205	13.39171494	41.71698826	17.24648694	15.25963883	6.168943622	5.080992809	73.75468792	116.4215098	18.66942909	6.043205638	5.068381583	12.69074625	23.78311762	12.10052502	6.081201704	2.836755025	21.17285327	1.931314116	2.718983623	7.691702492	29.24134399	4.484975343	5.162177594	1.90120613	20.84339506	0	35.22184275	3.316789933	11.53997187	18.02192848	11.78106489	31.03574413	7.975909429	49.2106529	2.001314265	2.642833474	5.386057621	10.79061681	0	34.15117564	22.67884515	22.00572017	16.57466774	16.5393404	6.076971135	10.89452778	4.871745416	28.67929023	7.936662275	44.03687882	8.140287655	8.377989981	24.70024226	4.039156519	5.107032981	5.859527668	2.365398408	15.2813081	21.29039904	4.928710253	2.807201782	2.464045174	63.36126038
ENSG00000000971.16	551.6251532	3912.574563	1558.642292	3706.406846	236.7687046	777.7292261	2306.69402	219.9936639	442.2787065	1610.01103	510.9068792	1421.80647	8654.319533	145.7127211	969.968564	1973.420995	189.5683239	1938.842379	616.5764209	1325.001014	673.4821786	3847.018365	471.4947119	1778.931029	1922.442221	907.3476089	1016.983936	1387.614548	399.7309301	329.6373483	2200.783869	2715.73785	3694.962296	865.171023	560.6962067	6565.751199	6668.176323	158.1814128	926.8246046	3487.374626	865.1139683	422.4032714	3330.980113	2157.505808	3672.749325	1462.606534	2833.315973	2376.47743	831.9816863	222.750537	2754.71135	2012.233664	11070.02206	1576.703211	345.3370235	1086.798278	1620.745928	1098.775562	418.3412111	12594.9079	2514.938435	2311.029251	212.7373178	1157.117568	1096.768591	4948.93956	9824.184327	26594.60174	21639.20859	3460.859891	5818.284131	2553.065974	583.245306	498.6585397	7684.769363	436.4339754	3255.229943	2232.285555	871.9593643	1020.006881	501.5697425	1387.76541	1438.262437	1300.873068	189.4348816	4295.303723	2571.617795	11995.80076	1029.37015	9745.885931	3751.36303	3660.144837	5656.76455	6324.153079	1946.446853	22836.88431	12973.55859	1408.33578	6890.3159	1981.933859	1656.430573	6569.369558	4782.625932	4049.288433	687.4447031	661.3394403	14767.68352	634.932982	5787.326615	14884.82906	11594.49367	725.0247582	182.4352361	6151.056437	561.3427506	2101.656485	1135.910569	1881.834715	729.4491175	941.816198	8152.704131	853.114113
ENSG00000001626.16	1.060817602	6.109817784	32.62274564	4.036380992	16.07307133	13.85709089	3.217146471	2.820431589	3.166673316	2.71045628	35.13671846	37.70460744	6.364874262	1.129555978	15.35570286	59.21931134	0.827809275	24.55867013	7.687985298	10.56980866	0	16.05285032	3.599196274	19.93200032	8.705398737	20.97464507	65.54139219	4.440366554	7.577837538	218.210639	10.73029677	12.64038383	59.04067583	2.681315154	15.29171473	24.98448822	70.45271598	0	1.655043937	16.10958353	25.41055715	0	93.88598614	2.729637915	16.29797792	7.100031721	2.047933483	4.698917311	6.449470437	6.130748725	16.73869744	27.30085577	1.562238507	37.32725406	1.856650664	130.2821706	1.644592519	5.063481852	15.40403684	49.10295477	33.20331719	20.8773263	0.897625814	43.18260535	7.258561156	17.91185278	12.31381354	1.037190505	54.38885074	2.534190792	30.457791	9.30643733	4.840210009	6.081201704	4.727925042	2.731981067	7.725256466	1.359491812	148.2400844	4.300197645	3.737479453	6.022540526	6.654221455	11.03473856	7.679792497	19.37201351	2.211193289	37.50490858	6.360680641	14.72633111	4.622344871	7.178318486	4.92106529	4.002628531	31.05329331	49.24395539	48.55777564	3.959706973	30.98902975	204.1096063	18.00468014	21.54706806	4.594261222	208.6426756	25.0574139	47.49951781	91.77372874	19.04798946	9.688113341	14.40204739	13.53367612	1.452955427	1.346385506	18.2394035	0	2.365398408	50.93769366	3.548399839	18.07193759	0	17.24831622	67.88706469
ENSG00000002933.9	447.6650282	1393.038455	681.452909	713.4303403	740.5976712	568.1407264	731.3646311	300.3759642	470.7787664	139.5884984	420.6909804	970.722257	1089.029986	361.4579128	550.2460192	984.208273	194.5351796	778.1220747	1938.909892	762.5361961	766.1480312	915.9567536	512.5255494	453.4530074	192.2442221	1022.319737	1216.885182	4324.917024	324.8997844	1223.372412	2448.653724	494.919644	1717.802521	323.5453619	441.2751964	924.4260643	1611.750248	675.8660364	1027.782285	833.4958435	1350.224605	1017.958798	889.1555158	2003.008302	876.8312123	208.2675971	504.8156035	2342.41028	773.9364524	598.7697922	380.2075562	1021.373193	5167.884982	1876.814334	489.2274499	616.3348839	547.6493089	642.3388407	570.7601019	206.8275974	615.5384187	914.9715179	263.9019892	624.8258611	1292.023886	925.0945142	177.9905775	1524.670042	1105.151231	1117.578139	1898.535639	133.3922684	428.3585858	644.6073806	1611.276854	904.9687283	380.4688809	270.5388705	1348.145673	14682.59484	240.6936767	1073.73294	258.5640337	709.9015141	6658.380095	1894.93514	1373.151032	2711.89339	430.4060567	809.9482112	658.3539766	385.2364254	1427.108934	152.0998842	1557.289624	467.0481394	270.8444819	13390.40908	820.2606446	926.8745409	612.1591246	845.3080547	997.8735374	301.8228997	248.3952334	571.2121501	1038.190306	777.792903	1738.575976	541.642217	1301.810751	534.6875972	126.5602376	644.2157317	570.7179949	2503.774215	2725.166611	441.18438	565.1587757	1657.652652	1312.514729	828.2221892
ENSG00000003096.14	216.4067909	1280.006826	253.7324661	302.7285744	274.4786027	304.8559995	165.1468522	689.5955235	198.4448612	173.4692019	284.8923118	501.8140481	1037.474505	286.9072183	84.45636573	227.7024225	513.2417504	798.8030601	216.8011854	568.5047086	173.7484736	483.4740802	495.9692466	326.8848053	377.9593952	257.9104505	412.9107708	75.48623142	143.0316835	71.96308307	252.1619742	533.8131327	502.5486098	338.7394811	503.8984091	1066.579187	513.3808566	125.1071174	125.7833392	283.6687535	227.539989	252.5596584	619.3319253	151.7678681	905.3526737	1986.825543	530.414772	62.26065437	141.8883496	155.312301	569.115713	655.2205386	65.61401731	79.1337786	164.3135838	469.349871	231.8875452	224.9632652	395.6405252	165.9084684	526.1448724	462.0243081	368.0265835	228.250914	1517.039282	950.3818358	209.3348301	405.5414874	717.6306695	663.9579874	893.428536	267.8185854	220.2295554	961.5900194	1223.587001	32.7837728	266.5213481	110.1188367	104.1876065	250.271503	340.8581261	424.1589256	360.2785616	218.2426071	33.27910082	665.6928279	289.6663208	1542.509573	587.3028458	1415.936737	308.3764364	606.9667076	554.8501114	90.7262467	317.1400168	647.0963513	277.318852	59.3956046	316.2145893	303.6993177	298.0774823	1597.79797	603.6859245	417.2853513	451.0334502	243.5872708	796.5672862	212.702549	1244.482196	239.1992219	1021.470317	159.825097	770.1325095	1041.834728	336.3368881	108.8083268	45.8439243	343.0119845	359.7958485	206.329331	1080.894483	95.04189057
ENSG00000003989.18	83.80459058	1199.815467	298.4377101	756.821436	655.2867541	299.6595905	2190.876747	94.48445823	96.05575727	33.8807035	25.64030806	265.3033287	1156.497653	253.020539	4128.124786	212.6890759	28.14551534	276.6081794	278.3050678	273.3050525	167.1294841	1127.476664	362.0791452	295.9902048	248.8293139	197.3170314	229.3948727	57.72476521	114.6147928	60.35613419	812.2834659	372.4051545	1563.875044	170.7103981	302.1934101	910.6415191	539.3675141	822.5433465	183.709877	202.4204191	324.5621163	449.9752865	538.0692651	602.7040517	837.7160653	55.61691515	624.6197122	271.3624747	73.09399828	517.0264758	276.1885078	216.8009135	588.9639173	195.5948113	251.576165	231.6127477	347.8313178	213.3895924	162.1477562	2237.160379	306.4921587	1361.564759	47.57416812	296.9905715	660.5290652	532.0873914	157.8407008	208.4752915	84.60487893	616.6530926	1131.168516	2066.029087	747.8124463	731.2645049	187.2258316	58.73759293	104.2909623	202.5642799	195.089545	92.88426914	68.02212604	82.5948415	1693.974662	203.5296223	639.9827081	389.2013624	298.511094	2023.341735	399.6627669	1479.996277	2718.599119	444.2581552	84.88837625	1757.82103	258.9976804	83.86861152	276.2397903	30.35775346	307.9930099	140.0172179	213.0553816	2674.32264	1154.997271	125.5907368	140.5394084	148.5882352	575.7367514	4676.281413	1358.978081	93.30022004	1183.87443	177.2605621	39.71837243	761.6774903	3902.445427	981.6403392	669.8306717	246.0223888	322.0090699	244.2265551	549.4820737	88.2531841
ENSG00000004468.13	11277.55193	190.9318057	6342.103403	2352.201023	215.7500728	9337.947122	450.400506	16166.00876	13763.41779	14238.02684	5061.58674	3450.999888	2507.760459	20.3320076	2254.729037	5338.078769	10327.74851	9859.659777	8756.615254	10690.60647	12743.20948	319.1684358	14996.4112	9624.166357	4222.118388	1398.309671	4128.015352	994.6421082	2239.250993	5752.403866	2744.809915	17666.39491	5416.279143	13897.25644	17586.92829	2246.019338	6335.547107	17733.57439	11196.37223	8173.862599	7462.618624	11072.92127	6550.717167	372.8685392	5400.334985	56.80025377	11014.81024	468.7170018	6569.860551	10626.63112	13616.93037	11821.27055	7037.884476	2809.995685	11065.63796	4681.80672	7674.49099	14162.55874	826.9535568	37.19920816	13558.02119	2696.805932	17758.62909	4559.730614	352.7660722	37.93098236	2395.596452	405.5414874	42.30243946	11147.90529	1893.459341	13098.29352	2801.271543	3373.546645	78.48355569	1452.730932	146.7798728	4048.566615	256.623165	1973.790719	6218.418313	11901.40044	10722.80257	7072.041335	7628.593881	7865.037485	8778.437357	668.3567042	10150.58619	7582.58789	5500.590396	11752.50254	558.5409104	99.39860851	6442.5673	33.85521933	44.24152891	1193.191701	54.38890935	10036.86803	10574.7488	249.4487495	11055.6302	3847.735557	1212.560942	10161.243	63.81142077	1065.100077	4539.321469	1557.925822	5808.5249	12076.96551	22118.4211	8912.502127	12139.76942	1841.46266	1222.504648	2922.698668	7118.700509	9260.95868	393.4258794	7754.96569
ENSG00000004776.13	26.52044006	6.109817784	8.45774887	43.39109566	0	46.76768175	273.4574501	4.230647383	60.16679301	85.37937282	10.44605143	44.55999061	5.091899409	7.906891843	89.57493335	24.18816942	8.278092748	16.80330062	16.91356766	3.019945331	6.61898947	33.99427127	18.71582063	11.95920019	5.803599158	30.29670954	12.0159219	68.82568159	45.46702523	2.321389776	12.87635613	4.86168609	6923.924972	4.46885859	284.7171647	14.6460793	4.619850228	4.31403853	1.655043937	52.53125064	2.31005065	20.95473148	4.7337472	69.87873063	2.444696689	30.76680412	3.071900224	15.27148126	32.24735218	4.087165817	2.391242492	4.817798078	399.9330579	68.68214746	5.569951992	233.2830319	2.466888779	52.80488217	4.864432687	4.463904979	0	166.1109006	3.590503254	7.050221282	6.532705041	3.160915197	21.26931429	5.185952525	0.755400705	6.757842111	3.384199	20.68097185	100.4343577	4.560901278	63.35419556	64.88455033	11.5878847	6.797459058	22.37586179	125.5657712	8.969950686	30.97306556	1.90120613	19.617313	43.51882415	3.522184275	7.739176511	0	8.480907521	1.472633111	116.2189567	5.5831366	12.30266322	58.70521845	56.82091968	6.155494424	2.158123362	25.07814417	20.23773371	1.972073491	4.00104003	4.143666935	3.675408977	13.16677079	7.626169448	8.525554479	25.81136121	7.936662275	1.761475153	6.261759734	20.62274457	7.264777136	2.019578259	10.21406596	10.5471498	48.49066736	203.7507747	10.64519952	11.50032392	15.4396098	56.67303899	18.10321725
ENSG00000004799.8	1940.235395	8556.036079	383.0151988	3501.56051	2683.584717	2615.525905	1519.565517	2609.604328	1358.502853	821.2682529	254.5037986	1153.760988	3395.023931	1972.204737	20753.23242	1080.126876	288.0776276	1022.416214	590.4372709	1143.804294	441.8175471	6891.394214	992.6583324	543.1470088	17021.95633	26758.20924	2051.445576	261.9816267	1739.113715	1996.395208	2925.078901	855.6567518	18845.9243	598.827051	696.8652854	2165.035135	691.2450904	488.9243668	822.5568366	1103.85668	676.8448403	812.8230053	629.5883776	2528.190637	2580.784804	37066.89894	529.3908052	1167.680952	365.4699914	478.1984006	815.4136896	1029.402856	2135.58004	997.3842284	6887.245638	8844.711803	4590.880017	650.2957408	2791.373624	2612.872381	1405.607094	6706.160292	372.5147126	1104.240908	1663.662217	2649.900573	1168.692848	1396.05842	1463.966566	1032.260382	1736.094087	1618.286047	6525.813144	1235.244096	49.17042043	6695.402599	10602.9145	5353.678754	1838.316896	735.3337974	1482.284351	543.7493732	1995.315833	834.9618844	458.227619	3300.286665	423.4435148	3865.890577	1568.967891	2682.401212	6006.406992	561.5040238	16839.88542	360.2365678	2031.017524	1255.720862	860.0121596	203.264958	896.7845752	938.7069819	898.2334868	2297.248949	2793.310823	1068.534091	1316.058956	640.6345223	1005.926105	8471.593313	1997.512823	616.1571579	1999.761762	1833.629749	1238.001473	1788.920696	2182.088104	260.1938249	1146.098107	3665.497034	734.3778277	419.6766665	1182.741683	588.3545607
ENSG00000004838.14	76.37886737	29.02163447	82.16098903	47.42747666	42.03726347	55.42836355	53.61910786	66.28014234	55.94456192	74.5375477	37.98564158	56.89968032	25.45949705	92.62359016	85.73600764	74.23265788	42.21827301	46.53221709	139.9213324	43.7892073	82.73736838	31.16141533	54.70778337	39.86400065	29.01799579	68.36180615	58.98725297	353.0091411	61.56993	104.4625399	57.94360258	46.67218646	33.73752905	53.62630308	46.60332107	24.12295415	57.17064657	80.52871924	77.78706503	55.33291734	72.76659546	78.3045229	35.503104	40.39864114	27.70656247	35.5001586	70.65370515	111.5992861	113.9406444	57.22032144	59.78106229	48.17798078	92.17207193	58.23051633	62.19779724	29.50835488	53.44925687	82.46241874	25.943641	37.94319232	45.9738238	27.23129517	51.16467137	60.80815855	20.32397124	45.30645115	62.68850527	37.33885818	26.43902466	43.08124346	37.226189	48.60028384	36.30157507	23.5646566	28.36755025	68.98252193	26.07274057	39.42526254	307.6680997	43.00197645	41.11227398	67.10830872	48.48075631	72.33884168	255.9930832	63.39931694	44.22386578	21.1566151	56.18601233	36.81582778	42.26143882	51.04582035	25.83559277	86.72361817	53.51737784	41.54958736	24.81841866	27.71794881	28.45931303	94.65952758	58.01508044	29.83440193	39.51064651	59.75688283	54.47263891	73.07618125	78.15106588	19.04798946	34.34876548	64.49612526	50.91240065	66.83594966	48.46987822	102.1406596	62.11099328	17.74048806	84.04719455	34.30119845	103.5029153	95.4448606	23.81910335	418.6368989
