	TCGA.3G.AB0O.01A	TCGA.3G.AB0Q.01A	TCGA.3G.AB0T.01A	TCGA.3G.AB14.01A	TCGA.3G.AB19.01A	TCGA.3Q.A9WF.01A	TCGA.3S.A8YW.01A	TCGA.3S.AAYX.01A	TCGA.3T.AA9L.01A	TCGA.4V.A9QI.01A	TCGA.4V.A9QJ.01A	TCGA.4V.A9QL.01A	TCGA.4V.A9QM.01A	TCGA.4V.A9QN.01A	TCGA.4V.A9QR.01A	TCGA.4V.A9QS.01A	TCGA.4V.A9QT.01A	TCGA.4V.A9QU.01A	TCGA.4V.A9QW.01A	TCGA.4V.A9QX.01A	TCGA.4X.A9F9.01A	TCGA.4X.A9FA.01A	TCGA.4X.A9FB.01A	TCGA.4X.A9FC.01A	TCGA.4X.A9FD.01A	TCGA.5G.A9ZZ.01A	TCGA.5K.AAAP.01A	TCGA.5U.AB0D.01A	TCGA.5U.AB0E.01A	TCGA.5U.AB0F.01A	TCGA.5V.A9RR.01A	TCGA.X7.A8D6.01A	TCGA.X7.A8D6.11A	TCGA.X7.A8D7.01A	TCGA.X7.A8D7.11A	TCGA.X7.A8D8.01A	TCGA.X7.A8D9.01A	TCGA.X7.A8DB.01A	TCGA.X7.A8DD.01A	TCGA.X7.A8DE.01A	TCGA.X7.A8DF.01A	TCGA.X7.A8DG.01A	TCGA.X7.A8DJ.01A	TCGA.X7.A8M0.01A	TCGA.X7.A8M1.01A	TCGA.X7.A8M3.01A	TCGA.X7.A8M4.01A	TCGA.X7.A8M5.01A	TCGA.X7.A8M6.01A	TCGA.X7.A8M7.01A	TCGA.X7.A8M8.01A	TCGA.XH.A853.01A	TCGA.XM.A8R8.01A	TCGA.XM.A8R9.01A	TCGA.XM.A8RB.01A	TCGA.XM.A8RC.01A	TCGA.XM.A8RD.01A	TCGA.XM.A8RE.01A	TCGA.XM.A8RF.01A	TCGA.XM.A8RG.01A	TCGA.XM.A8RH.01A	TCGA.XM.A8RI.01A	TCGA.XM.A8RL.01A	TCGA.XM.AAZ1.01A	TCGA.XM.AAZ2.01A	TCGA.XM.AAZ3.01A	TCGA.XU.A92O.01A	TCGA.XU.A92Q.01A	TCGA.XU.A92T.01A	TCGA.XU.A92U.01A	TCGA.XU.A92V.01A	TCGA.XU.A92W.01A	TCGA.XU.A92X.01A	TCGA.XU.A92Y.01A	TCGA.XU.A92Z.01A	TCGA.XU.A930.01A	TCGA.XU.A931.01A	TCGA.XU.A932.01A	TCGA.XU.A933.01A	TCGA.XU.A936.01A	TCGA.XU.AAXV.01A	TCGA.XU.AAXW.01A	TCGA.XU.AAXX.01A	TCGA.XU.AAXY.01A	TCGA.XU.AAXZ.01A	TCGA.XU.AAY0.01A	TCGA.XU.AAY1.01A	TCGA.YT.A95D.01A	TCGA.YT.A95E.01A	TCGA.YT.A95F.01A	TCGA.YT.A95G.01A	TCGA.YT.A95H.01A	TCGA.ZB.A961.01A	TCGA.ZB.A962.01A	TCGA.ZB.A963.01A	TCGA.ZB.A964.01A	TCGA.ZB.A965.01A	TCGA.ZB.A966.01A	TCGA.ZB.A969.01A	TCGA.ZB.A96A.01A	TCGA.ZB.A96B.01A	TCGA.ZB.A96C.01A	TCGA.ZB.A96D.01A	TCGA.ZB.A96E.01A	TCGA.ZB.A96F.01A	TCGA.ZB.A96G.01A	TCGA.ZB.A96H.01A	TCGA.ZB.A96I.01A	TCGA.ZB.A96K.01A	TCGA.ZB.A96L.01A	TCGA.ZB.A96M.01A	TCGA.ZB.A96O.01A	TCGA.ZB.A96P.01A	TCGA.ZB.A96Q.01A	TCGA.ZB.A96R.01A	TCGA.ZB.A96V.01A	TCGA.ZC.AAA7.01A	TCGA.ZC.AAAA.01A	TCGA.ZC.AAAF.01A	TCGA.ZC.AAAH.01A	TCGA.ZL.A9V6.01A	TCGA.ZT.A8OM.01A
hsa-let-7a-1	114345.29	236580.972	65591.788	173514.36	102708.457	90343.495	105599.59	114997.028	89046.218	91304.756	89976.207	198948.635	138117.736	115423.648	161921.614	118544.558	68473.498	191097.527	154081.128	169947.572	98578.471	315157.382	97794.803	177154.079	113720.039	155219.013	134876.83	159652.176	140814.807	106946.12	257030	144702.606	237067.593	120088.778	85276.329	312820.049	139009.353	91694.258	118741.17	194971.128	143141.368	69512.574	121666.218	149142.791	198382.418	113890.064	198851.116	200617.45	139195.312	97280.579	192829.913	148190.208	57598.692	86228.491	82230.911	58018.243	169174.364	93792.892	184095.736	146213.172	157877.468	199826.479	76146.741	103972.744	358735.864	363693.345	367065.443	468366.05	421244.345	166197.728	450739.878	199711.402	135554.683	84427.318	129957.758	170594.045	198191.312	116554.149	259285.483	116558.714	167522.704	84479.356	149018.083	131835.458	97041.002	124564.237	156676.143	236711.608	180499.06	229586.393	125690.856	140206.857	128774.417	203791.475	63801.553	339116.605	226635.065	153674.776	114039.616	142229.81	108851.881	201888.328	230799.307	229216.799	175417.877	70210.23	362045.26	140710.154	296798.992	80939.483	262339.627	73178.906	73146.621	169041.45	142134.509	156317.29	51238.137	117205.416	180820.976	61353.947	192409.907	103118.927
hsa-let-7a-2	114779.444	236536.549	66109.51	173193.016	102692.344	89676.5	104627	114270.911	89109.683	91146.97	90019.536	198408.275	136544.867	115173.383	160886.652	118304.655	68632.718	189990.903	153962.156	169704.228	98402.611	314189.29	97609.139	176233.805	114644.795	153207.977	134867.921	158648.101	140801.176	106513.501	256557.101	143223.046	237895.254	119622.751	85297.361	312724.379	138663.162	91498.771	118431.265	195585.936	142042.369	69337.666	121045.745	148671.412	197740.481	113729.173	198808.057	200507.354	139315.395	97433.257	192553.49	147462.605	56940.78	86202.609	82238.966	58673.993	168721.274	93230.821	184359.048	145846.01	156796.161	199004.885	76155.317	105131.94	358730.023	362397.522	366579.537	468419.008	419013.163	166170.104	450352.865	200560.584	135118.187	85071.495	129132.442	171026.195	198318.55	116977.28	258508.686	115493.407	167511.908	84273.965	149270.689	132031.241	96186.31	125359.711	155596.434	235752.866	179826.172	228847.295	127055.024	139574.406	129437.502	203059.869	63684.502	337145.903	224816.867	153299.914	113963.483	141030.422	108523.298	201472.2	229443.82	228239.533	175003.687	69600.447	363015.176	140924.94	295514.592	80718.711	261246.399	72609.293	73784.734	167432.26	142228.059	155278.297	50697.655	117738.498	181028.324	61162.686	192042.937	103262.569
hsa-let-7a-3	114797.841	237821.907	66536.404	173525.617	103134.562	90749.01	105801.994	114329.048	89795.824	91214.429	90063.393	199293.051	138760.689	115364.973	161820.52	118177.601	68442.928	190338.296	155231.934	169875.884	98618.613	314562.057	97290.028	176278.442	114412.222	154606.023	134974.827	160901.692	141641.145	107608.026	257505.005	145082.803	238412.694	119586.242	85592.857	312876.105	139747.555	91014.303	119593.173	195070.719	143579.757	69808.027	122041.794	149115.979	197838.599	113614.386	199049.036	200335.499	138823.694	97261.979	193195.316	148633.413	58115.216	86578.512	83008.726	58341.841	169050.29	93275.723	184806.554	146596.872	157696.945	200006.254	75553.285	104536.061	359734.635	364300.067	367590.9	468892.447	420274.377	167456.726	450597.332	199430.171	135168.699	84353.698	130730.13	170091.265	197962.043	116730.057	261101.064	116700.847	166795.537	84426.735	149222.13	132502.647	96724.299	126080.962	156076.205	237249.168	180035.663	229398.631	126875.649	140884.483	129946.42	203545.627	64091.435	338541.38	226147.516	154633.617	114695.808	142339.393	108642.578	201945.117	230291.922	229263.395	175298.584	69782.895	361970.9	139921.451	296335.613	81137.769	262690.083	73468.06	73101.041	168540.998	142472.915	157183.91	51159.437	117738.498	180877.414	61653.469	192188.222	103910.933
hsa-let-7b	94327.818	572792.885	89750.65	236969.513	134393.347	89116.608	265945.468	67159.907	98231.882	95589.008	65320.993	590491.055	477625.501	94051.736	226471.657	87855.882	44000.754	260249.938	344873.496	190737.05	80705.681	548716.632	72195.371	250027.586	208729.002	293749.891	298161.911	187236.36	195996.294	107708.249	527947.389	230716.366	360113.057	72049.401	81089.962	534516.548	277877.006	67332.469	189875.954	252480.235	288917.394	72760.192	338964.512	331137.717	464489.67	153367.613	358179.334	401101.532	75336.768	104652.516	259635.197	312551.679	120371.746	183663.827	62249.384	51011.691	231850.368	147349.199	197163.047	138242.283	222494.836	161476.715	41585.652	92721.051	703710.041	917115.521	826421.997	962955.558	717876.082	309502.461	708217.958	316551.428	226445.788	35287.504	240209.658	187427.431	135922.677	76121.808	335816.527	58849.959	100174.363	67822.316	168106.289	111176.895	128561.056	283681.559	258598.317	590258.888	305991.562	570279.026	145910.024	264197.369	221840.051	289933.335	96131.209	543111.739	382330.574	199843.196	208381.996	173049.019	203412.683	499269.551	361825.19	474921.188	164089.528	79112.094	566048.425	66194.467	555222.522	66849.942	446548.999	81488.292	38553.486	381903.376	107687.075	188281.176	76373.434	86410.138	351712.558	78207.787	389924.827	135450.17
hsa-let-7c	19421.429	80756.197	34199.951	109188.303	2183.344	22212.489	287699.935	31519.655	26839.718	22484.604	10813.737	57098.713	60260.73	114605.796	39680.91	38375.049	19329.303	47886.907	41107.648	53608.705	25512.213	80755.113	21297.243	42834.981	25473.699	50520.861	83781.534	108820.858	35497.605	4122.131	73015.964	32085.389	121907.584	31923.883	23962.509	77804.584	51771.71	2423.551	24591.998	41048.72	37004.53	14437.797	45257.487	44003.506	96853.098	79458.469	49561.695	77093.426	43030.194	27309.182	44560.195	44643.271	20264.158	37285.898	34587.267	42176.878	51060.721	23299.888	73681.562	38203.868	45505.747	53715.212	2845.501	42053.427	128903.27	107057.701	75979.352	119296.13	95711.166	54686.034	113798.789	12301.477	46922.298	35001.389	59493.379	37528.237	49884.529	28331.735	11307.534	66425.785	57171.182	24921.907	53671.722	36314.944	26311.713	44856.324	44420.509	115720.65	59341.467	79577.648	66824.823	31232.538	64834.791	7301.808	11188.362	66736.552	48616.59	40663.218	78429.426	49686.686	32237.072	71021.673	70514.835	58808.51	33733.124	45093.967	87286.75	54576.398	90063.486	87239.66	74615.961	21571.357	6573.574	76452.195	57191.396	23958.65	4549.537	36126.985	50929.092	18881.931	72268.002	35285.781
hsa-let-7d	5826.502	5147.988	8692.286	6767.663	12396.45	5993.354	5940.683	7795.081	5983.674	6994.067	4155.349	5029.845	6002.961	4832.868	4141.853	9340.443	7473.148	5246.142	6117.613	5548.245	6182.838	5075.896	7999.037	5993.649	6862.297	5479.864	8345.725	6646.421	6129.383	8573.052	5010.349	7175.639	7369.24	8006.205	5796.347	6219.254	6432.538	8488.5	5851.671	4412.542	5086.004	7517.109	6408.468	5876.245	6857.762	6299.208	5677.748	4634.735	6497.269	6014.112	5071.88	6106.26	4207.447	5958.99	6486.567	6878.966	7475.435	6131.465	10197.46	19857.345	4445.981	4300.764	6866.765	11427.526	4629.227	5034.225	4919.801	4461.133	4514.968	5894.017	5668.344	6711.144	6596.036	7350.308	9865.387	9319.56	13323.987	9617.918	6020.181	1789.772	6761.698	5773.015	7474.693	6891.279	4211.539	5348.068	4663.194	7859.463	6037.486	7471.206	7196.73	6502.199	5622.961	7411.074	6189.949	4561.178	4529.529	6409.828	7353.457	5728.401	6864.219	6809.801	5639.662	5364.89	7905.912	7305.237	4468.078	13424.117	6284.126	10924.122	6166.077	7360.394	7326.479	5791.61	6043.31	5786.976	5726.561	8749.329	4872.065	5077.444	5314.174	5529.547
hsa-let-7e	5663.878	10394.29	3032.157	12809.744	11824.43	5379.541	1635.002	5845.718	6588.388	6255.442	8449.668	10467.119	6524.148	18971.044	9095.46	8953.757	2499.116	7889.352	5019.067	10169.81	4031.413	14970.796	4051.737	6621.411	4770.521	2768.61	7682.914	6764.958	5855.925	11635.989	11605.683	4166.13	37294.976	4027.8	3906.645	16335.539	7885.184	2225.636	5140.108	11128.953	5980.076	3612.404	4746.67	9610.09	7757.517	6039.525	7730.984	10365.051	7784.785	5025.968	7735.456	5508.401	2638.491	5309.478	3453.177	7587.462	9755.287	4175.041	18484.982	16953.954	5471.789	14599.169	2344.665	4714.933	19361.315	14588.792	11616.549	22098.074	22028.272	6179.468	20854.487	8467.126	4864.35	8551.656	12154.472	8211.77	11917.166	7370.093	21219.03	5641.162	12718.75	4398.932	6972.914	6178.963	3478.656	4549.367	5841.547	15806.488	7506.884	10489.901	8140.451	3531.185	9777.188	13079.833	4222.041	13814.566	12575.165	16233.687	13620.512	7786.387	3131.659	8262.82	10277.468	9525.828	6207.659	6918.446	18707.248	10337.436	17758.72	11930.883	14472.856	2340.412	5569.137	6168.562	3815.2	7026.872	3772.956	4058.036	3997.277	3834.847	9319.53	6795.966
hsa-let-7f-1	80113.301	44223.615	33348.434	76631.27	60860.591	51108.965	32381.982	71081.177	60484.563	51534.506	48402.105	52480.613	26167.17	90765.961	78719.222	81279.85	42081.198	68171.654	45110.448	78773.115	56894.729	75513.679	64542.52	67585.496	42054.237	71522.627	42528.634	90478.352	53614.853	64561.066	53865.639	57863.178	70373.177	67516.918	44971.11	75146.022	35434.539	59661.128	47723.419	74590.94	41889.931	40081.53	31327.199	47933.688	45053.512	43130.054	66101.649	45943.672	96943.881	66776.014	90264.007	44789.622	25139.78	36769.493	54642.19	31011.299	92510.168	40391.336	88680.444	94866.723	61414.92	136356.253	56122.749	46929.541	81528.792	55236.564	84359.822	78084.663	85575.261	44225.639	95436.006	69005.978	50325.628	65863.314	37231.635	77979.291	115535.776	66961.251	86977.505	23640.995	105632.241	45517.022	79057.426	75613.146	53520.752	32439.351	57773.386	52022.532	67690.756	41717.221	61715.476	38677.39	42120.815	59376.481	25670.592	55808.593	41869.668	55558.556	38327.404	53516.057	28531.519	36994.208	64921.915	51496.644	97112.305	42471.574	72551.306	74134.616	71290.93	43249.832	63378.008	40633.811	53694.313	32649.231	125821.071	56879.503	31221.793	67492.911	39408.394	34327.175	41011.693	44556.601
hsa-let-7f-2	81843.297	45371.334	33619.405	78189.89	62129.956	52267.896	32205.864	72288.999	62546.577	51936.976	49376.478	53101.251	26472.747	91193.447	79796.224	82690.071	43363.874	69786.782	46590.372	80424.567	58397.19	76147.017	65586.882	69179.117	42570.605	72740.242	42858.258	91181.205	53966.685	65616.655	55146.116	59058.736	71259.693	68849.496	45408.57	76164.751	36312.744	60866.832	48965.846	76305.232	42749.415	40961.585	32606.217	48645.515	45901.077	43820.662	67566.411	46947.059	99376.804	67561.103	91820.434	45937.595	25225.297	37584.155	55550.685	31932.914	94166.329	41545.145	89516.119	95832.591	62344.978	138638.822	57369.692	47253.53	83390.329	56324.48	86598.663	79208.419	87211.119	44900.341	96232.839	70649.467	50818.353	66604.536	39110.658	79822.199	120001.112	68313.37	89333.546	24175.028	107484.135	46022.013	80341.549	77403.657	54915.462	33304.207	59304.169	53257.258	68951.404	42865.981	62903.697	39936.269	41708.045	61102.169	26254.929	57648.264	42962.929	56227.73	39476.646	54763.613	29728.819	37844.087	66337.673	52767.342	100460.648	42703.486	73587.5	75953.367	72695.58	44329.162	64232.731	41033.844	54781.468	33333.091	126720.775	57759.199	31658.113	69441.877	40943.261	35480.757	41667.981	45099.541
hsa-let-7g	10166.577	8164.393	7480.482	6654.067	10982.066	10337.317	11161.125	9693.427	10141.232	9534.661	6444.385	9485.665	9100.613	5740.528	10879.119	7455.94	8977.458	9049.344	10900.96	9712.718	10244.836	10725.657	8736.859	9515.191	5855.864	12920.579	8928.358	12973.491	10588.201	8764.846	8397.123	8650.618	8277.827	10105.471	9344.4	9442.863	7124.072	10590.287	7667.093	7781.37	8325.933	9356.795	6607.06	11605.453	8264.803	5006.436	7875.269	8795.077	9863.144	8576.309	10768.082	7806.423	14451.268	13180.028	9210.263	5196.11	8041.521	9154.3	11321.789	14968.467	10843.559	10324.436	9081.076	9542.204	9642.275	8985.765	9877.739	8268.772	7725.099	8171.765	11701.605	8996.664	6281.53	8126.667	6122.914	8538.903	11984.387	11295.23	11245.243	7734.519	13738.688	9314.737	9114.917	9566.978	11170.881	6378.311	9440.277	9678.301	10614.457	8473.171	8645.445	7852.933	14347.501	6850.493	6503.607	6902.697	6040.082	7732.688	7110.558	7165.017	8269.696	9549.388	9568.359	6806.861	8795.79	8600.216	8729.241	7124.886	10577.898	4525.824	8630.951	8632.239	6465.533	6449.663	8305.585	8892.066	10390.676	14172.268	8701.256	7406.259	9110.37	7338.905
