	TCGA.N5.A4R8.01A	TCGA.N5.A4RA.01A	TCGA.N5.A4RD.01A	TCGA.N5.A4RF.01A	TCGA.N5.A4RJ.01A	TCGA.N5.A4RM.01A	TCGA.N5.A4RN.01A	TCGA.N5.A4RO.01A	TCGA.N5.A4RS.01A	TCGA.N5.A4RT.01A	TCGA.N5.A4RU.01A	TCGA.N5.A4RV.01A	TCGA.N5.A59E.01A	TCGA.N5.A59F.01A	TCGA.N6.A4V9.01A	TCGA.N6.A4VC.01A	TCGA.N6.A4VD.01A	TCGA.N6.A4VE.01A	TCGA.N6.A4VF.01A	TCGA.N6.A4VG.01A	TCGA.N7.A4Y0.01A	TCGA.N7.A4Y5.01A	TCGA.N7.A4Y8.01A	TCGA.N7.A59B.01A	TCGA.N8.A4PI.01A	TCGA.N8.A4PL.01A	TCGA.N8.A4PM.01A	TCGA.N8.A4PN.01A	TCGA.N8.A4PO.01A	TCGA.N8.A4PP.01A	TCGA.N8.A4PQ.01A	TCGA.N8.A56S.01A	TCGA.N9.A4PZ.01A	TCGA.N9.A4Q1.01A	TCGA.N9.A4Q3.01A	TCGA.N9.A4Q4.01A	TCGA.N9.A4Q7.01A	TCGA.N9.A4Q8.01A	TCGA.NA.A4QV.01A	TCGA.NA.A4QW.01A	TCGA.NA.A4QX.01A	TCGA.NA.A4QY.01A	TCGA.NA.A4R0.01A	TCGA.NA.A4R1.01A	TCGA.NA.A5I1.01A	TCGA.ND.A4W6.01A	TCGA.ND.A4WA.01A	TCGA.ND.A4WC.01A	TCGA.ND.A4WF.01A	TCGA.NF.A4WU.01A	TCGA.NF.A4WX.01A	TCGA.NF.A4X2.01A	TCGA.NF.A5CP.01A	TCGA.NG.A4VU.01A	TCGA.NG.A4VW.01A	TCGA.QM.A5NM.01A	TCGA.QN.A5NN.01A
ENSG00000000005.6	403.0410303	5.426956974	104.9877806	655.7314377	482.7026655	3953.769286	5638.256292	71.68903991	292.6368549	663.5585773	107650.5348	14444.97485	2275.770178	10.336302	36.73595601	7.888157453	74.84291945	276.0081035	882.3879062	13.41890951	0	29.30849335	1382.288016	2.269429057	28.32441191	1514.252328	460.8856142	43.1148722	31.44013355	381.7089513	23462.33571	388.4348436	32.69782341	48.88140185	121.9053353	67.16683219	2.554737787	3.051663528	313.583283	1093.895277	264.0553773	90.9937194	408.399159	4.998023028	595.1569388	264.8726852	17.33295511	1.055677184	26593.57903	23.25043777	113.4874892	142.1888806	20.23214443	12.53624121	264.7548627	270.4339743	1162.838423
ENSG00000000971.16	2975.737242	560.0619598	1171.663632	3459.717362	604.0895833	1407.541866	319.6036867	4392.502532	333.0669467	3444.402914	495.9234954	2468.05086	5760.685101	1801.100624	10301.13885	502.8700376	1018.160112	2782.689207	23039.09227	1111.852502	1376.894949	2961.490033	1578.749376	503.8132507	5421.29244	924.9957662	1570.889828	799.5849027	1744.178837	3794.636045	1175.821258	1935.111766	9566.694753	1753.354632	1990.152974	619.0543033	3059.298499	513.6966938	1641.308247	2319.352392	697.3112875	1447.733407	5352.128231	4178.347251	2485.009126	2089.394639	3268.837762	11748.63138	605.142294	979.5510523	951.4710035	4664.195817	1310.491173	535.6393974	3387.586315	1220.316491	589.9611197
ENSG00000001626.16	3.677381663	5.426956974	5.03941347	8.155863654	1823.648774	14.23356943	113.6782792	61.0684414	0	60.25416966	95.36990297	23.3569482	5.446597953	37.03841552	41.44569396	30.56661013	118.5630407	39.56430152	36.3775141	745.7079712	6.861602734	0	0	330.2019278	96.3030005	7.830651989	329.692927	3.919533837	7.485746084	138.8788559	45.7679895	915.7645707	12.04656652	3.187917512	62.88767297	21.26949686	53.64949352	163.7726093	827.3261082	10.12014134	173.4732737	3817.06987	20.03827649	15.99367369	97.05636233	350.8154181	9.454339152	1479.003735	7.379784073	16.17421758	59.78358808	0	46.90178937	9.117266338	76.55562295	41.70872241	3.416763241
ENSG00000002933.9	483.2079505	8436.747312	4467.440041	1414.226758	7219.676606	2101.823752	2799.094679	786.8093392	656.5076811	1780.930205	434.6859788	716.2797448	3321.516985	6230.206034	8097.923432	981.0895832	1884.411328	2745.950927	3399.898434	923.9877689	102.924041	169.1899389	3090.443078	1366.196293	1463.967461	2409.88315	1104.300184	1096.685568	569.665277	2895.665726	2360.796113	1924.910447	3397.131758	2529.081226	1090.375499	1160.86675	8338.664136	393.6645951	819.8201254	1943.987149	4701.723902	3517.257231	3887.42564	55.97785791	1410.979758	3874.467469	1311.001696	470.8320241	2855.976436	912.8324048	1040.639745	671.8925275	7256.902351	2702.129811	1214.257242	527.4135221	1252.813188
ENSG00000003096.14	1435.649801	1049.573479	1561.378274	2843.13407	1731.66025	191.3624334	301.8996924	755.8325936	315.7397645	2712.200346	729.8307311	145.3321221	360.3832312	681.3345738	511.4775414	1018.558331	391.9990534	1556.19586	2027.813222	3987.333111	920.5983668	3231.927494	739.9652441	188.3626118	821.4079455	1043.434377	708.4405109	1978.580681	924.4896413	225.3662871	1193.296308	1804.848768	652.23553	1690.658921	384.0985564	2051.946723	871.1655852	1416.989098	417.8330446	2644.116927	1645.005182	1962.197898	191.7949322	824.6737996	1086.848133	2027.403159	550.7152556	930.0515992	1256.671802	693.4695788	1058.878806	1956.599104	368.7768144	2307.808042	114.8334344	480.3230291	394.0666938
ENSG00000003989.18	1646.731509	2285.834278	1509.304334	2906.749806	306.3123005	260.9487728	626.162325	638.1209602	1308.202256	1272.964673	565.1921618	779.8625482	1082.965226	872.5561609	822.3202462	1972.039363	2207.495614	418.2511875	2428.898634	1152.109231	1103.57444	903.234477	311.7500631	7.943001701	716.2029869	611.7696866	1497.878246	139.5354046	195.3779728	1261.552242	2394.914069	2724.536923	328.6991721	462.2480393	921.0625333	2117.994108	913.3187587	763.9331031	336.1012315	2877.800191	768.2387837	792.1119932	468.5139885	316.87466	937.6010852	660.7728157	126.845717	4930.01245	2473.281919	4306.385431	1723.591243	267.3551488	79.08929187	41.02769852	118.023252	28.25429583	77.44663347
ENSG00000004468.13	55.89620128	36.90330743	57.95325491	813.9551926	58.79678833	211.9220337	13.97683761	56.64319202	4.813106167	1165.422421	65.2530915	42.8210717	56.28151218	167.1035491	53.69101264	49.30098408	223.7877394	76.30258151	749.0036879	270.2951772	27.44641093	98.58311401	34.11604464	319.9894971	52.60247927	73.41236239	26.23853744	76.8228632	56.89167024	375.8876819	374.4653686	40.8052765	180.6984978	540.8833379	77.40021289	92.91411786	2608.38728	57.98160702	236.0214603	107.6415033	97.4184887	93.32689169	298.6657401	12.99485987	130.0189005	484.660658	29.93874065	162.5742864	49.54997877	30.32665797	23.30546654	31.0412345	319.1160963	33.05009047	288.1468586	20.18163988	219.8117685
ENSG00000004776.13	3995.107439	2985.911727	339.320507	57.09104557	1417.761267	1140.267062	565.5960287	180.5501746	1190.762466	35.84741739	430.6704039	141.4392974	3592.939116	772.6385749	17.89700421	23.66447236	217.1185683	98.91075381	568.9816309	50.80015742	19.44120775	9196.205892	914.0747133	94.18130588	1823.282858	537.3784927	945.7281538	312.7788002	882.5694633	2520.609654	1332.264567	1967.285158	466.374218	2264.484073	538.8989822	3366.17774	76.6421336	175.9792634	203.4955347	1292.618053	4882.033561	1370.738722	392.1776971	19.99209211	2452.046588	1878.06005	1634.02495	92.8995922	502.8795718	126.3610749	718.4163381	187.2487372	42.30357472	4318.165269	127.5927049	223.3434813	230.0620583
ENSG00000004799.8	475.8531872	309.3365475	1189.301579	1149.976775	3206.321635	1027.980014	1194.553721	1178.001384	246.4310357	1099.829274	1023.97159	582.6260968	270.514365	410.0066462	662.1891558	427.9325418	523.1594172	2462.406766	1520.393538	425.5711301	40.02601595	4079.209393	511.7406696	131.6268853	1328.010284	1253.88315	260.1037624	637.3162018	919.2496191	5472.824855	1032.692272	1097.034164	653.0959991	1045.636944	1309.998603	526.1401855	106.0216181	815.811383	3271.774519	275.0838418	821.2207688	5128.312698	10008.64201	55.97785791	565.8569049	8523.828432	2055.530904	355.763211	1822.806666	505.4442994	1833.025607	114.1516366	463.5000361	12678.6985	812.3402213	546.2497193	480.624696
ENSG00000004838.14	16.91595565	64.0380923	135.2242615	60.35339104	262.6888769	139.1726789	89.45176071	113.286384	118.4024117	84.66092193	76.29592237	256.9264302	109.8397254	101.640303	35.79400842	421.0304041	3044.10607	477.5976398	3890.528496	166.7778753	60.61082415	6.661021217	201.1670218	53.33158285	78.49908444	152.6977138	554.4317042	116.0182016	193.132249	77.33972215	571.6837961	115.3533778	95.5120631	41.44292766	40.63511176	0	21.71527119	878.8790959	202.6615366	17.48024413	150.4004738	16.33220605	39.12234935	704.721247	142.8376653	157.7964933	333.2654551	517.2818202	242.4786195	69.75131332	455.9765193	89.11838293	93.80357873	17.09487438	3611.936822	269.0885317	64.91850159
