	TCGA.N5.A4R8.01A	TCGA.N5.A4RA.01A	TCGA.N5.A4RD.01A	TCGA.N5.A4RF.01A	TCGA.N5.A4RJ.01A	TCGA.N5.A4RM.01A	TCGA.N5.A4RN.01A	TCGA.N5.A4RO.01A	TCGA.N5.A4RS.01A	TCGA.N5.A4RT.01A	TCGA.N5.A4RU.01A	TCGA.N5.A4RV.01A	TCGA.N5.A59E.01A	TCGA.N5.A59F.01A	TCGA.N6.A4V9.01A	TCGA.N6.A4VC.01A	TCGA.N6.A4VD.01A	TCGA.N6.A4VE.01A	TCGA.N6.A4VF.01A	TCGA.N6.A4VG.01A	TCGA.N7.A4Y0.01A	TCGA.N7.A4Y5.01A	TCGA.N7.A4Y8.01A	TCGA.N7.A59B.01A	TCGA.N8.A4PI.01A	TCGA.N8.A4PL.01A	TCGA.N8.A4PM.01A	TCGA.N8.A4PN.01A	TCGA.N8.A4PO.01A	TCGA.N8.A4PP.01A	TCGA.N8.A4PQ.01A	TCGA.N8.A56S.01A	TCGA.N9.A4PZ.01A	TCGA.N9.A4Q1.01A	TCGA.N9.A4Q3.01A	TCGA.N9.A4Q4.01A	TCGA.N9.A4Q7.01A	TCGA.N9.A4Q8.01A	TCGA.NA.A4QV.01A	TCGA.NA.A4QW.01A	TCGA.NA.A4QX.01A	TCGA.NA.A4QY.01A	TCGA.NA.A4R0.01A	TCGA.NA.A4R1.01A	TCGA.NA.A5I1.01A	TCGA.ND.A4W6.01A	TCGA.ND.A4WA.01A	TCGA.ND.A4WC.01A	TCGA.ND.A4WF.01A	TCGA.NF.A4WU.01A	TCGA.NF.A4WX.01A	TCGA.NF.A4X2.01A	TCGA.NF.A5CP.01A	TCGA.NG.A4VU.01A	TCGA.NG.A4VW.01A	TCGA.QM.A5NM.01A	TCGA.QN.A5NN.01A
hsa-let-7a-1	12277.883	7088.741	15578.414	15587.594	11509.273	13438.014	30056.076	5290.024	16962.2	13293.132	10440.545	23411.627	10366.512	19209.724	17304.447	8400.901	31416.272	7126.305	26029.593	5498.461	30322.2	24862.124	24850.165	26156.077	21952.471	11998.643	13272.938	8480.197	38232.441	8085.055	17298.105	19850.689	12985.103	9788.21	13109.274	8196.713	29626.501	32315.349	8729.376	14240.646	18214.203	7888.871	25393.093	17506.809	8037.107	20827.712	51530.638	18028.7	19203.946	10168.851	15157.875	15095.443	22830.152	12986.468	49668.765	29899.814	63000.891
hsa-let-7a-2	12430.205	7266.924	15619.697	15311.842	11693.224	13301.008	29676.174	5346.228	16819.001	13517.237	10507.673	23395.857	10398.647	19235.598	17178.357	8369.629	30975.167	6957.932	26013.54	5369.876	30808.865	24658.572	24776.182	25841.137	21818.562	12137.211	13331.418	8552.434	38148.724	8338.333	17488.779	19425.066	12822.502	9732.866	13058.32	8331.868	29628.286	31793.625	8676.846	14182.038	18280.545	8167.427	25465.933	17419.271	8155.104	20594.002	51348.773	18111.278	19180.303	10107.98	15224.042	15283.59	22343.454	12960.19	49042.47	30289.934	62547.535
hsa-let-7a-3	12281.599	7297.089	15721.121	16461.655	11681.308	13596.713	29907.872	5265.937	17050.627	13484.318	10691.794	23816.587	10534.682	19600.258	17356.528	8821.657	31347.825	7218.854	26109.857	5621.931	31404.781	26374.426	25261.183	26590.122	22735.979	12367.78	13370.723	8697.602	38431.553	8649.59	17773.681	20033.317	12855.022	9999.471	13530.963	8594.97	29840.604	32653.902	8664.681	14315.295	18648.743	8321.59	25306.9	17800.626	8456.745	21465.729	52233.953	18238.024	20273.788	10532.411	15671.021	15483.875	23004.218	13315.624	50295.061	30292.337	63956.342
hsa-let-7b	3782.783	4871.273	8216.816	8910.54	18742.226	11876.145	17767.714	7594.373	21229.146	12211.854	10376.615	31322.704	6390.433	39528.79	15854.415	13627.655	34056.387	11623.314	57888.536	4105.215	40403.114	20437.243	6387.224	59774.522	51950.858	5985.692	21561.694	5985.245	88230.568	8847.94	35673.739	27114.553	15454.721	7563.13	11794.13	7638.972	19078.361	53920.815	16514.317	12281.886	25560.476	8975.452	46712.025	34601.061	6738.307	32957.527	63703.569	34476.913	32120.57	5721.907	15111.417	23390.896	46172.196	6991.118	125084.559	45969.212	171696.971
hsa-let-7c	12296.459	31041.739	21982.862	8554.403	45771.217	16232.939	15331.75	5840.59	6389.201	44670.443	17767.02	4907.391	14690.713	15940.723	19437.009	2588.501	636.67	32774.757	70958.422	1628.497	39047.405	55870.449	4060.861	4915.359	23439.712	5502.975	10482.218	7667.532	18960.099	6719.491	48727.135	24563.107	9041.557	12267.993	6135.583	12391.931	6050.194	3852.931	26089.702	9913.484	28015.131	11268.753	11268.284	64574.722	31098.918	30693.537	41608.014	9989.913	10686.591	1944.548	11436.333	30647.294	768.411	5386.825	7010.223	40959.341	960.968
hsa-let-7d	471.826	718.344	535.658	776.378	2313.175	1668.049	903.832	279.871	1605.549	848.309	1817.554	1819.784	608.409	1789.339	764.762	679.464	3197.472	4121.236	3249.23	265.937	2259.515	1863.396	191.123	3233.005	4266.557	740.545	3900.873	691.807	3106.593	1952.986	4755.76	1682.624	1468.189	1098.555	786.275	1354.255	640.525	3710.183	3161.198	934.652	1463.947	1272.639	3960.045	3787.552	962.259	2034.654	1529.634	5027.603	2472.372	415.259	1516.21	2080.54	2396.845	839.487	3033.476	1906.539	2710.942
hsa-let-7e	2180.06	4968.081	7516.027	3637.682	5307.79	2493.511	9278.37	5855.501	6356.206	4926.524	4969.344	7267.872	4560.923	4883.691	4813.339	4587.091	4775.021	5888.596	4246.692	4287.864	2617.065	7989.104	3493.655	5946.073	4897.638	9310.193	7512.224	4545.369	5428.808	5288.319	9586.902	6728.969	6988.005	3358.151	5952.851	5746.799	2185.635	17377.348	3392.883	5957.097	3278.402	6817.176	5838.093	9254.8	16005.244	4654.209	9619.264	5580.678	5725.804	5162.391	7998.465	3556.582	3868.392	5461.508	4188.065	6077.693	10913.656
hsa-let-7f-1	1430.339	1400.912	3583.453	926.973	3688.717	3914.949	4930.374	1004.783	3758.159	3294.478	4342.183	4362.751	1583.148	6266.325	3694.978	1894.823	7043.564	3899.341	8655.37	1162.377	4409.779	2673.508	1006.995	6750.029	7201.151	1603.757	4836.545	1198.16	8691.522	2010.965	5297.85	4111.808	11880.375	2241.743	2270.095	1375.88	6471.263	11331.405	4466.154	3080.343	3185.523	3839.18	7501.263	6163.222	2497.885	6093.965	6433.972	5972.439	2103.374	954.763	2409.464	4039.694	5306.728	3001.133	7970.339	9213.869	14865.121
hsa-let-7f-2	1474.178	1372.15	3620.149	866.938	3725.954	4167.269	5247.654	1021.989	3950.192	3236.236	4385.016	4374.015	1639.918	6405.397	3789.545	1810.956	7535.733	3957.324	8829.762	1142.651	4216.107	2704.929	1115.915	7352.424	7317.965	1561.732	4985.141	1224.555	8832.56	1930.099	5211.381	4148.487	12176.882	2281.02	2284.152	1397.505	6526.573	11600.479	4722.168	3204.346	3439.834	3777.515	7700.358	6216.092	2667.402	6153.955	6759.218	6014.688	2069.598	1006.462	2527.72	4029.983	5398.342	2952.727	8267.409	9790.637	15243.071
hsa-let-7g	1043.962	1286.566	664.603	681.747	1822.388	1282.149	1659.461	360.162	1352.145	1006.576	1805.407	1821.474	876.194	2528.361	1599.421	979.394	4960.807	1410.542	3454.997	376.257	3029.24	1695.362	308.264	2981.053	3863.407	1036.99	3700.509	974.504	3254.419	1216.039	3377.809	1596.277	2969.855	1368.136	892.576	1062.32	2324.802	4608.358	2436.285	1251.755	881.243	1508.667	3853.214	3188.65	2025.896	3224.452	3103.792	3233.951	2338.114	579.529	1374.725	1398.356	3388.564	1225.347	5975.075	3076.096	3838.355
hsa-let-7i	343.281	343.739	492.336	445.68	1466.401	1130.3	705.532	240.873	611.732	686.244	923.161	814.988	490.583	1384.252	1828.301	807.396	1554.734	1815.307	4314.551	322.923	1077.615	1137.983	203.454	2288.184	1316.294	304.396	1040.169	419.53	1580.825	1060.41	1730.476	1261.586	3629.822	911.694	394.455	640.636	1652.161	1335.261	4543.566	731.065	875.715	1383.21	1695.948	1114.598	775.292	4378.006	936.495	3070.717	715.198	160.1	917.891	1063.333	2995.77	455.01	1359.781	2838.98	1835.495
hsa-mir-1-1	3034.548	3960.715	410.28	11.193	49.898	19.409	16.699	18.352	55.432	8.863	14.065	2.253	119.968	18.597	12.335	19.901	5.432	1.115	86.101	15.343	19.864	11879.83	32.881	21.76	7.123	5.679	1.917	1671.868	259.448	122.062	1353.562	401.935	30.607	2508.348	3.514	4370.919	7.137	6.316	24.883	10882.067	2411.533	17.011	36.42	21.668	16.619	581.151	21.13	59.532	727.019	5.837	7.743	47.34	12.597	9143.082	6.125	6.409	16.553
hsa-mir-100	45429.804	7567.169	19803.026	8590.017	26863.658	4211.796	10916.958	7258.298	12277.534	23548.81	10916.83	32079.68	29628.859	15815.397	25608.553	4312.747	6859.951	7454.13	40069.943	10833.999	10498.056	24159.936	3588.19	10846.544	11610.165	12404.125	6311.956	39064.195	13246.2	10495.772	22281.121	27555.458	12323.222	10664.198	15199.273	20523.769	2492.516	5539.377	18468.432	13064.156	21919.405	18670.683	26406.777	31545.018	9803.742	11286.208	36398.805	10277.972	24516	7226.18	17380.805	13264.957	9078.925	19168.524	6102.171	17149.236	25808.203
hsa-mir-101-1	7066.247	9093.651	12171.305	4097.607	6914.203	11242.492	8268.082	7869.656	6059.248	6015.398	9860.693	13930.276	4136.75	10318.01	11031.482	6764.787	7507.485	8534.617	6752.386	18204.976	6470.656	12254.149	8290.239	15295.791	5219.588	9127.328	4257.502	8763.588	10810.854	10832.967	6964.028	10391.467	11221.363	8830.694	11766.895	11594.515	18559.161	9770.021	9354.759	10637.145	11075.801	5465.861	13675.632	6046.215	6248.867	10812.538	10622.921	11793.167	7678.876	6579.943	8596.783	3868.541	3990.925	6692.387	12521.319	7456.329	5996.626
hsa-mir-101-2	7042.47	9156.787	12329.811	4051.818	6941.758	11314.42	8744.003	7837.54	6034.832	5933.1	9906.723	14122.336	4211.73	10596.963	11078.081	6784.687	7653.072	8537.962	6874.241	18100.501	6689.159	12286.936	8612.888	15363.36	5481.707	9297.699	4331.321	8717.051	11065.777	11101.502	7201.262	10642.867	11426.049	8960.426	11899.552	11782.831	19322.795	10031.515	9577.596	10907.361	11171.997	5431.839	13776.393	6325.298	6211.474	10987.509	10785.167	12265.585	7597.815	6760.889	8645.353	3762.936	4083.684	6779.517	12391.16	7579.693	5953.405
hsa-mir-103a-1	63661.613	42847.421	79547.464	81325.337	45219.362	66978.854	64263.935	81449.392	68139.818	69005.521	49001.71	98581.498	48208.888	79330.872	71690.244	82995.503	77528.094	72295.586	63547.143	121609.793	75815.431	30045.206	72312.501	89027.321	69015.663	79852.764	62886.596	52938.545	102954.266	67469.547	86611.36	54896.195	79258.291	37587.133	81116.377	56200.239	99247.442	141307.805	41773.493	49007.861	66580.855	102386.281	46577.272	70154.644	54397.555	44113.132	72574.24	65894.631	50811.127	44987.264	63114.171	46042.558	67058.991	58635.492	76882.765	98330.135	95764.85
hsa-mir-106a	548.359	206.945	387.345	117.016	131.075	160.982	2653.05	492.069	351.729	530.51	263.395	571.675	95.332	405.896	276.849	434.971	123.857	313.33	770.534	480.001	134.081	176.23	667.905	237.064	203.712	1009.731	463.043	197.957	825.106	357.03	330.353	276.617	323.289	80.934	270.584	36.942	454.969	1164.722	136.025	309.083	566.119	477.372	157.819	24.268	231.84	244.333	320.718	186.279	324.245	190.953	260.445	120.171	407.681	883.744	506.855	1264.884	457.954
hsa-mir-106b	3076.901	3942.476	3473.875	2580.465	2009.319	2520.912	3995.231	7171.125	3100.894	2676.605	3050.78	4930.483	2383.291	2711.904	3190.619	3242.378	3147.494	4013.076	3747.596	7553.626	4240.937	1739.078	210305.723	4755.026	2696.692	4008.256	3033.267	2875.585	9315.255	5738.421	1889.001	4363.209	4424.653	11607.432	2180.486	7007.347	4729.892	3716.499	3178.34	1994.542	2019.009	2856.792	2556.669	5955.21	3942.936	2025.906	4623.616	2471.553	2544.145	3824.055	6124.671	3206.993	2071.616	3824.024	3155.979	6982.097	2382.649
hsa-mir-107	349.226	198.527	363.901	298.137	214.486	318.539	283.883	238.579	409.141	234.235	315.818	692.768	314.916	329.892	264.514	463.4	296.605	170.603	300.625	856.988	412.175	263.662	318.539	282.874	188.042	389.581	332.662	382.717	302.438	315.834	286.011	325.521	292.681	332.661	342.623	298.242	369.328	471.194	103.954	286.257	457.76	558.175	182.099	604.968	164.531	161.848	282.231	220.846	396.863	290.181	402.633	297.393	282.858	430.116	436.416	573.564	504.853
hsa-mir-10a	170373.838	33379.866	42496.361	197375.017	219768.719	160499.213	44218.897	60851.333	593091.664	62563.436	87188.879	10759.875	130294.785	351233.607	20564.964	854084.524	8816.678	71439.225	422337.857	410506.201	17614.288	10949.499	8557.401	16118.071	378155.177	544359.491	303182.857	41661.946	1063042.431	79585.687	234861.355	63219.149	289281.046	115709.525	519725.34	7383.079	54355.397	791615.522	26121.773	70412.324	32876.896	602659.805	288006.503	305937.968	388692.021	172013.283	2607918.48	141554.488	55559.128	1413273.508	743335.605	95255.693	286167.07	10349.067	1376983.678	779534.817	601761.967
hsa-mir-10b	233214.399	181534.897	379453.603	128207.169	747110.721	1149813.359	1589592.55	637438.703	549050.259	375884.538	378809.404	993594.259	271763.724	1347465.35	711195.509	558794.976	81508.908	93267.506	667358.098	1717884.714	180274.565	289993	849266.518	1608116.041	403060.761	340719.893	133325.68	1659122.868	408325.07	1059969.172	613010.751	829265.624	956305.586	310562.633	792543.542	379045.486	195238.734	171729.534	1040811.731	431734.711	755807.034	624743.329	951684.375	1728102.944	472515.759	443329.699	122247.735	916333.472	1021895.154	482014.38	669247.567	469506.392	234455.676	616360.709	604738.197	1773062.583	127553.126
