	TCGA.RZ.AB0B.01A	TCGA.V3.A9ZX.01A	TCGA.V3.A9ZY.01A	TCGA.V4.A9E5.01A	TCGA.V4.A9E7.01A	TCGA.V4.A9E8.01A	TCGA.V4.A9E9.01A	TCGA.V4.A9EA.01A	TCGA.V4.A9EC.01A	TCGA.V4.A9ED.01A	TCGA.V4.A9EE.01A	TCGA.V4.A9EF.01A	TCGA.V4.A9EH.01A	TCGA.V4.A9EI.01A	TCGA.V4.A9EJ.01A	TCGA.V4.A9EK.01A	TCGA.V4.A9EL.01A	TCGA.V4.A9EM.01A	TCGA.V4.A9EO.01A	TCGA.V4.A9EQ.01A	TCGA.V4.A9ES.01A	TCGA.V4.A9ET.01A	TCGA.V4.A9EU.01A	TCGA.V4.A9EV.01A	TCGA.V4.A9EW.01A	TCGA.V4.A9EX.01A	TCGA.V4.A9EY.01A	TCGA.V4.A9EZ.01A	TCGA.V4.A9F0.01A	TCGA.V4.A9F1.01A	TCGA.V4.A9F2.01A	TCGA.V4.A9F3.01A	TCGA.V4.A9F4.01A	TCGA.V4.A9F5.01A	TCGA.V4.A9F7.01A	TCGA.V4.A9F8.01A	TCGA.VD.A8K7.01B	TCGA.VD.A8K8.01A	TCGA.VD.A8K9.01A	TCGA.VD.A8KA.01B	TCGA.VD.A8KB.01A	TCGA.VD.A8KD.01A	TCGA.VD.A8KE.01A	TCGA.VD.A8KF.01A	TCGA.VD.A8KG.01A	TCGA.VD.A8KH.01A	TCGA.VD.A8KI.01A	TCGA.VD.A8KJ.01A	TCGA.VD.A8KK.01A	TCGA.VD.A8KL.01A	TCGA.VD.A8KM.01A	TCGA.VD.A8KN.01A	TCGA.VD.A8KO.01A	TCGA.VD.AA8M.01A	TCGA.VD.AA8N.01A	TCGA.VD.AA8O.01A	TCGA.VD.AA8P.01A	TCGA.VD.AA8Q.01A	TCGA.VD.AA8R.01A	TCGA.VD.AA8S.01B	TCGA.VD.AA8T.01A	TCGA.WC.A87T.01A	TCGA.WC.A87U.01A	TCGA.WC.A87W.01A	TCGA.WC.A87Y.01A	TCGA.WC.A880.01A	TCGA.WC.A881.01A	TCGA.WC.A882.01A	TCGA.WC.A883.01A	TCGA.WC.A884.01A	TCGA.WC.A885.01A	TCGA.WC.A888.01A	TCGA.WC.A88A.01A	TCGA.WC.AA9A.01A	TCGA.WC.AA9E.01A	TCGA.YZ.A980.01A	TCGA.YZ.A982.01A	TCGA.YZ.A983.01A	TCGA.YZ.A984.01A	TCGA.YZ.A985.01A
ENSG00000000971.16	153.1841288	227.314115	208.1940297	329.2011568	52.89867761	225.5652253	41.59810191	66.40890157	266.8263337	498.2644642	144.105178	117.030947	123.9393399	77.25056369	146.7424506	215.044681	263.4458031	106.218771	317.8880092	60.4919569	41.63683486	71.39413878	148.3288641	360.0929379	211.8202397	135.7839741	137.0943853	72.53119083	7607.055992	284.1155578	820.1025569	416.8010181	644.4643839	90.76049402	806.6103058	60.84789429	1312.375168	81.44767759	90.57660334	138.1928303	116.7386402	455.8482232	588.7765891	1524.468162	110.1296335	67.23616442	53.1945672	138.4046376	291.1580279	350.4368077	1075.637311	867.4860345	703.7657926	717.6433304	227.161501	142.7866855	180.4662966	452.4613308	205.7054621	310.3299896	439.830028	437.1232034	792.0400887	1868.478495	165.9418986	387.196294	116.0797295	367.5449137	236.4789434	710.669911	43.17440083	367.1354895	228.6158042	30.3349478	104.8049062	248.0340915	66.50337841	163.1901716	336.4398176	162.1609554
ENSG00000002933.9	372.3678026	714.5416561	163.6745517	892.6101019	101.6484393	1643.141804	112.4689422	517.9894322	418.613769	1268.309545	163.2846441	342.7334877	1194.497005	80.40364792	151.3521611	733.9379193	373.533059	2981.274929	168.6594083	712.0407426	84.01718463	532.481285	146.4190504	927.730351	564.3752826	121.1956132	1168.044162	768.2933547	2273.312509	733.6866464	1314.938874	384.4039285	152.9553675	413.0260163	30.92225479	862.3015876	26.61166295	150.5903104	86.87959912	94.43176736	109.9288861	827.3516481	355.9422107	247.7861354	489.8073208	163.7325115	385.3650868	118.0303509	599.599409	407.2643982	1049.310524	533.5123662	30.16139111	399.1104136	806.0569392	1063.250855	2108.819646	1237.343231	214.458886	1010.698014	293.9651775	28.96987357	136.8658231	331.4743812	804.0814007	146.6790667	214.1026121	3375.201179	245.8444461	1858.335606	112.2534422	1116.141003	238.8016569	305.51626	129.6271209	1415.641384	774.7643585	75.02996395	3386.339904	299.5473203
ENSG00000003096.14	213.4800093	147.137431	132.2490377	29.48070061	266.567846	16.50477258	55.46413587	85.00339401	244.457659	90.59353894	107.3013376	103.0986914	163.1446413	241.2109438	214.3515378	298.6247999	47.72568896	329.8909907	19.43080741	88.21743714	281.0486353	23.79804626	111.4057992	60.88844223	280.7515719	116.7068868	139.836273	59.09948882	176.0857753	114.7604018	86.32658494	89.71501735	61.55520888	134.1676868	463.1759015	88.66407453	168.7739677	90.82294983	277.8914837	283.2953021	66.15189609	96.57801339	472.8054428	137.2776373	13.09233405	1846.504293	39.00934928	98.35862573	119.6539841	12.62835343	33.2218983	99.76934899	93.83543901	385.2611563	98.92516981	130.0378743	381.2097052	113.1153327	397.5513362	71.20585379	173.2494392	162.875067	251.8655088	438.2622172	169.7861125	92.92711056	156.0627474	93.18040066	136.5802478	119.1806683	107.9360021	56.48238301	116.5714249	93.17162539	44.81788753	208.4541833	43.22719597	152.8735515	51.19736356	135.1341295
ENSG00000003989.18	247.7019956	133.9214941	449.1229697	1816.338721	190.850131	130.204317	200.2871573	717.216137	605.5519788	189.2398369	240.5208726	304.651989	290.8780426	163.9603801	190.5347003	1173.60417	108.1782283	1295.051939	518.4139417	183.9963689	1687.778842	480.4230588	156.6047234	72.01858759	3099.755846	139.7116097	559.3450919	867.6879495	1100.159844	221.1644636	713.7358719	185.0372233	1286.130804	32.88423697	1094.779404	180.8051716	787.1449778	51.56399732	751.724191	1510.14054	403.7211305	771.3364003	896.5461698	438.6020512	448.2199068	639.9886761	151.3089911	562.0492899	300.4644489	566.6973603	230.6728033	579.1695259	977.7317619	594.2590385	124.5724361	43.34595811	468.4012868	803.3497098	729.4519931	521.8220031	465.5380093	593.5605207	1217.214983	917.8815733	267.1728638	1059.55127	687.4499533	496.9621369	376.1810254	636.5130507	595.8067314	672.8770845	177.6865409	366.9084162	2689.762758	665.6021231	565.2787165	592.7367152	866.6982259	358.1054431
ENSG00000004468.13	52.96259774	229.9573024	7.85637848	22.92943381	4.148915891	108.1979536	9.244022646	26.56356063	33.55301202	38.25060533	82.41986798	30.65096231	74.61654136	80.40364792	15.36570164	116.663916	374.805744	7.149340357	16.32187822	16.38323833	14.12678326	28.26017993	103.1299398	886.4833417	27.28531901	54.9868986	8.225663116	45.66778682	30.10013252	61.2798262	95.57586189	368.8284047	55.02662612	22.36128114	18.42176881	38.24724784	17.50767299	302.9384843	20.3335232	27.63856606	12.64668602	730.1297812	20.51797204	39.12412664	75.4734551	6.225570779	56.74087168	21.07684837	34.56670651	29.9923394	1684.914389	242.6593488	26.81012543	15.10828064	120.9085409	36.9715525	28.38795677	25.39323795	68.56848735	31.88321811	44.70953271	14.80682427	28.34499295	52.46801192	157.6127686	10.93260124	37.40346838	31.06013355	17.95054686	44.14098826	8.634880166	357.3124664	41.87517206	7.944867281	49.64442927	28.36560089	31.58910474	55.33459841	49.36888629	22.52235491
ENSG00000004776.13	235.4798576	270.4861756	477.9296908	1105.526273	9.335060755	38.51113603	35.43542014	159.3813638	238.0666091	135.8903084	3.628547647	158.8277138	757.5475979	610.1217989	59.92623638	75.74448278	97.36040548	203.245533	34.19822104	332.7057629	15.61381307	1197.339202	202.4402523	72.01858759	52.41653388	319.8217571	1003.5309	889.1786727	87.29038432	7.242161278	1173.116627	39.87334104	107.2552882	373.5649319	103.2934894	81.71002947	9.804296876	101.3701311	69.0107454	95.19950531	305.4661084	5.794680804	157.8991762	58.34299586	706.2159013	14.94136987	43.73775525	150.348185	255.2618327	674.0383644	60.80234217	182.6286388	18.43196123	400.369437	54.95842767	432.1847	273.7410117	3021.795317	397.5513362	54.20147079	11.73625234	98.49757014	401.689043	438.2622172	266.5321615	3.644200414	7.73864863	380.486636	94.43548563	192.4547088	19.42848037	11.05090102	50.92926332	36.1130331	535.7461325	431.4209995	919.4092065	13.13024369	343.7537267	9.008941965
ENSG00000004799.8	881.62355	201.7633036	416.3880594	263.6884888	173.2172384	291.5843156	172.5550894	618.9309626	271.6196211	513.3633873	148.2520896	390.1031567	417.9791003	107.2048639	160.5715821	285.5654063	111.3599409	264.5255932	143.7879748	231.8858348	11.89623853	2518.13077	155.3315143	69.39972986	217.5645173	290.0839446	3945.576408	980.5142464	608.022677	104.1757045	3909.361061	82.86178686	1939.921735	23.67665062	3702.117611	71.27896188	936.3103517	34.57131639	591.5206749	202.6828177	179.9720702	90.13947917	2014.329603	158.5556711	5658.968858	64.12337903	44.91985675	446.8291855	18.61284196	801.9004429	117.2168864	817.60136	825.2491735	14471.21481	208.8420252	212.9051472	52.72049115	1842.16399	6093.841951	595.1534048	310.7312523	407.5095549	557.9914327	2247.482722	33.31652019	2555.49554	1127.26315	2810.942087	4564.902111	988.758137	509.4579298	103.1417429	2263.522814	40.44659707	5909.755601	160.9582934	3557.930745	767.1813814	104.2232044	87.83718416
ENSG00000004838.14	17.11099312	8.810624612	15.71275696	85.16646844	20.74457945	18.3386362	32.35407926	69.06525763	15.97762477	20.13189754	13.99582664	19.50515784	31.61717854	6.306168465	31.49968835	27.86003964	2.545370078	20.42668673	18.65357511	18.90373653	29.74059633	23.79804626	8.275859369	9.820716489	28.72138843	5.049817218	27.41887705	96.70825444	19.56508614	6.12798262	46.24638479	4.984167631	26.11433104	14.46906426	8.552964091	45.2012929	9.103989956	5.85954515	11.70718002	42.22558703	27.23901604	9.013947917	5.352514446	2.745552746	12.32219675	5.603013701	8.274710453	14.75379386	25.26028552	26.83525104	6.268282697	5.918520703	1.67563284	10.07218709	18.31947589	76.49286725	14.19397839	27.70171413	8.753423917	82.89636709	6.706429906	12.87549936	11.33799718	20.36993404	21.14317627	6.377350725	10.31819817	31.06013355	20.29192253	39.72688943	21.58720041	8.59514524	9.054091257	15.88973456	21.37468482	232.2021282	38.23944258	3.751498197	20.11324997	13.51341295
ENSG00000004846.16	5675.14605	9274.063467	11135.1071	7606.020758	8087.2743	2987.363838	2488.182762	8548.15381	7573.394142	6629.433861	3491.699564	5842.25918	9528.785269	6753.380911	12000.61298	6770.86026	5625.904215	13644.0054	6930.580387	5082.584628	5649.226273	11476.60781	7494.745565	7214.953047	8014.703441	3672.339299	9920.149718	4633.937192	4618.865336	7801.478964	13150.93029	8398.945478	8123.422263	4147.359966	10060.25953	4414.080103	7496.785576	8369.188338	9670.130699	7261.265493	6744.574935	5549.37265	12123.44522	19021.18943	4671.652843	4389.649957	8382.281689	7141.53879	5859.056753	6535.172901	3905.766949	6962.716856	9742.129329	10589.64571	6309.227497	9937.698337	5216.287057	15300.58011	13201.62217	6013.174936	8718.917747	10195.46417	9429.974226	11554.69077	8427.798203	7707.483876	6736.493633	5702.122852	2881.453	12006.34881	13194.09689	11436.45468	10437.1037	5433.566959	7244.639143	5931.049246	8487.493669	8487.764672	6061.402149	6105.810417
ENSG00000004848.8	1633.692438	133.0404316	3.92818924	312.8229898	229.227603	44.01272689	4.622011323	7.969068188	6.391049909	135.8903084	2396.914903	162.542982	0	106.6793499	0.768285082	0.870626239	8.908795273	1.021334337	3794.448071	933.8445846	2629.81223	4.462133673	54.74799275	511.9866863	13.6426595	305.2333963	19.19321394	45.66778682	351.4190472	564.8885797	4.624638479	102.1754364	0.93265468	839.2057274	0.657920315	5161.639947	3.501534599	83.20554113	0.61616737	80.61248433	0	1067.508975	41.03594409	317.1113422	60.07070916	606.3705939	1115.90381	1.405123225	1055.614037	1862.682131	40.11700926	302.6900588	2541.097201	7.55414032	164.875283	2.549762242	1.013855599	0	0	19.12993087	1560.921561	1.287549936	0	172.2185333	19.22106934	12.75470145	1.289774772	5.176688926	2808.089895	9.711017417	0	47.88723777	619.0734897	3339.01104	93.08330487	7.915981643	1.66258446	538.3399913	10.97086362	29.27906139
