	TCGA.RZ.AB0B.01A	TCGA.V3.A9ZX.01A	TCGA.V3.A9ZY.01A	TCGA.V4.A9E5.01A	TCGA.V4.A9E7.01A	TCGA.V4.A9E8.01A	TCGA.V4.A9E9.01A	TCGA.V4.A9EA.01A	TCGA.V4.A9EC.01A	TCGA.V4.A9ED.01A	TCGA.V4.A9EE.01A	TCGA.V4.A9EF.01A	TCGA.V4.A9EH.01A	TCGA.V4.A9EI.01A	TCGA.V4.A9EJ.01A	TCGA.V4.A9EK.01A	TCGA.V4.A9EL.01A	TCGA.V4.A9EM.01A	TCGA.V4.A9EO.01A	TCGA.V4.A9EQ.01A	TCGA.V4.A9ES.01A	TCGA.V4.A9ET.01A	TCGA.V4.A9EU.01A	TCGA.V4.A9EV.01A	TCGA.V4.A9EW.01A	TCGA.V4.A9EX.01A	TCGA.V4.A9EY.01A	TCGA.V4.A9EZ.01A	TCGA.V4.A9F0.01A	TCGA.V4.A9F1.01A	TCGA.V4.A9F2.01A	TCGA.V4.A9F3.01A	TCGA.V4.A9F4.01A	TCGA.V4.A9F5.01A	TCGA.V4.A9F7.01A	TCGA.V4.A9F8.01A	TCGA.VD.A8K7.01B	TCGA.VD.A8K8.01A	TCGA.VD.A8K9.01A	TCGA.VD.A8KA.01B	TCGA.VD.A8KB.01A	TCGA.VD.A8KD.01A	TCGA.VD.A8KE.01A	TCGA.VD.A8KF.01A	TCGA.VD.A8KG.01A	TCGA.VD.A8KH.01A	TCGA.VD.A8KI.01A	TCGA.VD.A8KJ.01A	TCGA.VD.A8KK.01A	TCGA.VD.A8KL.01A	TCGA.VD.A8KM.01A	TCGA.VD.A8KN.01A	TCGA.VD.A8KO.01A	TCGA.VD.AA8M.01A	TCGA.VD.AA8N.01A	TCGA.VD.AA8O.01A	TCGA.VD.AA8P.01A	TCGA.VD.AA8Q.01A	TCGA.VD.AA8R.01A	TCGA.VD.AA8S.01B	TCGA.VD.AA8T.01A	TCGA.WC.A87T.01A	TCGA.WC.A87U.01A	TCGA.WC.A87W.01A	TCGA.WC.A87Y.01A	TCGA.WC.A880.01A	TCGA.WC.A881.01A	TCGA.WC.A882.01A	TCGA.WC.A883.01A	TCGA.WC.A884.01A	TCGA.WC.A885.01A	TCGA.WC.A888.01A	TCGA.WC.A88A.01A	TCGA.WC.AA9A.01A	TCGA.WC.AA9E.01A	TCGA.YZ.A980.01A	TCGA.YZ.A982.01A	TCGA.YZ.A983.01A	TCGA.YZ.A984.01A	TCGA.YZ.A985.01A
hsa-let-7a-1	202342.816	163740.572	96698.975	121816.307	313805.18	226108.856	190831.019	156389.735	137873.822	90636.908	90746.932	185337.141	165941.937	101087.513	146593.022	102095.424	165590.426	110127.491	129420.67	336901.014	218893.316	135724.445	107977.963	178629.349	119855.285	100918.575	122435.138	181222.067	135426.515	84713.767	126776.159	180967.694	106516.773	118895.664	201413.962	215231.388	118311.915	79904.197	185221.272	160999.929	84293.876	104163.885	175348.78	89340.324	127539.681	121627.445	270259.842	92259.645	90292.257	326317.612	202656.945	136662.569	96801.299	193191.424	156981.996	95820.226	94378.594	114652.55	69985.529	136952.193	126168.218	129768.001	77488.909	130696.615	114402.924	202909.561	126693.017	146586.686	191444.036	128380.254	149530.636	82015.496	201944.047	132467.899	112131.314	105258.824	170092.921	115333.221	126981.495	118961.983
hsa-let-7a-2	201989.702	164438.703	96471.595	121578.936	314056.658	225266.795	191211.235	156581.536	137625.538	90565.164	90524.746	185139.255	165328.987	100415.846	146397.329	101096.312	165207.662	110175.08	129369.39	336673.828	218351.014	134973.209	107926.077	178633.254	119575.85	100671.262	121609.401	181243.312	135017.555	84881.587	126223.32	180843.414	106750.521	119628.173	201344.85	214209.234	118705.879	79634.751	185473.596	160789.797	84104.414	103653.936	174684.971	88438.8	127923.451	120615.485	269732.189	92612.633	89912.547	327254.659	202515.779	136127.636	96242.813	192682.767	156433.366	95520.059	94264.234	114548.308	69934.83	136911.231	125806.744	129443.061	77602.318	129991.866	114223.783	201952.745	126145.942	146610.714	192015.857	127109.467	149499.739	82312.32	201167.31	131449.96	111475.384	105654.022	171211.485	115780.131	126425.33	119471.674
hsa-let-7a-3	202646.984	165206.951	96944.667	122457.817	313348.596	228103.015	191186.361	157575.125	137262.109	90733.562	90978.405	185788.254	166549.482	101492.948	147065.655	100982.848	166219.931	110879.406	128817.374	336659.828	218634.593	135550.007	108737.47	179081.749	119510.58	101843.636	121865.706	180617.405	136301.123	85774.763	126430.753	182142.406	106702.508	119333.367	201917.255	215478.083	118367.574	79995.547	185296.642	160250.488	84231.117	104152.641	174865.051	89603.399	128590.095	121473.26	271271.912	92507.875	90248.149	327655.461	203359.445	136401.721	96261.998	192958.347	157224.192	96154.374	94522.089	114751.223	70161.121	137537.667	125892.201	129376.312	77786.797	130718.639	114949.811	202739.343	126976.14	147691.973	192644.187	127817.088	149605.152	82683.765	203453.173	132205.149	111817.014	106288.419	171008.919	116521.941	127498.443	119385.568
hsa-let-7b	189030.513	175883.166	63982.229	94158.337	273748.853	385531.2	201555.237	224126.759	55520.155	103347.458	152260.322	322928.381	118473.432	155017.441	66207.894	52043.673	172721.654	100707.349	154917.488	260516.717	76241.975	151774.406	103238.423	147370.803	124781.096	136903.477	61430.955	86214.978	201958.782	59397.159	206980.629	148666.767	99521.41	139538.523	61580.624	271410.763	61945.451	80731.726	69377.18	91760.066	54827.254	146152.341	41963.875	75824.739	71635.331	78717.217	233601.189	72881.749	84803.727	447061.224	190015.273	137318.971	45925.834	71881.658	149634.519	127720.971	205256.269	63676.321	40219.081	45266.536	156577.228	24345.62	28893.708	133718.227	75941.284	74845.242	199448.197	105457.462	166477.267	84359.083	74805.757	90988.208	150276.458	213643.813	56452.383	163959.915	224501.865	72907.159	164816.162	186853.559
hsa-let-7c	24509.415	12078.573	46139.783	66989.717	6210.256	48138.849	47055.258	62237.694	49921.181	82752.102	14492.104	38240.658	29431.338	13455.946	32437.806	42583.622	8617.999	28815.061	165832.629	12460.256	14173.282	37649.031	8417.202	8770.199	36513.212	18427.608	66239.089	40638.181	24076.005	15686.526	90349.684	49879.29	64988.082	12741.028	41867.637	76579.634	46319.07	2652.24	50674.904	49102.358	33313.286	11133.558	18365.882	10779.818	87852.782	9461.875	70081.68	42750.248	10897.474	96047.311	20752.051	86866.289	33082.801	64987.375	10009.895	3519.88	34157.054	52997.422	48945.478	57781.131	79786.571	46700.52	43555.284	69517.339	29694.324	33950.593	45015.046	64763.411	8647.308	73326.748	35456.833	8915.503	10267.375	3335.71	60702.266	45931.845	63371.923	20439.299	91174.216	88712.492
hsa-let-7d	6488.918	8552.861	10372.486	10398.062	9541.892	6869.183	20683.562	15507.543	11390.457	10168.64	5632.524	11385.161	7744.577	11531.431	15659.781	15119.061	9443.631	11859.325	5906.273	6848.686	14237.68	13598.775	8027.16	7395.706	13880.997	8692.749	8940.445	6772.213	9419.578	9252.486	5434.188	5017.479	13967.984	6660.814	9216.198	6051.003	10557.895	6039.123	9429.785	8827.35	12108.971	5340.907	7023.867	10120.571	13723.844	12350.401	11348.07	15417.6	11219.651	5578.055	5807.778	9687.974	10487.589	6440.468	6892.6	8042.205	8190.176	5220.884	16548.869	15071.189	6297.311	9498.1	11357.58	8017.403	5305.393	11918.443	8944.91	9177.353	6434.675	5496.976	19123.317	8248.063	9499.508	8667.279	5425.092	6327.896	5436.999	11914.564	7571.212	8709.176
hsa-let-7e	31564.715	18867.816	11962.618	8490.574	19375.391	23733.964	19355.471	10511.297	7443.108	15777.584	18963.688	20741.151	20775.444	14987.206	15697.347	5941.095	17484.847	29024.455	22682.44	37381.405	31268.214	10210.395	14605.084	37472.212	10086.185	14438.515	12201.078	9870.697	11314.562	15487.006	14642.145	42845.565	10448.507	12416.613	15458.982	19426.513	13352.172	14807.252	19770.147	17656.503	8824.178	8867.559	13128.498	12333.309	12759.914	24218.731	37085.716	10426.806	13363.668	21980.523	23163.191	29696.186	2803.085	19848.57	15175.872	15990.017	7971.655	17372.708	11046.181	5818.722	14518.883	24925.819	10234.07	15111.584	24534.938	6740.005	11439.93	16712.794	26460.866	11609.458	10200.496	11437.679	13043.608	9981.03	5323.969	15339.924	11112.18	6235.461	17037.9	14156.057
hsa-let-7f-1	62105.63	62738.766	42063.734	34574.592	84181.781	30281.949	28972.799	17324.931	57029.647	22942.962	20308.235	44349.974	54276.9	21016.542	51143.927	36057.874	43851.306	38118.392	39932.194	118859.897	75410.445	36370.366	27132.929	67207.883	31896.412	27625.365	43564.572	87380.178	35660.507	33533.271	26171.835	65610.639	29586.097	24161.222	103540.138	75767.868	43654.375	31998.833	134106.031	53080.438	42695.193	29540.671	138124.998	39242.82	67181.433	48971.253	122666.103	40733.662	35695.578	107236.591	80314.066	45723.157	37520.842	118616.355	44884.366	34115.183	19235.696	67620.83	31833.975	70195.441	39018.577	82051.583	40378.307	46942.462	53705.313	122772.755	25635.882	83335.703	60483.46	71179.459	56912.86	31859.678	81738.594	33685.977	34551.138	27147.647	66486.093	46420.892	36626.078	29803.686
hsa-let-7f-2	63664.346	64744.748	41772.26	36104.721	86994.41	31016.117	29383.219	17645.647	58447.382	23637.479	20639.728	46157.781	55090.924	21140.087	52726.067	37381.619	44569.384	38628.033	40110.167	122160.783	78536.589	37293.572	28224.329	68330.794	32628.655	28415.443	45534.009	89293.851	36949.474	34613.846	26621.909	66700.073	29818.581	24472.764	107179.459	77027.408	44545.796	33468.888	136616.161	54453.06	43482.643	30239.784	143478.417	40465.649	68480.486	50682.9	125517.9	42034.024	37321.809	109470.025	82123.253	46982.235	39036.426	121952.785	45759.396	34649.442	19778.357	69489.24	32958.007	73622.123	39845.645	83553.059	40741.217	48033.061	54874.094	127625.558	25627.035	84764.033	61391.22	73099.946	57751.618	32433.427	83536.62	34606.473	36309.851	27912.516	68990.341	49157.076	37066.969	30714.74
hsa-let-7g	3097.036	3650.704	6977.049	8785.158	7286.617	5284.273	11964.361	6955.127	8224.842	3163.688	3239.916	4118.715	10285.023	3650.663	9403.731	7064.702	4672.257	5459.823	3680.109	5515.477	4384.735	7703.257	3370.817	4897.187	6620.78	2782.737	5260.295	11029.359	3734.629	2869.725	3658.633	3498.353	6745.191	3492.615	8706.4	3793.513	8800.275	3971.067	9154.522	6137.118	6595.635	4019.404	6205.596	3572.823	10396.033	4822.668	5175.941	5498.64	4420.357	8271.72	5268.417	3127.062	4992.263	9267.556	4161.602	5232.153	3091.347	5801.778	7419.354	6551.8	3628.493	7839.655	6415.952	6571.786	4463.579	8822.798	5576.929	6289.991	4370.831	6511.653	10595.793	5359.417	8319.83	4035.218	7720.848	3761	8050.32	5752.068	4437.436	3012.311
