	samples	K	cluster
1	TCGA.05.4384.01A	3	3
2	TCGA.05.4390.01A	3	1
3	TCGA.05.4396.01A	3	3
4	TCGA.05.4405.01A	3	1
5	TCGA.05.4410.01A	3	3
6	TCGA.05.4415.01A	3	3
7	TCGA.05.4417.01A	3	2
8	TCGA.05.4424.01A	3	2
9	TCGA.05.4425.01A	3	2
10	TCGA.05.4427.01A	3	2
11	TCGA.05.4433.01A	3	2
12	TCGA.05.5420.01A	3	1
13	TCGA.05.5423.01A	3	1
14	TCGA.05.5425.01A	3	3
15	TCGA.05.5428.01A	3	2
16	TCGA.05.5429.01A	3	2
17	TCGA.05.5715.01A	3	1
18	TCGA.35.5375.01A	3	1
19	TCGA.38.4631.01A	3	3
20	TCGA.38.4632.01A	3	3
21	TCGA.38.6178.01A	3	2
22	TCGA.38.7271.01A	3	1
23	TCGA.38.A44F.01A	3	1
24	TCGA.44.2655.11A	3	1
25	TCGA.44.2656.01A	3	3
26	TCGA.44.2665.01A	3	3
27	TCGA.44.2665.11A	3	3
28	TCGA.44.2666.01A	3	3
29	TCGA.44.2668.01A	3	3
30	TCGA.44.2668.11A	3	3
31	TCGA.44.3918.01A	3	1
32	TCGA.44.4112.01A	3	3
33	TCGA.44.5643.01A	3	1
34	TCGA.44.5644.01A	3	2
35	TCGA.44.5645.01A	3	3
36	TCGA.44.6144.11A	3	2
37	TCGA.44.6145.01A	3	2
38	TCGA.44.6146.01A	3	3
39	TCGA.44.6146.01B	3	2
40	TCGA.44.6147.01A	3	1
41	TCGA.44.6147.01B	3	1
42	TCGA.44.6148.01A	3	2
43	TCGA.44.6774.01A	3	1
44	TCGA.44.6775.01A	3	1
45	TCGA.44.6775.01C	3	1
46	TCGA.44.6776.01A	3	2
47	TCGA.44.6777.01A	3	1
48	TCGA.44.6778.01A	3	3
49	TCGA.44.6778.11A	3	2
50	TCGA.44.6779.01A	3	1
51	TCGA.44.7659.01A	3	1
52	TCGA.44.7660.01A	3	3
53	TCGA.44.7661.01A	3	1
54	TCGA.44.7662.01A	3	2
55	TCGA.44.7667.01A	3	2
56	TCGA.44.7669.01A	3	1
