	TCGA.AB.2805.03A	TCGA.AB.2806.03A	TCGA.AB.2808.03A	TCGA.AB.2810.03A	TCGA.AB.2812.03A	TCGA.AB.2813.03A	TCGA.AB.2814.03A	TCGA.AB.2815.03A	TCGA.AB.2817.03A	TCGA.AB.2818.03A	TCGA.AB.2819.03A	TCGA.AB.2820.03A	TCGA.AB.2821.03A	TCGA.AB.2822.03A	TCGA.AB.2823.03A	TCGA.AB.2825.03A	TCGA.AB.2826.03A	TCGA.AB.2828.03A	TCGA.AB.2830.03A	TCGA.AB.2834.03A	TCGA.AB.2835.03A	TCGA.AB.2836.03A	TCGA.AB.2839.03A	TCGA.AB.2840.03A	TCGA.AB.2842.03A	TCGA.AB.2843.03A	TCGA.AB.2844.03A	TCGA.AB.2846.03A	TCGA.AB.2847.03A	TCGA.AB.2849.03A	TCGA.AB.2851.03A	TCGA.AB.2853.03A	TCGA.AB.2856.03A	TCGA.AB.2857.03A	TCGA.AB.2858.03A	TCGA.AB.2861.03A	TCGA.AB.2862.03A	TCGA.AB.2863.03A	TCGA.AB.2866.03A	TCGA.AB.2867.03A	TCGA.AB.2869.03A	TCGA.AB.2870.03A	TCGA.AB.2871.03A	TCGA.AB.2872.03A	TCGA.AB.2873.03A	TCGA.AB.2874.03A	TCGA.AB.2875.03A	TCGA.AB.2876.03A	TCGA.AB.2877.03A	TCGA.AB.2878.03A	TCGA.AB.2880.03A	TCGA.AB.2881.03A	TCGA.AB.2882.03A	TCGA.AB.2883.03A	TCGA.AB.2884.03A	TCGA.AB.2885.03A	TCGA.AB.2886.03A	TCGA.AB.2889.03A	TCGA.AB.2890.03A	TCGA.AB.2891.03A	TCGA.AB.2892.03A	TCGA.AB.2893.03A	TCGA.AB.2894.03A	TCGA.AB.2895.03A	TCGA.AB.2897.03A	TCGA.AB.2898.03A	TCGA.AB.2899.03A	TCGA.AB.2900.03A	TCGA.AB.2901.03A	TCGA.AB.2908.03A	TCGA.AB.2909.03A	TCGA.AB.2910.03A	TCGA.AB.2911.03A	TCGA.AB.2912.03A	TCGA.AB.2913.03A	TCGA.AB.2914.03A	TCGA.AB.2915.03A	TCGA.AB.2916.03A	TCGA.AB.2917.03A	TCGA.AB.2918.03A	TCGA.AB.2919.03A	TCGA.AB.2921.03A	TCGA.AB.2924.03A	TCGA.AB.2925.03A	TCGA.AB.2927.03A	TCGA.AB.2928.03A	TCGA.AB.2929.03A	TCGA.AB.2930.03A	TCGA.AB.2931.03A	TCGA.AB.2932.03A	TCGA.AB.2933.03A	TCGA.AB.2934.03A	TCGA.AB.2935.03A	TCGA.AB.2936.03A	TCGA.AB.2937.03A	TCGA.AB.2938.03A	TCGA.AB.2939.03A	TCGA.AB.2940.03A	TCGA.AB.2941.03A	TCGA.AB.2942.03A	TCGA.AB.2943.03A	TCGA.AB.2944.03A	TCGA.AB.2946.03A	TCGA.AB.2948.03A	TCGA.AB.2950.03A	TCGA.AB.2955.03A	TCGA.AB.2956.03A	TCGA.AB.2959.03A	TCGA.AB.2963.03A	TCGA.AB.2965.03A	TCGA.AB.2966.03A	TCGA.AB.2970.03A	TCGA.AB.2971.03A	TCGA.AB.2973.03A	TCGA.AB.2975.03A	TCGA.AB.2976.03A	TCGA.AB.2980.03A	TCGA.AB.2983.03A	TCGA.AB.2984.03A	TCGA.AB.2986.03A	TCGA.AB.2987.03A	TCGA.AB.2991.03A	TCGA.AB.2992.03A	TCGA.AB.2995.03A	TCGA.AB.2996.03A	TCGA.AB.2998.03A	TCGA.AB.3000.03A	TCGA.AB.3001.03A	TCGA.AB.3002.03A	TCGA.AB.3007.03A	TCGA.AB.3008.03A	TCGA.AB.3009.03A	TCGA.AB.3011.03A	TCGA.AB.3012.03A
cg04672450	0.08	0.07	0.07	0.1	0.07	0.08	0.07	0.06	0.07	0.07	0.08	0.08	0.1	0.07	0.07	0.08	0.06	0.07	0.09	0.12	0.08	0.08	0.07	0.07	0.08	0.08	0.06	0.07	0.09	0.08	0.07	0.06	0.07	0.06	0.08	0.06	0.06	0.07	0.09	0.09	0.09	0.07	0.09	0.07	0.08	0.1	0.06	0.05	0.08	0.08	0.06	0.09	0.09	0.08	0.07	0.1	0.07	0.06	0.09	0.09	0.06	0.06	0.06	0.06	0.08	0.06	0.09	0.09	0.08	0.09	0.08	0.09	0.08	0.08	0.08	0.07	0.07	0.08	0.08	0.08	0.08	0.1	0.07	0.07	0.09	0.07	0.06	0.07	0.08	0.07	0.08	0.05	0.09	0.1	0.06	0.09	0.07	0.1	0.07	0.07	0.09	0.1	0.09	0.08	0.07	0.19	0.08	0.23	0.08	0.07	0.27	0.08	0.04	0.07	0.08	0.07	0.08	0.08	0.09	0.08	0.07	0.07	0.1	0.09	0.06	0.08	0.08	0.07	0.11	0.07	0.12	0.06	0.08	0.07
cg08122545	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.19	0.02	0.02	0.02	0.02	0.02	0.07	0.02	0.02	0.03	0.08	0.02	0.03	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.06	0.02	0.03	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.14	0.02	0.02	0.02	0.02	0.02	0.02	0.07	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.13	0.03	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.04	0.03	0.03	0.03	0.02	0.02	0.03	0.02	0.05	0.03	0.02	0.02	0.04	0.02	0.08	0.26	0.02	0.36	0.02	0.05	0.01	0.02	0.02	0.06	0.04	0.24	0.02	0.03	0.03	0.45	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.07	0.02	0.02	0.02	0.03	0.03	0.21	0.29	0.02	0.21	0.03	0.11	0.02	0.03	0.02	0.02	0.02
cg20755353	0.15	0.13	0.13	0.1	0.21	0.09	0.1	0.12	0.09	0.09	0.1	0.1	0.14	0.41	0.13	0.09	0.1	0.08	0.1	0.19	0.11	0.13	0.13	0.15	0.09	0.11	0.13	0.1	0.11	0.15	0.09	0.11	0.1	0.11	0.13	0.16	0.17	0.18	0.1	0.1	0.1	0.11	0.11	0.1	0.09	0.13	0.11	0.17	0.42	0.09	0.15	0.23	0.12	0.1	0.15	0.16	0.09	0.1	0.12	0.09	0.1	0.09	0.11	0.12	0.16	0.17	0.09	0.11	0.12	0.1	0.15	0.13	0.15	0.13	0.15	0.23	0.09	0.1	0.09	0.17	0.08	0.11	0.12	0.09	0.12	0.09	0.1	0.37	0.15	0.11	0.11	0.04	0.12	0.1	0.11	0.1	0.15	0.23	0.11	0.1	0.09	0.14	0.36	0.08	0.09	0.09	0.22	0.15	0.13	0.11	0.11	0.12	0.08	0.11	0.07	0.11	0.08	0.1	0.51	0.1	0.11	0.18	0.15	0.11	0.08	0.1	0.17	0.13	0.21	0.11	0.13	0.08	0.13	0.14
cg12150066	0.04	0.03	0.04	0.04	0.06	0.04	0.04	0.03	0.04	0.04	0.03	0.05	0.04	0.03	0.04	0.03	0.05	0.04	0.04	0.03	0.04	0.04	0.05	0.04	0.03	0.04	0.04	0.03	0.04	0.02	0.04	0.04	0.04	0.03	0.04	0.03	0.04	0.05	0.03	0.04	0.05	0.04	0.04	0.05	0.03	0.04	0.04	0.03	0.04	0.04	0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.03	0.04	0.04	0.04	0.03	0.04	0.04	0.04	0.03	0.03	0.05	0.11	0.03	0.04	0.04	0.04	0.03	0.03	0.05	0.04	0.04	0.04	0.06	0.03	0.04	0.04	0.03	0.05	0.04	0.05	0.05	0.04	0.04	0.04	0.03	0.05	0.03	0.02	0.04	0.04	0.03	0.03	0.05	0.04	0.04	0.05	0.03	0.04	0.04	0.03	0.03	0.04	0.05	0.05	0.04	0.03	0.04	0.04	0.03	0.04	0.04	0.04	0.05	0.03	0.04	0.03	0.03	0.03	0.03	0.04	0.04	0.07	0.04	0.03	0.03	0.05	0.04
cg10943191	0.03	0.03	0.04	0.03	0.02	0.02	0.02	0.03	0.25	0.03	0.03	0.03	0.03	0.04	0.05	0.02	0.05	0.02	0.02	0.15	0.05	0.05	0.24	0.04	0.03	0.03	0.02	0.02	0.04	0.04	0.03	0.02	0.03	0.03	0.03	0.03	0.2	0.03	0.03	0.03	0.03	0.02	0.02	0.05	0.02	0.03	0.02	0.03	0.04	0.05	0.03	0.03	0.04	0.03	0.07	0.02	0.02	0.02	0.03	0.2	0.02	0.02	0.03	0.02	0.04	0.02	0.04	0.04	0.02	0.02	0.04	0.03	0.06	0.03	0.03	0.03	0.02	0.02	0.04	0.43	0.04	0.06	0.04	0.02	0.02	0.02	0.05	0.04	0.02	0.04	0.03	0.02	0.06	0.02	0.03	0.05	0.03	0.25	0.02	0.03	0.03	0.16	0.03	0.02	0.03	0.04	0.03	0.08	0.02	0.03	0.11	0.03	0.03	0.03	0.02	0.02	0.03	0.03	0.03	0.04	0.03	0.17	0.03	0.02	0.02	0.04	0.13	0.11	0.05	0.16	0.17	0.06	0.03	0.07
cg08537652	0.04	0.04	0.04	0.04	0.04	0.05	0.04	0.04	0.04	0.04	0.03	0.04	0.04	0.04	0.04	0.05	0.05	0.04	0.04	0.05	0.04	0.06	0.05	0.04	0.05	0.04	0.05	0.04	0.04	0.04	0.04	0.05	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.03	0.05	0.03	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.04	0.04	0.04	0.04	0.05	0.05	0.04	0.04	0.06	0.05	0.04	0.03	0.04	0.04	0.04	0.05	0.05	0.04	0.04	0.04	0.03	0.05	0.04	0.05	0.04	0.04	0.04	0.05	0.04	0.03	0.04	0.05	0.04	0.05	0.05	0.04	0.05	0.05	0.05	0.05	0.03	0.05	0.05	0.05	0.03	0.04	0.04	0.04	0.06	0.05	0.04	0.06	0.04	0.05	0.05	0.05	0.06	0.04	0.04	0.04	0.04	0.05	0.05	0.05	0.07	0.06	0.04	0.04	0.04	0.05	0.04	0.03	0.04	0.05	0.04	0.04	0.04	0.51	0.05	0.04
cg25885108	0.09	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.07	0.01	0.02	0.02	0.02	0.03	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.46	0.02	0.02	0.01	0.01	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.04	0.01	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.15	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.01	0.01	0.02	0.02	0.01	0.02	0.02	0.02	0.03	0.01	0.03	0.02	0.02	0.01	0.02	0.12	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.79	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.1	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.04	0.02	0.04	0.02	0.02	0.88	0.02	0.02
cg16741710	0.12	0.21	0.22	0.11	0.15	0.1	0.5	0.13	0.12	0.16	0.53	0.2	0.19	0.33	0.13	0.04	0.31	0.19	0.13	0.32	0.24	0.37	0.07	0.1	0.06	0.29	0.39	0.13	0.2	0.46	0.18	0.03	0.11	0.1	0.14	0.1	0.17	0.24	0.09	0.15	0.09	0.2	0.14	0.12	0.08	0.48	0.14	0.29	0.24	0.12	0.19	0.64	0.23	0.06	0.09	0.16	0.17	0.12	0.17	0.14	0.1	0.07	0.33	0.07	0.1	0.23	0.2	0.4	0.39	0.11	0.3	0.06	0.19	0.12	0.2	0.17	0.13	0.06	0.09	0.34	0.2	0.39	0.19	0.05	0.09	0.07	0.21	0.15	0.07	0.07	0.19	0.05	0.23	0.13	0.08	0.2	0.06	0.42	0.07	0.09	0.12	0.87	0.58	0.08	0.1	0.2	0.06	0.18	0.08	0.07	0.84	0.18	0.05	0.18	0.08	0.09	0.17	0.17	0.51	0.15	0.09	0.17	0.09	0.09	0.08	0.07	0.42	0.09	0.26	0.38	0.31	0.88	0.09	0.09
cg21927975	0.07	0.05	0.08	0.05	0.06	0.06	0.05	0.05	0.05	0.05	0.05	0.07	0.06	0.05	0.04	0.05	0.06	0.06	0.04	0.08	0.06	0.06	0.06	0.06	0.04	0.07	0.06	0.05	0.06	0.04	0.05	0.08	0.06	0.05	0.06	0.07	0.05	0.06	0.06	0.08	0.05	0.07	0.06	0.06	0.05	0.1	0.06	0.07	0.05	0.06	0.07	0.05	0.07	0.05	0.06	0.06	0.06	0.05	0.06	0.13	0.06	0.08	0.06	0.05	0.05	0.05	0.06	0.1	0.11	0.04	0.06	0.06	0.05	0.05	0.05	0.06	0.05	0.07	0.06	0.08	0.05	0.17	0.06	0.05	0.07	0.05	0.08	0.07	0.06	0.07	0.13	0.13	0.07	0.05	0.05	0.06	0.07	0.19	0.07	0.06	0.05	0.06	0.08	0.05	0.06	0.21	0.06	0.07	0.05	0.05	0.62	0.05	0.05	0.06	0.05	0.05	0.04	0.08	0.1	0.06	0.05	0.04	0.05	0.06	0.04	0.05	0.51	0.06	0.07	0.04	0.11	0.65	0.06	0.05
cg09549827	0.54	0.37	0.17	0.09	0.19	0.14	0.16	0.05	0.11	0.09	0.1	0.17	0.15	0.13	0.06	0.05	0.12	0.33	0.11	0.26	0.18	0.12	0.29	0.1	0.06	0.14	0.24	0.06	0.25	0.62	0.15	0.07	0.14	0.16	0.11	0.07	0.13	0.13	0.23	0.18	0.11	0.1	0.16	0.11	0.33	0.41	0.1	0.18	0.16	0.09	0.46	0.09	0.3	0.2	0.07	0.2	0.18	0.12	0.16	0.23	0.44	0.08	0.08	0.05	0.09	0.06	0.2	0.33	0.09	0.11	0.19	0.09	0.11	0.15	0.37	0.11	0.12	0.07	0.26	0.22	0.14	0.49	0.1	0.06	0.13	0.54	0.16	0.15	0.07	0.17	0.09	0.06	0.2	0.13	0.06	0.16	0.2	0.32	0.06	0.11	0.17	0.2	0.21	0.14	0.07	0.12	0.1	0.14	0.07	0.08	0.36	0.14	0.07	0.12	0.09	0.14	0.12	0.47	0.43	0.12	0.1	0.15	0.08	0.13	0.08	0.16	0.52	0.11	0.4	0.07	0.3	0.78	0.08	0.19
