	TCGA.OR.A5J1.01A	TCGA.OR.A5J2.01A	TCGA.OR.A5J3.01A	TCGA.OR.A5J5.01A	TCGA.OR.A5J6.01A	TCGA.OR.A5J7.01A	TCGA.OR.A5J8.01A	TCGA.OR.A5J9.01A	TCGA.OR.A5JA.01A	TCGA.OR.A5JB.01A	TCGA.OR.A5JC.01A	TCGA.OR.A5JD.01A	TCGA.OR.A5JE.01A	TCGA.OR.A5JF.01A	TCGA.OR.A5JG.01A	TCGA.OR.A5JI.01A	TCGA.OR.A5JJ.01A	TCGA.OR.A5JK.01A	TCGA.OR.A5JL.01A	TCGA.OR.A5JM.01A	TCGA.OR.A5JO.01A	TCGA.OR.A5JP.01A	TCGA.OR.A5JQ.01A	TCGA.OR.A5JR.01A	TCGA.OR.A5JS.01A	TCGA.OR.A5JT.01A	TCGA.OR.A5JV.01A	TCGA.OR.A5JW.01A	TCGA.OR.A5JX.01A	TCGA.OR.A5JY.01A	TCGA.OR.A5JZ.01A	TCGA.OR.A5K0.01A	TCGA.OR.A5K1.01A	TCGA.OR.A5K2.01A	TCGA.OR.A5K3.01A	TCGA.OR.A5K4.01A	TCGA.OR.A5K5.01A	TCGA.OR.A5K6.01A	TCGA.OR.A5K8.01A	TCGA.OR.A5K9.01A	TCGA.OR.A5KO.01A	TCGA.OR.A5KT.01A	TCGA.OR.A5KU.01A	TCGA.OR.A5KV.01A	TCGA.OR.A5KW.01A	TCGA.OR.A5KX.01A	TCGA.OR.A5KY.01A	TCGA.OR.A5KZ.01A	TCGA.OR.A5L3.01A	TCGA.OR.A5L4.01A	TCGA.OR.A5L5.01A	TCGA.OR.A5L6.01A	TCGA.OR.A5L8.01A	TCGA.OR.A5L9.01A	TCGA.OR.A5LA.01A	TCGA.OR.A5LB.01A	TCGA.OR.A5LC.01A	TCGA.OR.A5LD.01A	TCGA.OR.A5LE.01A	TCGA.OR.A5LG.01A	TCGA.OR.A5LH.01A	TCGA.OR.A5LJ.01A	TCGA.OR.A5LK.01A	TCGA.OR.A5LL.01A	TCGA.OR.A5LM.01A	TCGA.OR.A5LN.01A	TCGA.OR.A5LO.01A	TCGA.OR.A5LP.01A	TCGA.OR.A5LR.01A	TCGA.OR.A5LS.01A	TCGA.OR.A5LT.01A	TCGA.OU.A5PI.01A	TCGA.P6.A5OF.01A	TCGA.P6.A5OG.01A	TCGA.PA.A5YG.01A	TCGA.PK.A5H8.01A	TCGA.PK.A5H9.01A	TCGA.PK.A5HA.01A	TCGA.PK.A5HB.01A
cg04672450	0.08	0.07	0.08	0.07	0.11	0.09	0.08	0.09	0.08	0.08	0.09	0.06	0.07	0.07	0.19	0.09	0.08	0.08	0.08	0.09	0.12	0.08	0.09	0.07	0.08	0.08	0.09	0.09	0.08	0.08	0.08	0.1	0.08	0.07	0.07	0.07	0.08	0.08	0.07	0.09	0.07	0.1	0.07	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.06	0.11	0.08	0.1	0.08	0.08	0.07	0.07	0.1	0.08	0.08	0.09	0.1	0.07	0.09	0.07	0.08	0.08	0.08	0.09	0.08	0.1	0.1	0.08	0.09	0.08	0.09	0.12	0.08
cg08122545	0.02	0.02	0.02	0.02	0.02	0.02	0.47	0.02	0.04	0.02	0.02	0.02	0.02	0.02	0.19	0.02	0.02	0.02	0.02	0.02	0.04	0.02	0.02	0.02	0.08	0.04	0.03	0.02	0.02	0.04	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.03	0.14	0.04	0.02	0.02	0.02	0.03	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.07	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.11	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02
cg20755353	0.11	0.08	0.09	0.17	0.11	0.09	0.1	0.1	0.13	0.1	0.14	0.09	0.08	0.13	0.1	0.11	0.12	0.14	0.1	0.09	0.11	0.09	0.11	0.1	0.1	0.12	0.12	0.09	0.11	0.08	0.1	0.24	0.11	0.09	0.11	0.08	0.1	0.1	0.11	0.11	0.11	0.09	0.11	0.09	0.09	0.1	0.09	0.08	0.09	0.12	0.11	0.1	0.13	0.11	0.11	0.09	0.11	0.1	0.09	0.11	0.12	0.1	0.11	0.12	0.16	0.12	0.36	0.08	0.12	0.11	0.08	0.11	0.11	0.12	0.11	0.16	0.11	0.09	0.08
cg12150066	0.05	0.04	0.07	0.06	0.07	0.11	0.1	0.07	0.12	0.07	0.41	0.05	0.04	0.11	0.17	0.1	0.12	0.1	0.05	0.07	0.09	0.04	0.05	0.07	0.04	0.05	0.05	0.44	0.11	0.05	0.07	0.03	0.66	0.13	0.35	0.03	0.04	0.04	0.03	0.07	0.13	0.04	0.08	0.05	0.05	0.04	0.14	0.04	0.07	0.11	0.06	0.15	0.05	0.12	0.06	0.07	0.04	0.04	0.06	0.05	0.3	0.05	0.16	0.03	0.64	0.1	0.72	0.05	0.05	0.07	0.07	0.06	0.05	0.05	0.05	0.44	0.06	0.17	0.77
cg10943191	0.02	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.04	0.02	0.02	0.02	0.03	0.02	0.03	0.02	0.03	0.02	0.03	0.02	0.03	0.03	0.02	0.02	0.03	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.03	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.03	0.03	0.03	0.03	0.02	0.02	0.03	0.02	0.03	0.02	0.03	0.02	0.03	0.02	0.04	0.02	0.03	0.02	0.05	0.03	0.02	0.02	0.07	0.03
cg08537652	0.06	0.04	0.04	0.04	0.06	0.04	0.04	0.05	0.06	0.05	0.06	0.04	0.05	0.04	0.05	0.05	0.04	0.06	0.04	0.05	0.05	0.05	0.05	0.05	0.05	0.04	0.07	0.06	0.05	0.07	0.06	0.08	0.05	0.06	0.05	0.05	0.05	0.05	0.04	0.04	0.04	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.06	0.04	0.07	0.05	0.06	0.05	0.05	0.06	0.05	0.05	0.05	0.05	0.04	0.06	0.06	0.04	0.04	0.05	0.05	0.04	0.04	0.05	0.04	0.04	0.04	0.05	0.05	0.05	0.11	0.04
cg25885108	0.02	0.02	0.02	0.02	0.02	0.03	0.08	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.35	0.02	0.03	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.06	0.02
cg16741710	0.43	0.03	0.13	0.4	0.08	0.82	0.43	0.73	0.56	0.07	0.63	0.23	0.07	0.16	0.31	0.26	0.12	0.11	0.04	0.04	0.08	0.05	0.07	0.08	0.04	0.06	0.08	0.83	0.48	0.48	0.04	0.75	0.77	0.69	0.18	0.05	0.72	0.08	0.08	0.56	0.2	0.17	0.46	0.12	0.08	0.71	0.73	0.05	0.06	0.04	0.1	0.54	0.07	0.14	0.06	0.12	0.04	0.43	0.06	0.04	0.06	0.07	0.5	0.09	0.27	0.07	0.83	0.08	0.12	0.47	0.1	0.29	0.37	0.15	0.09	0.53	0.08	0.7	0.82
cg21927975	0.08	0.07	0.1	0.05	0.07	0.06	0.06	0.07	0.06	0.06	0.06	0.16	0.07	0.1	0.77	0.05	0.05	0.05	0.06	0.06	0.1	0.08	0.07	0.05	0.06	0.05	0.05	0.06	0.07	0.05	0.06	0.31	0.06	0.09	0.07	0.05	0.06	0.05	0.04	0.07	0.04	0.06	0.07	0.06	0.06	0.05	0.08	0.05	0.06	0.05	0.08	0.05	0.07	0.05	0.06	0.05	0.06	0.06	0.06	0.08	0.05	0.06	0.07	0.11	0.06	0.06	0.06	0.08	0.05	0.07	0.06	0.08	0.09	0.07	0.08	0.07	0.06	0.07	0.06
cg09549827	0.1	0.05	0.04	0.07	0.09	0.68	0.54	0.61	0.38	0.07	0.19	0.05	0.06	0.05	0.06	0.14	0.1	0.09	0.06	0.05	0.22	0.07	0.13	0.06	0.06	0.07	0.09	0.08	0.04	0.07	0.1	0.89	0.06	0.37	0.1	0.03	0.74	0.05	0.04	0.17	0.08	0.07	0.06	0.04	0.06	0.41	0.1	0.08	0.08	0.4	0.1	0.12	0.05	0.07	0.08	0.04	0.52	0.84	0.06	0.05	0.09	0.07	0.14	0.06	0.06	0.09	0.32	0.06	0.04	0.07	0.07	0.07	0.14	0.16	0.08	0.09	0.19	0.38	0.04
